BV号：BV1m94y1H79S
标题：BV1m94y1H79S
链接：https://www.bilibili.com/video/BV1m94y1H79S
识别语言：zh
语言置信度：1
分段数：67
生成时间：2026-04-03 13:13:23

[00:00:00 - 00:00:01] 可能就是說要保專業
[00:00:01 - 00:00:02] 可能是要虧分
[00:00:02 - 00:00:03] 我到時候如果填爆資源的話
[00:00:03 - 00:00:05] 我想不選擇服從條基
[00:00:05 - 00:00:06] 但
[00:00:06 - 00:00:07] 扣國自負
[00:00:07 - 00:00:08] 一定要服從條基嘛
[00:00:08 - 00:00:08] 對
[00:00:08 - 00:00:08] 家長
[00:00:08 - 00:00:09] 你要明白
[00:00:09 - 00:00:11] 一旦你添了不服從條基的話
[00:00:11 - 00:00:12] 家長
[00:00:12 - 00:00:13] 誰也不敢保證
[00:00:13 - 00:00:14] 尤其是你海南
[00:00:14 - 00:00:16] 你抱的一定是外省的院校
[00:00:16 - 00:00:17] 外省的院校在你海南
[00:00:17 - 00:00:18] 放的招生計畫
[00:00:18 - 00:00:20] 每一個專業一定不會特別多
[00:00:20 - 00:00:21] 誰都不敢說100%
[00:00:21 - 00:00:23] 如果說你這個資源表
[00:00:23 - 00:00:23] 你放在這兒
[00:00:23 - 00:00:25] 我只能跟你說90%沒有問題
[00:00:25 - 00:00:26] 如果再給你底
[00:00:26 - 00:00:27] 再放一個院校
[00:00:27 - 00:00:28] 我可以說99%沒有問題
[00:00:28 - 00:00:29] 這麼說啊
[00:00:29 - 00:00:30] 家长 我这么跟你说
[00:00:30 - 00:00:33] 你敢保证明年见到张雪峰一定就是个男的
[00:00:33 - 00:00:34] 我都不敢保证
[00:00:34 - 00:00:36] 哪天你比如说我们抖音的总裁张一鸣说
[00:00:36 - 00:00:38] 雪峰老师 我觉得你长得挺漂亮的
[00:00:38 - 00:00:40] 对吧 我给你十个亿到泰国做个变境
[00:00:40 - 00:00:41] 我觉得这个事可以考虑
[00:00:41 - 00:00:44] 我都不敢保证明年你见到我都是个男的
[00:00:44 - 00:00:47] 谁敢保证你那个居然表百分之百不划荡不肥的
[00:00:47 - 00:00:49] 你要敢下面添服腾小弟
[00:00:49 - 00:00:50] 后果自负
[00:00:50 - 00:00:52] 且家长 我告诉你这个后果可能是什么
[00:00:52 - 00:00:54] 新的生学考试改革
[00:00:54 - 00:00:55] 最重要的一个改革
[00:00:55 - 00:00:56] 各个省都注意听啊
[00:00:56 - 00:00:58] 叫做取消本壳批次
[00:00:58 - 00:01:00] 原来你在报纸员的时候
[00:01:00 - 00:01:02] 你一本如果被退党了
[00:01:02 - 00:01:03] 没关系
[00:01:03 - 00:01:05] 你可以在二本当中继续录
[00:01:05 - 00:01:07] 因为二本当中有一些比较好的学校
[00:01:07 - 00:01:08] 你可以继续去录它
[00:01:08 - 00:01:09] 山西在家长经常那么干
[00:01:09 - 00:01:11] 白龙江的家长也有这么干的
[00:01:11 - 00:01:13] 吉林家长原来也有这么干的
[00:01:13 - 00:01:14] 老师 我一本不录
[00:01:14 - 00:01:15] 没关系
[00:01:15 - 00:01:16] 我被退党了以后的话
[00:01:16 - 00:01:18] 我二本当中录比较好的那一个
[00:01:18 - 00:01:19] 但是新的生学考试
[00:01:19 - 00:01:21] 他把一本二本取消了
[00:01:21 - 00:01:22] 所有的本科P4
[00:01:22 - 00:01:25] 就一个P4就叫本科P
[00:01:25 - 00:01:27] 本科P一旦退党
[00:01:27 - 00:01:28] 等待你的就两种结果
[00:01:28 - 00:01:29] 要么抱專科
[00:01:29 - 00:01:31] 要么抱本科階段爭議職員
[00:01:31 - 00:01:33] 千萬別幹這種事啊
[00:01:33 - 00:01:35] 說我天哥不服從條例
[00:01:35 - 00:01:35] 退黨了
[00:01:35 - 00:01:36] 或我不服
