BV号：BV1kQjEzEEj6
标题：BV1kQjEzEEj6
链接：https://www.bilibili.com/video/BV1kQjEzEEj6
识别语言：zh
语言置信度：1
分段数：61
生成时间：2026-04-03 04:51:50

[00:00:00 - 00:00:02] 理工科的中低分十段是有就业低于性的
[00:00:02 - 00:00:03] 我再次强调一下
[00:00:03 - 00:00:06] 理工科的中低分十段就业是有低于性的
[00:00:06 - 00:00:07] 加上你想一想
[00:00:07 - 00:00:09] 我一个苏州的普通制造业
[00:00:09 - 00:00:11] 我知道我这个公司去招聘的时候
[00:00:11 - 00:00:14] 221985一定不会来
[00:00:14 - 00:00:15] 我招聘的目标就是双飞
[00:00:15 - 00:00:18] 甚至双飞这个专业比较档次高的学校
[00:00:18 - 00:00:19] 我都不敢去
[00:00:19 - 00:00:21] 因为我愿意向档次一般般
[00:00:21 - 00:00:21] 我怕他不来
[00:00:21 - 00:00:25] 我招聘的目标本身就是普通工班
[00:00:25 - 00:00:28] 那我苏州的制造业的招聘目标
[00:00:28 - 00:00:30] 设定为普通工办的这些企业
[00:00:30 - 00:00:32] 它会不会去外地
[00:00:32 - 00:00:35] 招一个所谓更好一点点的
[00:00:35 - 00:00:36] 学校的学生
[00:00:36 - 00:00:38] 它有必要吗 各位朋友
[00:00:38 - 00:00:41] 你是苏州制造业的企业
[00:00:41 - 00:00:43] 你会跑到外地
[00:00:43 - 00:00:46] 去招一个普通工办
[00:00:46 - 00:00:47] 档次的学校的学生
[00:00:47 - 00:00:49] 你大概率不会这么干
[00:00:49 - 00:00:51] 所以说中低分数段
[00:00:51 - 00:00:54] 暴力工内专业
[00:00:54 - 00:00:56] 就业是有地域性的
[00:00:56 - 00:00:58] 你说的是要考虑运工的稳定性
[00:00:58 - 00:01:00] 有的时候你地方好
[00:01:00 - 00:01:01] 他真的愿意去吗
[00:01:01 - 00:01:03] 大家你想一想
[00:01:03 - 00:01:05] 比如说我苏州的企业
[00:01:05 - 00:01:07] 我找我苏州的一个学校
[00:01:07 - 00:01:09] 或者说我江州户苏南地区的一个学校
[00:01:09 - 00:01:10] 你想
[00:01:10 - 00:01:12] 这个人他如果是本地的
[00:01:12 - 00:01:15] 他本身就在本地是有方
[00:01:15 - 00:01:16] 他如果是外地的
[00:01:16 - 00:01:18] 他当年抱这个学校
[00:01:18 - 00:01:21] 他其实就是图着要在这个地方来就业的
[00:01:21 - 00:01:22] 大家说对不对
[00:01:22 - 00:01:23] 如果说我去外地
[00:01:23 - 00:01:25] 找一个更好的院校的学生
[00:01:25 - 00:01:27] 但是好也没好到哪里去
[00:01:27 - 00:01:29] 大家影响他的中低分数段
[00:01:29 - 00:01:30] 他好也没好到哪里去
[00:01:30 - 00:01:34] 首先这个学校的人员构成一定是这个省份的人多
[00:01:34 - 00:01:36] 而不是我这个省份的人多
[00:01:36 - 00:01:37] 他招聘的时候
[00:01:37 - 00:01:39] 愿不愿意来这个省份都是回事
[00:01:39 - 00:01:41] 而且他可不可以这么去考虑
[00:01:41 - 00:01:44] 如果这个学校的人他愿意来的话
[00:01:44 - 00:01:46] 他包支院的时候他就来了
[00:01:46 - 00:01:47] 他可不可以这么考虑
[00:01:47 - 00:01:48] 对吗
[00:01:48 - 00:01:50] 所以说中低分数段
[00:01:50 - 00:01:51] 他的招聘的时候
[00:01:51 - 00:01:53] 基本上是不太愿意往外地跑的
[00:01:53 - 00:01:55] 所以说中低分数段的理工类专业
[00:01:55 - 00:01:58] 你也是有就业地域性
[00:01:58 - 00:01:59] 这个一定要给大家说清楚
