BV号：BV1mq4y1p7RA
标题：BV1mq4y1p7RA
链接：https://www.bilibili.com/video/BV1mq4y1p7RA
识别语言：zh
语言置信度：1
分段数：21
生成时间：2026-04-03 23:11:58

[00:00:00 - 00:00:03] 所以說如果說你農業種植類和醫學臨床類
[00:00:03 - 00:00:06] 這兩類專業是只種地獄不看學校也不看專業
[00:00:06 - 00:00:07] 知道吧
[00:00:07 - 00:00:09] 那剩下的專業怎麼辦
[00:00:09 - 00:00:10] 剩下的專業大家注意
[00:00:10 - 00:00:13] 理工科看專業排名文科類看學校排名
[00:00:13 - 00:00:16] 理工科看專業排名文科類看學校排名
[00:00:16 - 00:00:18] 那為什麼是這個樣子呢
[00:00:18 - 00:00:19] 理工類有兩個特性
[00:00:20 - 00:00:20] 哪兩個特性
[00:00:20 - 00:00:25] 一 這個專業的專業就業對考率比較高
[00:00:25 - 00:00:26] 什麼叫專業就業對考率啊
[00:00:26 - 00:00:29] 你學這個專業將來是不是幹這個的
[00:00:29 - 00:00:33] 换句话说你将来要干这个行当是不是必须得学这个专业
[00:00:34 - 00:00:36] 你还在理工内这种特点是不是很强啊
[00:00:37 - 00:00:37] 对吧
[00:00:37 - 00:00:40] 你说老张老张老张老师我将来想干盖房子
[00:00:40 - 00:00:41] 你学机械能盖房子吗
[00:00:42 - 00:00:43] 该个毕业你是吧
[00:00:43 - 00:00:47] 所以说的话你会发现这种专业的专业就业对口性极高
[00:00:47 - 00:00:49] 那么这个专业有可能会跟你一辈子
