BV号：BV1YX4y1a7We
标题：BV1YX4y1a7We
链接：https://www.bilibili.com/video/BV1YX4y1a7We
识别语言：zh
语言置信度：1
分段数：32
生成时间：2026-04-03 14:19:28

[00:00:00 - 00:00:02] 你的优势学科是什么
[00:00:02 - 00:00:04] 然后的话根据你的优势学科
[00:00:04 - 00:00:05] 在这儿专业
[00:00:05 - 00:00:06] 不是在学专业
[00:00:06 - 00:00:09] 就是放大你优势学科的优势
[00:00:09 - 00:00:10] 其实人家一生啊
[00:00:10 - 00:00:13] 你不要去所谓一直在补你的短板
[00:00:13 - 00:00:15] 你只要这个短板
[00:00:15 - 00:00:17] 不是一个特别大的问题
[00:00:17 - 00:00:19] 是不需要补的
[00:00:19 - 00:00:22] 就比如说我这个人我心省不了艺术
[00:00:22 - 00:00:24] 这是我的一个所谓的短板
[00:00:24 - 00:00:26] 我需要补他们我不需要补
[00:00:26 - 00:00:29] 有的人唱歌跑掉这是我的短板
[00:00:29 - 00:00:29] 我需要补呢
[00:00:29 - 00:00:31] 我不需要补
[00:00:31 - 00:00:35] 你只需要放大你身上最大的那个优点
[00:00:35 - 00:00:36] 你就饿不死
[00:00:36 - 00:00:37] 所以说我就经常问大家
[00:00:37 - 00:00:40] 我说你一定要看清楚你的数学
[00:00:40 - 00:00:40] 你的物理
[00:00:40 - 00:00:41] 你的化学
[00:00:41 - 00:00:43] 你的优势在哪里
[00:00:43 - 00:00:44] 然后你报纸院的时候的话
[00:00:44 - 00:00:46] 去应对你的优势去做
[00:00:46 - 00:00:48] 而不要去所谓的
[00:00:48 - 00:00:49] 体人云易云
[00:00:49 - 00:00:50] 别人说这个端也好
[00:00:50 - 00:00:53] 而你的优势学科并不在这
[00:00:53 - 00:00:55] 你硬上这是不对的
[00:00:55 - 00:00:57] 要顺常试而为
[00:00:57 - 00:00:59] 而不是逆短板而上
