BV号：BV13e4y187py
标题：BV13e4y187py
链接：https://www.bilibili.com/video/BV13e4y187py
识别语言：zh
语言置信度：1
分段数：37
生成时间：2026-04-03 17:36:55

[00:00:00 - 00:00:02] 我们考研当中很多人他去拍脑的订院校
[00:00:02 - 00:00:03] 拍脑的订院校是不对的
[00:00:03 - 00:00:05] 你应该在考研当中列目标的时候
[00:00:05 - 00:00:07] 应该列出一个高档的目标
[00:00:07 - 00:00:08] 列出一个中档的目标
[00:00:08 - 00:00:09] 再列一个低档的目标
[00:00:09 - 00:00:11] 这个高中低三个档次的目标
[00:00:11 - 00:00:12] 他们有个共同的特点
[00:00:12 - 00:00:14] 就是考的专业课是一样的
[00:00:14 - 00:00:17] 然后的话你根据自己的夫妻情况
[00:00:17 - 00:00:18] 去订院校
[00:00:18 - 00:00:20] 比如说你小老说我二本计算机
[00:00:20 - 00:00:22] 他考研不是说我二本是不是考一本
[00:00:22 - 00:00:24] 一本是不是考二二要二二是不是考九八五
[00:00:24 - 00:00:26] 头铁的人死的人全是这么死的
[00:00:26 - 00:00:27] 就是因为在选校的时候
[00:00:27 - 00:00:29] 瞎选 乱选
[00:00:29 - 00:00:30] 那实际上应该怎么去选呢
[00:00:30 - 00:00:33] 根据你自己的成绩和情况去订阅销
[00:00:33 - 00:00:36] 而不是跟你所谓的一本二本订阅销
[00:00:36 - 00:00:37] 如果说你说老师
[00:00:37 - 00:00:38] 我现在我Panel的订阅销
[00:00:38 - 00:00:40] 要么就暴低了
[00:00:40 - 00:00:41] 要么暴高了
[00:00:41 - 00:00:43] 尤其是那些R21985的学校
[00:00:43 - 00:00:44] 它容易高速不上盘
[00:00:44 - 00:00:45] 它自己R219的就想
[00:00:45 - 00:00:47] 我一定要考一个比我取消更好的学校
[00:00:47 - 00:00:49] 结果直接把我们这儿钉在了985
[00:00:49 - 00:00:50] 你实力高吗
[00:00:50 - 00:00:51] 你就往它那儿定了
[00:00:51 - 00:00:52] 然后还有一些R219的同学
[00:00:52 - 00:00:53] 明明实力很强
[00:00:53 - 00:00:54] 自己夫妻的很好
[00:00:54 - 00:00:56] 结果他生怕自己考不上985
[00:00:57 - 00:00:59] 我們都忘了就是後悔
[00:00:59 - 00:01:00] 怎麼還沒考更好的學校
