BV号：BV1u14y1b7To
标题：BV1u14y1b7To
链接：https://www.bilibili.com/video/BV1u14y1b7To
识别语言：zh
语言置信度：1
分段数：39
生成时间：2026-04-03 18:05:18

[00:00:00 - 00:00:01] 公共事业管理
[00:00:01 - 00:00:02] 这个专业我告诉大家
[00:00:02 - 00:00:03] 你一旦考研的话
[00:00:03 - 00:00:04] 考公共事业管理
[00:00:04 - 00:00:05] 这个基本上考不上
[00:00:05 - 00:00:06] 因为确实是比较难的
[00:00:06 - 00:00:08] 我太难了
[00:00:08 - 00:00:09] 公共事业管理的话
[00:00:09 - 00:00:10] 它分成五个二十学科
[00:00:10 - 00:00:11] 第一个叫行政管理
[00:00:11 - 00:00:12] 第二个叫什么呢
[00:00:12 - 00:00:14] 叫做劳动与社会保障
[00:00:14 - 00:00:15] 第三个什么呢
[00:00:15 - 00:00:16] 叫做社会医疗事业
[00:00:16 - 00:00:17] 与公共事业管理
[00:00:17 - 00:00:18] 叫医疗管理
[00:00:18 - 00:00:19] 第四个叫什么呢
[00:00:19 - 00:00:21] 叫教育经济与管理
[00:00:21 - 00:00:23] 第五个叫土地资源管理
[00:00:23 - 00:00:24] 其中土地资源管理
[00:00:24 - 00:00:25] 这个专业要考数学
[00:00:25 - 00:00:27] 你这个专业一般是不好学的
[00:00:27 - 00:00:28] 你考不了土地资源管理
[00:00:28 - 00:00:30] 然后的话医疗管理
[00:00:30 - 00:00:33] 人家一科大学有公关专业
[00:00:33 - 00:00:36] 人家自己考本校考的就是医疗管理
[00:00:36 - 00:00:37] 然后教育经济管理
[00:00:37 - 00:00:40] 师范大学也有自己的公关专业
[00:00:40 - 00:00:40] 知道吧
[00:00:40 - 00:00:42] 也就是说你学公共事业管理的话
[00:00:42 - 00:00:44] 你主要考的是自己的行政管理和社会保障
[00:00:44 - 00:00:46] 他考不了专所只能考实所
[00:00:46 - 00:00:48] 所以说的考研相对比较难
[00:00:48 - 00:00:49] 相比之下
[00:00:49 - 00:00:53] 工商管理考研比公共事业管理要简单
[00:00:53 - 00:00:55] 所以说这两个专业当中
[00:00:55 - 00:00:56] 優先選工商管理
[00:00:56 - 00:00:58] 後選公共管理
[00:00:58 - 00:00:58] 能明白嗎
