BV号：BV1LiqAYiE1G
标题：BV1LiqAYiE1G
链接：https://www.bilibili.com/video/BV1LiqAYiE1G
识别语言：zh
语言置信度：1
分段数：44
生成时间：2026-04-03 07:10:14

[00:00:00 - 00:00:02] 什么叫地信给大家科普一下
[00:00:02 - 00:00:05] 地信就是把地理信息数据
[00:00:05 - 00:00:07] 给它信息化软件化
[00:00:07 - 00:00:08] 这个叫地信
[00:00:08 - 00:00:10] 但为什么叫做测汇加计算机呢
[00:00:10 - 00:00:12] 我去测地理数据
[00:00:12 - 00:00:13] 这个叫测汇
[00:00:13 - 00:00:14] 我拿一个根
[00:00:14 - 00:00:15] 我去测地理数据
[00:00:15 - 00:00:16] 这叫测汇
[00:00:16 - 00:00:18] 我把测出来的地理数据
[00:00:18 - 00:00:20] 给它软件化信息化
[00:00:20 - 00:00:21] 网络化
[00:00:21 - 00:00:22] 这个叫做地信
[00:00:22 - 00:00:23] 所以说就相当于
[00:00:23 - 00:00:26] 我去编一套所谓的这样的程序
[00:00:26 - 00:00:28] 或者是做一个这样的系统
[00:00:28 - 00:00:31] 把地理数据给它展现在我的这个软件
[00:00:31 - 00:00:33] 画信息化的东西上
[00:00:33 - 00:00:35] 它可以用于方方面面
[00:00:35 - 00:00:36] 比如说
[00:00:36 - 00:00:38] 给大家举个简单的例子
[00:00:38 - 00:00:40] 比如说我建风力发电场
[00:00:40 - 00:00:41] 我在一个地方
[00:00:41 - 00:00:43] 我要建风力发电场
[00:00:43 - 00:00:45] 我首先要有这个地方的地理信息
[00:00:45 - 00:00:47] 比如说
[00:00:47 - 00:00:48] 它海拔多少
[00:00:48 - 00:00:48] 比如说
[00:00:48 - 00:00:50] 它会不会挡什么其他东西
[00:00:50 - 00:00:51] 比如说它一年挂多少是风
[00:00:51 - 00:00:53] 每次风大的时候能多
[00:00:53 - 00:00:54] 大小的时候能多小
[00:00:54 - 00:00:57] 这个叫做把地理的信息
[00:00:57 - 00:00:59] 给它数据化软件化信息化
[00:00:59 - 00:01:01] 叫地理信息科学
[00:01:01 - 00:01:01] 所以说
[00:01:01 - 00:01:03] 如果说你学的一般般呢
[00:01:03 - 00:01:05] 你只能去测地理信息
[00:01:05 - 00:01:08] 如果说你学的比较好的话呢
[00:01:08 - 00:01:10] 你就可以去把它做编程
[00:01:10 - 00:01:11] 做软件化信息化数据
[00:01:11 - 00:01:12] 这个叫地理信息科学
[00:01:12 - 00:01:13] 大家听懂了吗
