BV号：BV1Wxcde4EHD
标题：BV1Wxcde4EHD
链接：https://www.bilibili.com/video/BV1Wxcde4EHD
识别语言：zh
语言置信度：1
分段数：37
生成时间：2026-04-03 06:12:42

[00:00:00 - 00:00:02] 加上数字媒体技术这个专业是干嘛的
[00:00:02 - 00:00:04] 数字媒体技术是用计算机的方法
[00:00:04 - 00:00:08] 把一些艺术的一些形式给它呈现出来
[00:00:08 - 00:00:09] 就是你可以把它理解为
[00:00:09 - 00:00:11] 像做游戏包括做电影特效
[00:00:11 - 00:00:14] 它多属于叫数字媒体技术这方面的
[00:00:16 - 00:00:17] 大家一定要注意一下
[00:00:17 - 00:00:18] 就是这个
[00:00:18 - 00:00:20] 加拿大说的是这个专业
[00:00:21 - 00:00:23] 就是数字媒体这方面的话
[00:00:23 - 00:00:24] 它有两个专业
[00:00:24 - 00:00:26] 一个叫数字媒体技术
[00:00:26 - 00:00:28] 一个叫数字媒体艺术
[00:00:28 - 00:00:30] 它是两个不同的东西
[00:00:30 - 00:00:32] 这个属于计算机大类
[00:00:32 - 00:00:34] 叫数字媒体技术
[00:00:34 - 00:00:35] 如果说这个学生
[00:00:35 - 00:00:38] 他要报的是数字媒体一一副
[00:00:38 - 00:00:39] 这是一个艺术类专业
[00:00:39 - 00:00:41] 这是要参加一考的
[00:00:41 - 00:00:43] 这个是数字媒体技术
[00:00:43 - 00:00:44] 这是一个理工类专业
[00:00:44 - 00:00:46] 这个是不需要参加一考
[00:00:46 - 00:00:48] 属于计算机大类里边的专业
[00:00:48 - 00:00:51] 但是大家你看到数字媒体技术
[00:00:51 - 00:00:54] 大家看到后边这个专业
[00:00:54 - 00:00:56] 数字媒体技术这个专业
[00:00:56 - 00:00:58] 它属于计算积累
[00:00:58 - 00:00:59] 它属于计算积累
[00:01:00 - 00:01:03] 但是这个专业全国开设的院搜并不是那么很多
[00:01:04 - 00:01:07] 虚中中传是目前在本专阶段
[00:01:07 - 00:01:09] 招这个专业比较好的这个学校
[00:01:09 - 00:01:10] 它左做的是什么呢
[00:01:10 - 00:01:12] 它左做的是游戏呀
[00:01:12 - 00:01:13] 电影啊
[00:01:13 - 00:01:14] 一些它的数字特效
[00:01:14 - 00:01:16] 它左是做的这些东西
