BV号：BV1assZeuECd
标题：BV1assZeuECd
链接：https://www.bilibili.com/video/BV1assZeuECd
识别语言：zh
语言置信度：1
分段数：61
生成时间：2026-04-03 08:11:30

[00:00:00 - 00:00:01] 往往你会发现在体制的
[00:00:01 - 00:00:03] 你是越遵守规则越好
[00:00:03 - 00:00:04] 但是你在体制外
[00:00:04 - 00:00:05] 你是越不遵守规则越好
[00:00:05 - 00:00:06] 家长朋友
[00:00:06 - 00:00:08] 我不知道你们认不认可我说的这句话
[00:00:08 - 00:00:11] 在体制是越遵守规则越好
[00:00:11 - 00:00:14] 在体制外是越不遵守规则越好
[00:00:14 - 00:00:15] 所以说如果说你的孩子是属于那种
[00:00:15 - 00:00:16] 遵守规则
[00:00:16 - 00:00:18] 纪律性各方面比较强的
[00:00:18 - 00:00:19] 能够听人话的
[00:00:19 - 00:00:22] 可能阳光起会科威更好一些
[00:00:22 - 00:00:24] 但是如果说你要是那种说
[00:00:24 - 00:00:26] 可能偏不太遵守规则的
[00:00:26 - 00:00:28] 脑子里边东西比较天马行空的
[00:00:28 - 00:00:31] 那基本上可能你相对更适合体制外
[00:00:31 - 00:00:34] 但是能在这两种体制之内混得好的
[00:00:34 - 00:00:35] 一定不是单一性格
[00:00:35 - 00:00:38] 它一定是偏情话
[00:00:38 - 00:00:40] 有点想法
[00:00:40 - 00:00:41] 或者是偏不听话
[00:00:41 - 00:00:45] 但是在这帮不听话的人当中相对随手不为何
[00:00:45 - 00:00:46] 往往在这两类当中
[00:00:46 - 00:00:48] 会在最上面
[00:00:48 - 00:00:49] 一般是这样
[00:00:49 - 00:00:50] 所以说的不是绝对的
[00:00:50 - 00:00:51] 它是相对的
[00:00:51 - 00:00:53] 它一定是两种比例在参
[00:00:53 - 00:00:55] 而不是说那种比例
[00:00:55 - 00:00:56] 更所谓的说
[00:00:56 - 00:00:57] 这孩子就全是那样
[00:00:57 - 00:00:58] 或全不是那样
[00:00:58 - 00:01:00] 这些东西得看一下你自己
[00:01:00 - 00:01:01] 慢慢在工作当中
[00:01:01 - 00:01:02] 你的感觉
[00:01:02 - 00:01:04] 你在这种体制内的单位也好
[00:01:04 - 00:01:05] 体制外的单位也好
[00:01:05 - 00:01:06] 你的这种感觉
[00:01:06 - 00:01:07] 也是蛮重要的
[00:01:07 - 00:01:08] 比如说举个例子
[00:01:08 - 00:01:10] 像我们是属于体制外的单位
[00:01:11 - 00:01:13] 我们是属于那种偏不尊重规则的
[00:01:13 - 00:01:14] 思想要灵活的
[00:01:14 - 00:01:16] 才能把得市场掀机
[00:01:16 - 00:01:17] 这种偏灵活的人
[00:01:17 - 00:01:20] 他可能是比较偏做市场
[00:01:20 - 00:01:22] 或者是偏做产品
[00:01:22 - 00:01:23] 但是在当产品经理
[00:01:23 - 00:01:25] 但是在这个产品的生产
[00:01:25 - 00:01:26] 研发后场当中
[00:01:26 - 00:01:29] 我们是希望有能够遵守规则的人
[00:01:29 - 00:01:31] 在做事要细
[00:01:31 - 00:01:33] 但是阳光起来很有可能就是
[00:01:33 - 00:01:34] 你首先你要遵守规则
[00:01:34 - 00:01:36] 但是你的思想稍微比较灵活
[00:01:36 - 00:01:37] 你眼力界比较高
[00:01:37 - 00:01:39] 那可能你可能就爬上去
[00:01:39 - 00:01:40] 但是如果说你思想没有那么灵活
[00:01:40 - 00:01:42] 眼力界没有那么好的可能
[00:01:42 - 00:01:45] 发展的空间可能没有你想象当中那么大
