BV号：BV1A44y1z7d3
标题：BV1A44y1z7d3
链接：https://www.bilibili.com/video/BV1A44y1z7d3
识别语言：zh
语言置信度：1
分段数：50
生成时间：2026-04-03 23:14:46

[00:00:00 - 00:00:03] 這個是咱們2020年前8個月
[00:00:03 - 00:00:06] 部分城市一般的預算計算
[00:00:06 - 00:00:08] 預計的一個數目
[00:00:08 - 00:00:11] 大家知道2020年前8個月
[00:00:11 - 00:00:12] 你在前8個月頭
[00:00:12 - 00:00:13] 大家都知道
[00:00:13 - 00:00:16] 我們當時有一些城市還有一些疫情
[00:00:16 - 00:00:16] 對吧
[00:00:16 - 00:00:20] 因為之前可能是我記得是那個時候
[00:00:20 - 00:00:21] 前幾個月
[00:00:21 - 00:00:23] 幾乎全國所有的城市都是怎麼樣
[00:00:23 - 00:00:25] 都是幾乎停滯
[00:00:25 - 00:00:26] 後來到了4 5月份的時候
[00:00:26 - 00:00:28] 我們慢慢控制住疫情以後的話
[00:00:28 - 00:00:30] 我们才开始复工复产
[00:00:30 - 00:00:30] 对不对
[00:00:30 - 00:00:31] 然后前8个月
[00:00:31 - 00:00:32] 大家注意看
[00:00:33 - 00:00:34] 这个是它的一个增量
[00:00:34 - 00:00:36] 就这一列是一个增量
[00:00:38 - 00:00:39] 大家看到有的城市
[00:00:39 - 00:00:40] 因为疫情怎么样
[00:00:40 - 00:00:41] 受到了影响
[00:00:41 - 00:00:42] 8个月的时候怎么样
[00:00:42 - 00:00:44] GDP还没有摆证
[00:00:44 - 00:00:45] 但是大家发现了
[00:00:45 - 00:00:47] 有的城市已经明显
[00:00:47 - 00:00:49] 它的GDP摆证了
[00:00:49 - 00:00:50] 然后你会发现前面这个
[00:00:51 - 00:00:51] 这个是杭州
[00:00:52 - 00:00:53] 这是杭州
[00:00:54 - 00:00:55] GDP摆证的这个是哪儿
[00:00:55 - 00:00:57] 这个就是我现在所在的地方
[00:00:57 - 00:00:58] 就是苏州
[00:00:58 - 00:01:00] 然后这边GDP摆正的南京
[00:01:00 - 00:01:02] 这边GDP摆正的这是宁波
[00:01:02 - 00:01:05] 下面这边GDP摆正的就是吴希
[00:01:05 - 00:01:06] 就在我们隔壁
[00:01:06 - 00:01:08] 然后下面GDP摆正的在温州
[00:01:08 - 00:01:11] 下面GDP摆正的这个是南通
[00:01:11 - 00:01:12] 也是在我们的隔壁
[00:01:12 - 00:01:15] 大家发现整个江浙户地区的城市
[00:01:15 - 00:01:17] GDP相对怎么样
[00:01:17 - 00:01:19] 8个月的时候它就可以直接摆正
[00:01:19 - 00:01:20] 那么其他省省
[00:01:20 - 00:01:21] 在前8个月的时候
[00:01:21 - 00:01:24] GDP都是受一些影响的
[00:01:24 - 00:01:25] 那么这张图片大家也可以看到
[00:01:25 - 00:01:29] 每一個城市真是不太一樣
[00:01:29 - 00:01:30] 真是不太一樣的
