BV号：BV11NtozWEcY
标题：BV11NtozWEcY
链接：https://www.bilibili.com/video/BV11NtozWEcY
识别语言：zh
语言置信度：1
分段数：62
生成时间：2026-04-03 04:14:51

[00:00:00 - 00:00:02] 哎你好 张老师你好 你好 你说
[00:00:02 - 00:00:05] 我是那个今年是西安店的科学大学
[00:00:05 - 00:00:08] 然后是数据科学与大书记专业
[00:00:08 - 00:00:10] 嗯 然后他这个是三加一的
[00:00:10 - 00:00:11] 然后又是新增的
[00:00:11 - 00:00:13] 然后我就不知道就是
[00:00:13 - 00:00:14] 中外合作吗
[00:00:15 - 00:00:16] 是中外合作
[00:00:16 - 00:00:18] 然后呢 是中外合作
[00:00:18 - 00:00:20] 然后的话他这个是三加一的
[00:00:20 - 00:00:23] 他这个出去留学一年之后
[00:00:23 - 00:00:26] 然后回来是怎么是去考国内的学校
[00:00:26 - 00:00:28] 还是考国外的学校这个
[00:00:28 - 00:00:33] 你一般情况下三加一都是可能海外更会适合一些
[00:00:33 - 00:00:35] 因为你口温内学校你有晚一年了呀
[00:00:35 - 00:00:36] 对吧
[00:00:36 - 00:00:37] 你就跟下一届一起做
[00:00:37 - 00:00:38] 哦
[00:00:38 - 00:00:40] 那这个专业是怎么样
[00:00:40 - 00:00:41] 计算机
[00:00:41 - 00:00:42] 他就是属于计算机
[00:00:42 - 00:00:44] 然后就是网上什么人都说
[00:00:44 - 00:00:45] 选哪个那个专业
[00:00:45 - 00:00:46] 然后学的又多
[00:00:46 - 00:00:48] 孩子是这样子啊
[00:00:48 - 00:00:49] 我还是那句话
[00:00:49 - 00:00:50] 接着两天我在网上刷
[00:00:50 - 00:00:52] 我还刷过自己的一段视频
[00:00:52 - 00:00:54] 我们人这辈子做事一定要做什么
[00:00:54 - 00:00:57] 那时一定要做哪个正确的事情
[00:00:57 - 00:00:59] 如果说这个事不难
[00:00:59 - 00:01:01] 孩子你能做别人也能做
[00:01:01 - 00:01:03] 这个事本身就没有价值
[00:01:03 - 00:01:04] 能明白吗
[00:01:04 - 00:01:07] 如果说这个事你会做别人也会做
[00:01:07 - 00:01:09] 那我到底让谁做呢
[00:01:10 - 00:01:11] 正因为它难
[00:01:11 - 00:01:14] 我会做别人不会
[00:01:14 - 00:01:17] 正因为它难有的人学着学着学不下去了
[00:01:17 - 00:01:20] 而我坚持下来我学着学着我能学上去
[00:01:20 - 00:01:22] 所以说你才是有价值的
[00:01:22 - 00:01:25] 首先难不难我先放在一边对不对
[00:01:25 - 00:01:27] 我学这个东西有没有用
[00:01:27 - 00:01:29] 你就想现在这个社会
[00:01:29 - 00:01:30] 对于数据的需求
[00:01:30 - 00:01:33] 对于数据的这种分析的需求
[00:01:33 - 00:01:34] 重要不重要
[00:01:34 - 00:01:35] 如果是重要的话
[00:01:35 - 00:01:37] 就需要有人来做这个事
[00:01:37 - 00:01:38] 那你能不能做这个事
[00:01:38 - 00:01:40] 那就是你的问题了
[00:01:40 - 00:01:42] 所以说我们要做难而正确的事情
[00:01:42 - 00:01:43] 你不要因为难
[00:01:43 - 00:01:45] 你就不去做
[00:01:45 - 00:01:47] 要做难而正确的事情
[00:01:47 - 00:01:48] 能明白吗
[00:01:48 - 00:01:49] 你才会成为
[00:01:49 - 00:01:50] 更好的一个
[00:01:50 - 00:01:51] 更优秀的那一个
[00:01:51 - 00:01:53] 所以说的话不要被难
[00:01:53 - 00:01:54] 干啥不难孩子
[00:01:54 - 00:01:56] 干啥部呢
