BV号：BV1FJ411x79N
标题：BV1FJ411x79N
链接：https://www.bilibili.com/video/BV1FJ411x79N
识别语言：zh
语言置信度：1
分段数：90
生成时间：2026-04-04 04:32:31

[00:00:00 - 00:00:02] 那如果你要是敢跨專業考驗的
[00:00:02 - 00:00:03] 老師肯定問你什麼問題
[00:00:03 - 00:00:05] 他肯定問你為什麼跨專業
[00:00:05 - 00:00:06] 對不對
[00:00:06 - 00:00:08] 你像這種問題的話大家一定要提前準備
[00:00:08 - 00:00:09] 說老師很有可能會問的
[00:00:09 - 00:00:10] 知道吧
[00:00:10 - 00:00:11] 很有可能會問的
[00:00:11 - 00:00:13] 那同學你要知道還是那句話
[00:00:13 - 00:00:14] 有的時候實話不能瞎說
[00:00:14 - 00:00:14] 知道吧
[00:00:14 - 00:00:16] 你比如說有一次我們有個學員
[00:00:16 - 00:00:17] 就碰到這個問題
[00:00:17 - 00:00:19] 老師問他你為什麼學這個專業
[00:00:19 - 00:00:21] 老師因為我怕別的專業我考不上
[00:00:21 - 00:00:23] 你死想死是吧
[00:00:23 - 00:00:25] 你不能這麼說你知道吧
[00:00:25 - 00:00:26] 比如我幫你準備一個
[00:00:26 - 00:00:29] 什麼叫高大上我幫你準備一個
[00:00:29 - 00:00:31] 來同學假如說你要跨專業的話
[00:00:31 - 00:00:32] 假如說你要跨專業的話
[00:00:32 - 00:00:34] 來我問你你為什麼要跨專業
[00:00:35 - 00:00:36] 你為什麼要跨專業
[00:00:36 - 00:00:38] 因為老師我喜歡這個專業
[00:00:38 - 00:00:40] 我跟你說大家都這麼說
[00:00:40 - 00:00:41] 知道嗎你一點沒有亮點
[00:00:41 - 00:00:43] 老師記不住你知道吧
[00:00:43 - 00:00:44] 老師那我到底為什麼要跨專業
[00:00:44 - 00:00:45] 同學記錄啊
[00:00:45 - 00:00:47] 只要問你為什麼考這個專業
[00:00:47 - 00:00:48] 為什麼跨專業的話
[00:00:48 - 00:00:48] 答案
[00:00:48 - 00:00:50] 標準的案都是一模一樣的
[00:00:50 - 00:00:51] 我給你一個標準的案
[00:00:51 - 00:00:52] 為什麼
[00:00:52 - 00:00:53] 因為
[00:00:53 - 00:00:55] 你們家祖宗八輩都是幹這個的
[00:00:57 - 00:00:57] 為什麼當老師
[00:00:57 - 00:00:59] 我爸老师我妈老师
[00:00:59 - 00:01:01] 爷奶奶生存教师
[00:01:01 - 00:01:01] 为什么当医生
[00:01:01 - 00:01:03] 我爸医生我妈医生
[00:01:03 - 00:01:04] 爷奶奶吃酒医生
[00:01:04 - 00:01:05] 别那么学土木
[00:01:05 - 00:01:06] 我爸包光头子
[00:01:06 - 00:01:06] 别那么学机械
[00:01:06 - 00:01:07] 我爸修车的
[00:01:07 - 00:01:08] 别那么学通信
[00:01:08 - 00:01:09] 我爸中文移动的
[00:01:09 - 00:01:09] 我妈中文联通的
[00:01:09 - 00:01:10] 我爷爷中文电信的
[00:01:11 - 00:01:12] 对吧
[00:01:12 - 00:01:14] 那老师这什么意思
[00:01:14 - 00:01:15] 来 我给你举个例子
[00:01:15 - 00:01:15] 比如说张老师
[00:01:15 - 00:01:17] 我是学计算机专业的
[00:01:17 - 00:01:18] 我要考通信专业
[00:01:18 - 00:01:19] 同学
[00:01:19 - 00:01:20] 你为什么学计算机专业
[00:01:20 - 00:01:21] 考通信专业
[00:01:21 - 00:01:22] 老师因为我二一副
[00:01:22 - 00:01:23] 就是学通信的
[00:01:23 - 00:01:24] 那老师我二一副
[00:01:24 - 00:01:25] 不是去通信的
[00:01:25 - 00:01:26] 他是
[00:01:26 - 00:01:27] 知道嗎
[00:01:27 - 00:01:28] 你就當他是
[00:01:28 - 00:01:29] 知道嗎
[00:01:29 - 00:01:30] 我二一副就是通信專業的
[00:01:30 - 00:01:32] 畢業以後回到我們室
[00:01:32 - 00:01:33] 在移動公司工作
[00:01:33 - 00:01:34] 工作穩定
[00:01:34 - 00:01:35] 工資待遇高
[00:01:35 - 00:01:37] 福利還好
[00:01:37 - 00:01:39] 所以當時我在天寫本課專業的時候
[00:01:39 - 00:01:41] 我二一副和我的家人給我的建議是
[00:01:41 - 00:01:43] 讓我天寫通信專業
[00:01:43 - 00:01:44] 發生什麼事情了
[00:01:44 - 00:01:46] 美好好
[00:01:46 - 00:01:47] 通信專業沒有
[00:01:47 - 00:01:48] 給我調節到了計算機專業
[00:01:48 - 00:01:48] 對吧
[00:01:48 - 00:01:51] 但是你對通信專業死心嗎
[00:01:51 - 00:01:51] 不死心
[00:01:51 - 00:01:53] 上大一就開始跟通信專業的同學
[00:01:53 - 00:01:55] 一起上他们的专业课 对吧
[00:01:55 - 00:01:56] 越上越感兴趣越上越感兴趣
[00:01:56 - 00:01:59] 老师今天我跨专业考他们通行专业
[00:01:59 - 00:02:02] 为了是完成我四年前未完成的梦想啊
[00:02:02 - 00:02:02] 买份答案
