BV号：BV1pV411478Z
标题：BV1pV411478Z
链接：https://www.bilibili.com/video/BV1pV411478Z
识别语言：zh
语言置信度：1
分段数：14
生成时间：2026-04-03 23:36:49

[00:00:00 - 00:00:03] 张老师刚出考场的考生表示要准备考研了
[00:00:03 - 00:00:04] 您怎么看
[00:00:04 - 00:00:06] 咱们高三刚考完
[00:00:06 - 00:00:08] 干嘛那么着急准备考研啊
[00:00:08 - 00:00:09] 你离考研还远着呢
[00:00:09 - 00:00:12] 咱们该放松一下就放松一下
[00:00:12 - 00:00:12] 咱们欧洲杯啊
[00:00:12 - 00:00:14] 还有三天时间就开幕了
[00:00:14 - 00:00:16] 咱们该看球赛看球赛
[00:00:16 - 00:00:18] 老一接合才是比较好的方法
[00:00:18 - 00:00:20] 而且我最喜欢的解说员黄金铁老师呢
[00:00:20 - 00:00:23] 今年也会加入解说欧洲杯的阵容
[00:00:23 - 00:00:25] 大家一定要好好把握机会看球啊
[00:00:25 - 00:00:26] 该看就看起来
