BV号：BV1SW4y117G6
标题：BV1SW4y117G6
链接：https://www.bilibili.com/video/BV1SW4y117G6
识别语言：zh
语言置信度：1
分段数：19
生成时间：2026-04-03 18:17:07

[00:00:00 - 00:00:04] 農業大學比較好的專業給大家再科普一下
[00:00:04 - 00:00:06] 農業大學比較好的專業除了這些專業以外
[00:00:06 - 00:00:09] 還有什麼專業可以值得報啊
[00:00:09 - 00:00:11] 大家注意首先第一個叫土地資源管理
[00:00:11 - 00:00:15] 然後第二個農業我們給大家講過叫金融學
[00:00:15 - 00:00:16] 農村金融
[00:00:16 - 00:00:22] 然後的話第三大家你要注意農業大學裡邊的功課也是非常不錯的
[00:00:22 - 00:00:24] 比如說農業工程下方所屬的一些專業
[00:00:24 - 00:00:25] 比如像它電器
[00:00:25 - 00:00:27] 比如像氣象學
[00:00:27 - 00:00:29] 比如像機械
[00:00:29 - 00:00:30] 比如像自动化
[00:00:30 - 00:00:32] 机械比较好的需要自动化可能会有的
[00:00:32 - 00:00:33] 再比如像什么呢
[00:00:33 - 00:00:36] 再比如像我们的水力水电工程
[00:00:36 - 00:00:41] 再比如像我们的建筑装备与能源运用工程叫建环
[00:00:41 - 00:00:44] 那么这些工科专业在农业大学都是比较特色的
[00:00:44 - 00:00:45] 还是不错的
[00:00:45 - 00:00:46] 都是还是不错的
