BV号：BV11tc2ePEjJ
标题：BV11tc2ePEjJ
链接：https://www.bilibili.com/video/BV11tc2ePEjJ
识别语言：zh
语言置信度：1
分段数：67
生成时间：2026-04-03 06:29:28

[00:00:00 - 00:00:01] 来讲讲我跟你说明白
[00:00:01 - 00:00:03] 因为你这个是分数高的文科段
[00:00:03 - 00:00:06] 如果说你将来有非常强烈的意愿
[00:00:06 - 00:00:08] 走选调在地方当官
[00:00:08 - 00:00:11] 哪怕你刚从一个最低级别的
[00:00:11 - 00:00:11] 比如说你河北
[00:00:11 - 00:00:13] 你河北假如说你河北A线
[00:00:13 - 00:00:15] 让你们线叫A线
[00:00:15 - 00:00:16] 你说老师
[00:00:16 - 00:00:18] 我希望将来孩子能够选调
[00:00:18 - 00:00:20] 在河北下面的某一个线
[00:00:20 - 00:00:21] 从基层做起
[00:00:21 - 00:00:23] 刚开始当一个线的
[00:00:23 - 00:00:24] 一个什么什么什么局的
[00:00:24 - 00:00:26] 一个总政科员
[00:00:26 - 00:00:28] 后来慢慢的从这个线的
[00:00:28 - 00:00:31] 据掌到局长到这个县的县长
[00:00:31 - 00:00:33] 大概到我这个年龄的时候
[00:00:33 - 00:00:34] 如果你是青北毕业生
[00:00:34 - 00:00:36] 愿意组基层选调
[00:00:36 - 00:00:37] 从一个县开始的话
[00:00:37 - 00:00:39] 大概到我这个年龄40岁
[00:00:39 - 00:00:41] 你有可能就已经当了县长了
[00:00:41 - 00:00:43] 这是很有可能的
[00:00:43 - 00:00:44] 因为青北毕业生
[00:00:44 - 00:00:46] 在选调在人才选拔这个体系上
[00:00:46 - 00:00:48] 确实是独一党
[00:00:48 - 00:00:49] 不管什么专业
[00:00:49 - 00:00:50] 你都有可能
[00:00:50 - 00:00:52] 大家你看到各地都有这样的
[00:00:52 - 00:00:54] 就是像宁夏
[00:00:54 - 00:00:55] 我前两天看宁夏
[00:00:55 - 00:00:56] 贵州 广西都有这样的
[00:00:56 - 00:00:58] 就是新华大学和北京大学的
[00:00:58 - 00:01:00] 回到当地
[00:01:00 - 00:01:01] 在一个小县城
[00:01:01 - 00:01:02] 然后的话
[00:01:02 - 00:01:03] 混着混着混着
[00:01:03 - 00:01:04] 混得不错的
[00:01:04 - 00:01:04] 到了我这个年龄
[00:01:04 - 00:01:06] 基本都能当县长
[00:01:06 - 00:01:09] 然后如果说不是青北的话
[00:01:09 - 00:01:11] 是很难的
[00:01:11 - 00:01:13] 所以说你要能走到青北的选调
[00:01:13 - 00:01:14] 那是独一党
[00:01:14 - 00:01:16] 就是青北的强级也好
[00:01:16 - 00:01:18] 或者青北的
[00:01:18 - 00:01:20] 这个所谓的三代专线也好
[00:01:20 - 00:01:21] 那是独一党
[00:01:21 - 00:01:22] 但是你不是青北的
[00:01:22 - 00:01:24] 你基本上走这个东西
[00:01:24 - 00:01:25] 没有你想象的那么容易
[00:01:25 - 00:01:29] 然后的话就在所谓的名校的普通专业
[00:01:29 - 00:01:32] 因为三大专项很大的一个特点之一
[00:01:32 - 00:01:34] 就是它的专业并不全
[00:01:34 - 00:01:36] 你可不可以进去以后转专业
[00:01:36 - 00:01:37] 可以
[00:01:37 - 00:01:39] 但是不敢保证
[00:01:39 - 00:01:42] 可以和能是两个不同的问题
[00:01:42 - 00:01:42] 懂吗
[00:01:42 - 00:01:45] 可以和能是两个不同的问题
[00:01:45 - 00:01:46] 可以归可以
[00:01:46 - 00:01:47] 能是另外一个事
[00:01:47 - 00:01:50] 然后你就要在所谓的985
[00:01:50 - 00:01:53] 名校的边缘专业和普通985
[00:01:53 - 00:01:55] 或者是普通21的好专业
[00:01:55 - 00:01:57] 你想干点事去选择
