BV号：BV1qL411G7hk
标题：BV1qL411G7hk
链接：https://www.bilibili.com/video/BV1qL411G7hk
识别语言：zh
语言置信度：1
分段数：30
生成时间：2026-04-03 21:59:45

[00:00:00 - 00:00:02] 所以说地域性很重要
[00:00:03 - 00:00:04] 他只在山西省
[00:00:04 - 00:00:06] 你会发现大家特别喜欢学医
[00:00:06 - 00:00:07] 我发现为什么
[00:00:07 - 00:00:08] 全国的家长都是这样
[00:00:08 - 00:00:09] 特别喜欢让孩子学医
[00:00:09 - 00:00:10] 我想问家长
[00:00:10 - 00:00:11] 有多少家长准备让孩子学医的
[00:00:11 - 00:00:12] 去说我看一下
[00:00:14 - 00:00:16] 你是不敢举了吗
[00:00:16 - 00:00:18] 就你自己
[00:00:19 - 00:00:20] 我跟你说
[00:00:20 - 00:00:22] 今天这天我都不敢劝你学医
[00:00:23 - 00:00:24] 外边下雨
[00:00:25 - 00:00:28] 劝人学医天打雷劈
[00:00:29 - 00:00:30] 我以后还想好好地走出去
[00:00:31 - 00:00:35] 你要學醫的話,這位家長你要抱著這麽幾個心態,知道吧?
[00:00:35 - 00:00:39] 第一,要記錄學醫地域性很重要
[00:00:39 - 00:00:42] 你在那上學基本在那兒就業,能明白嗎?
[00:00:42 - 00:00:43] 這個你知道嗎?
[00:00:43 - 00:00:46] 在那上學基本在那兒就業,大家還在抱著記錄醫學
[00:00:46 - 00:00:49] 在那上學基本在那兒就業,我不知道咱們在座有沒有咱們醫院系統的老師啊?
[00:00:49 - 00:00:50] 醫院系統的朋友
[00:00:50 - 00:00:53] 你在你們醫院,你問一問,就你們醫院
[00:00:53 - 00:00:58] 那些醫生、大夫、護士,哪怕檢驗影像那幫人
[00:00:58 - 00:01:00] 大多數的人畢業於哪個學校?
[00:01:00 - 00:01:02] 山西本省的學校
[00:01:02 - 00:01:03] 外省的學校比例
[00:01:03 - 00:01:06] 幾比10%都不到
[00:01:06 - 00:01:09] 所以說地域性很重要
