BV号：BV1no4y1K74w
标题：BV1no4y1K74w
链接：https://www.bilibili.com/video/BV1no4y1K74w
识别语言：zh
语言置信度：1
分段数：97
生成时间：2026-04-03 14:53:20

[00:00:00 - 00:00:02] 今天跟大家聊一聊伊伊雪
[00:00:02 - 00:00:03] 伊伊雪在每年報考的時候
[00:00:03 - 00:00:04] 都有人勸退
[00:00:04 - 00:00:07] 但是年年熱門分數也一直很高
[00:00:07 - 00:00:10] 而且它有一些其他專業不具備的特點
[00:00:10 - 00:00:11] 所以說在志願填報裡邊
[00:00:11 - 00:00:13] 一直處在一個很特殊的地位
[00:00:13 - 00:00:16] 想報的話一定要提前做好歸罵
[00:00:16 - 00:00:17] 首先在就業的共產當中
[00:00:17 - 00:00:19] 如果說你只是本科畢業的話
[00:00:19 - 00:00:21] 那不是不好就業
[00:00:21 - 00:00:23] 基本上就是無法就業
[00:00:23 - 00:00:24] 這也是張老師一直說的
[00:00:24 - 00:00:25] 學醫一定要考研的原因
[00:00:25 - 00:00:27] 有的東西就說張老師
[00:00:27 - 00:00:28] 我保研
[00:00:28 - 00:00:29] 我上5加3
[00:00:29 - 00:00:30] 我上08起不行
[00:00:30 - 00:00:31] 行
[00:00:31 - 00:00:33] 但是他对学校的层次要求可不低
[00:00:33 - 00:00:34] 尤其是08
[00:00:34 - 00:00:36] 全国只有十几家高校开
[00:00:36 - 00:00:39] 录取分数的普遍是985级别的
[00:00:39 - 00:00:41] 当然你分数够的话最好
[00:00:41 - 00:00:42] 那如果能一步到位的话
[00:00:42 - 00:00:43] 直接上到上
[00:00:43 - 00:00:46] 邪和08这种天花板级别的更好了
[00:00:46 - 00:00:48] 毕竟人家在各类医学院的排行榜上
[00:00:48 - 00:00:50] 一直都是第一名
[00:00:50 - 00:00:53] 还背靠着中国医科院这颗大树
[00:00:53 - 00:00:56] 虽然说只招08和护理俩专业
[00:00:56 - 00:00:58] 但是实力名号那都是相当的小
[00:00:58 - 00:00:59] 而且呢
[00:00:59 - 00:01:01] 零從醫學八年之的這種模式
[00:01:01 - 00:01:03] 就是人家協和手創的
[00:01:03 - 00:01:04] 發展到今天一百多年了
[00:01:04 - 00:01:07] 可以說是一直被模仿從未被超越
[00:01:07 - 00:01:08] 其次呢
[00:01:08 - 00:01:10] 醫學它的專業壁壘呢
[00:01:10 - 00:01:11] 也非常的高
[00:01:11 - 00:01:13] 其他專業小生高生學基本上是
[00:01:13 - 00:01:15] 不可能轉到醫學來的
[00:01:15 - 00:01:17] 這也就是協和這種層次的學校
[00:01:17 - 00:01:20] 近幾年才開了個四加四的試點班
[00:01:20 - 00:01:23] 願意遭受其他專業畢業的本科生
[00:01:23 - 00:01:25] 去讀醫學哪個博士學
[00:01:25 - 00:01:26] 放在其他學上
[00:01:26 - 00:01:27] 也基本不可能
[00:01:27 - 00:01:28] 其三呢
[00:01:28 - 00:01:30] 院校附属医院的实力
[00:01:30 - 00:01:33] 对于医学生以后的发展也是非常重要的
[00:01:33 - 00:01:35] 如果说学生附属医院的实力墙
[00:01:35 - 00:01:37] 那你将来不管是实习
[00:01:37 - 00:01:38] 你还是就业
[00:01:38 - 00:01:39] 你都很大的优势
[00:01:39 - 00:01:41] 咱们还是举协和的例子
[00:01:41 - 00:01:43] 它一共有六家附属医院
[00:01:43 - 00:01:45] 在相关领域里面都是属于十二的
[00:01:45 - 00:01:49] 而且协和的学生都是跟着临床导师做国家籍
[00:01:49 - 00:01:51] 省部籍的科研课题
[00:01:51 - 00:01:55] 还有一科院的十九家科研院所给提供的平台
[00:01:55 - 00:01:57] 科研能力那真的是差不了
[00:01:57 - 00:01:58] 至于说毕业以后啊
[00:01:58 - 00:02:00] 除了协和自己的复习医院以外
[00:02:00 - 00:02:03] 你去北京的其他一些好的三甲医院的机会
[00:02:03 - 00:02:04] 那还是很多的
[00:02:04 - 00:02:05] 有同学说说
[00:02:05 - 00:02:06] 张老师那我不想流精
[00:02:06 - 00:02:07] 那据我所知呢
[00:02:07 - 00:02:09] 像上海的复旦交大系列
[00:02:09 - 00:02:11] 广东的中山医系列
[00:02:11 - 00:02:14] 还有的西南地区的华西系列等这些
[00:02:14 - 00:02:15] 全国顶尖的三甲医院
[00:02:15 - 00:02:18] 都是很认协和这块牌子的
[00:02:18 - 00:02:21] 很多学生的都能进入到不错的科室
[00:02:21 - 00:02:22] 最后呢我想说
[00:02:22 - 00:02:24] 你要是打病毒疫学医了
[00:02:24 - 00:02:26] 那你就不能怕苦
[00:02:26 - 00:02:26] 就好比说
[00:02:26 - 00:02:28] 刚才咱们讲到08
[00:02:28 - 00:02:30] 8年的战线还不断
[00:02:30 - 00:02:32] 虽然说你没有考研考核的压力
[00:02:32 - 00:02:34] 但是你平常上课
[00:02:34 - 00:02:35] 考试
[00:02:35 - 00:02:35] 科研
[00:02:35 - 00:02:37] 再到实习走动作
[00:02:37 - 00:02:38] 要是一关接一关
[00:02:38 - 00:02:39] 压力确实是有
[00:02:39 - 00:02:42] 但好在人家协和不搞什么淘汰制
[00:02:42 - 00:02:43] 正而八经的
[00:02:43 - 00:02:44] 8年一贯制
[00:02:44 - 00:02:45] 势力逼眼睛的不同问题
[00:02:45 - 00:02:46] 所以说
[00:02:46 - 00:02:47] 报考医学之前
[00:02:47 - 00:02:49] 一定得帮帆面面的去了解一下
[00:02:49 - 00:02:51] 像上面张老师说的这些问题
[00:02:51 - 00:02:53] 大家都得好好地衡量一下
