BV号：BV1wS411N7aL
标题：BV1wS411N7aL
链接：https://www.bilibili.com/video/BV1wS411N7aL
识别语言：zh
语言置信度：1
分段数：80
生成时间：2026-04-03 10:05:38

[00:00:00 - 00:00:01] 四川是高考大省之一
[00:00:01 - 00:00:04] 尤其是成都有很多好大学
[00:00:04 - 00:00:07] 所以说每年来找我咨询这方面问题的同学和家人
[00:00:07 - 00:00:08] 也都不少
[00:00:08 - 00:00:10] 那正好咱们今天就给大家介绍一所
[00:00:10 - 00:00:11] 非常有名的双一流大学
[00:00:11 - 00:00:13] 成都理工大学
[00:00:13 - 00:00:16] 成都理工的前身叫做成都地的学院
[00:00:16 - 00:00:19] 由教育部 自然资源部四川省共建
[00:00:19 - 00:00:21] 进校的时候它又吸收了清华南达等
[00:00:21 - 00:00:22] 很多名校的资源
[00:00:22 - 00:00:26] 所以说这所学校在地区工程等方面的实力
[00:00:26 - 00:00:27] 一直都很突出
[00:00:27 - 00:00:30] 经常在Nature Science等国际顶级的期刊上
[00:00:30 - 00:00:31] 发表重大的成果
[00:00:31 - 00:00:33] 也录选了首批双一六大学
[00:00:33 - 00:00:36] 由五个学科排名到了ESI全球的前百亩第一
[00:00:36 - 00:00:39] 它还有一个全国知名的国家自然资源
[00:00:39 - 00:00:41] 科普基地自然博物馆
[00:00:41 - 00:00:43] 里边有很多珍惜的画师
[00:00:43 - 00:00:47] 运食保食都是这个学校发掘研究的
[00:00:47 - 00:00:49] 另外像西起东苏
[00:00:49 - 00:00:50] 西一殿东松
[00:00:50 - 00:00:52] 南水北调这些大工程
[00:00:52 - 00:00:54] 成都理工他也都参与了
[00:00:54 - 00:00:55] 发展到现在
[00:00:55 - 00:00:57] 学校整体实验已经很强了
[00:00:57 - 00:01:01] 它曾经两次独立获得了国家科技进步
[00:01:01 - 00:01:01] 一定讲
[00:01:01 - 00:01:04] 培养出了7名两员院士
[00:01:04 - 00:01:06] 现在学校还有两个国家重点实验室
[00:01:06 - 00:01:08] 这样的数据你放到全国
[00:01:08 - 00:01:10] 那都是可宣可点的
[00:01:10 - 00:01:12] 除了传统地学类专业以外
[00:01:12 - 00:01:14] 像能源 计算机 电子
[00:01:14 - 00:01:16] 工程这些方面也都是它的强项
[00:01:16 - 00:01:18] 很多学科都建立了
[00:01:18 - 00:01:20] 本俗博全程式的一个培养体系
[00:01:20 - 00:01:23] 说到培养那肯定就招不开专业
[00:01:23 - 00:01:26] 成都立工72个招生专业内有48个
[00:01:26 - 00:01:28] 都是国家级升级的一路专业
[00:01:28 - 00:01:31] 包括像软件工程、人工智能、机械、法学等等
[00:01:31 - 00:01:32] 它都误学了
[00:01:32 - 00:01:35] 而且现在学校在新工科、新文科方面
[00:01:35 - 00:01:39] 还有AI加地质机械方面也有很多的改革取错
[00:01:39 - 00:01:41] 针对新型专业和应用型专业
[00:01:41 - 00:01:43] 还开展了精品式的培养
[00:01:43 - 00:01:46] 设置了行星科学营财班
[00:01:46 - 00:01:47] 机械工程创新班
[00:01:47 - 00:01:50] 石油工程创新班的一批特色班
[00:01:50 - 00:01:52] 专门培养八件创新人才
[00:01:52 - 00:01:56] 去年 学校还获批了升级基础学科8间学生
[00:01:56 - 00:01:56] 培养基地
[00:01:56 - 00:01:58] 未来各方面能给到大家的条件
[00:01:58 - 00:02:00] 看起来会越来越好的
[00:02:00 - 00:02:01] 培养方面的资源到位
[00:02:01 - 00:02:04] 交所内的学生自然也就竞争力强了
[00:02:04 - 00:02:07] 那今年来 学生就业多数分布在一二线城市
[00:02:07 - 00:02:10] 就业率基本是能保持在90%以上的
[00:02:10 - 00:02:12] 有很多同学能去到像科业院所
[00:02:12 - 00:02:15] 机关事业单位 国有大中型企业
[00:02:15 - 00:02:17] 还有行业重点企业
[00:02:17 - 00:02:20] 生学方面 学校每年也有三成以上的毕业生
[00:02:20 - 00:02:23] 能夠到國內外的知名學校繼續深造
[00:02:23 - 00:02:25] 最後再給大家多說兩句
[00:02:25 - 00:02:27] 騰德里弘大學坐落在加油互小的
[00:02:27 - 00:02:30] 市中區二仙橋福祭
[00:02:30 - 00:02:33] 包括交通在內的各方的條件都非常的便利
[00:02:33 - 00:02:35] 另外學校發展確實也很快
[00:02:35 - 00:02:38] 我說兩個跟同學們關係比較密切的點
[00:02:38 - 00:02:40] 一就是他近幾年的已經引進了
[00:02:40 - 00:02:43] 500多名海內外知名高校博士
[00:02:43 - 00:02:45] 獅子實力是一年比年強
[00:02:45 - 00:02:48] 二是學校已經更新了各種的智慧教士
[00:02:48 - 00:02:50] 智能设备之类的教学硬件
[00:02:50 - 00:02:51] 都给大家安排上了
[00:02:51 - 00:02:52] 本身就有实力
[00:02:52 - 00:02:54] 能给到大家的资源也很到位
[00:02:54 - 00:02:56] 成都林工大学这样的好学校
[00:02:56 - 00:02:58] 确实值得大家多去关注一下
