BV号：BV1HQ4y197s7
标题：BV1HQ4y197s7
链接：https://www.bilibili.com/video/BV1HQ4y197s7
识别语言：zh
语言置信度：1
分段数：26
生成时间：2026-04-03 23:32:26

[00:00:00 - 00:00:01] 就算上身上有結果
[00:00:01 - 00:00:02] 什麼結果
[00:00:02 - 00:00:04] 很多學校和很多的學業
[00:00:04 - 00:00:06] 去年在聊天的時候
[00:00:06 - 00:00:07] 只招李科生
[00:00:07 - 00:00:09] 不招文科生
[00:00:09 - 00:00:11] 但今年選歷史能不能報
[00:00:11 - 00:00:13] 可以報
[00:00:14 - 00:00:29] 而且現在還有個立化
[00:00:29 - 00:00:37] 三個
[00:00:37 - 00:00:39] 你看你選的是立化
[00:00:39 - 00:00:40] 對不對
[00:00:40 - 00:00:42] 功課沒在上
[00:00:42 - 00:00:43] 功課你這樣不這樣
[00:00:43 - 00:00:46] 因為你沒選顧
[00:00:46 - 00:00:47] 功課沒在上
[00:00:47 - 00:00:49] 立課沒在上
[00:00:49 - 00:00:50] 一課沒在上
[00:00:50 - 00:00:54] 農科有一半的學校為你們開的口子
[00:00:54 - 00:00:57] 你選第一次,你一次專業的你能報
[00:00:57 - 00:01:05] 你沒有選第一次,你也報了
[00:01:05 - 00:01:27] 第一,大家看,告訴我第三個
[00:01:27 - 00:01:30] 這個,先提個大學
[00:01:30 - 00:01:31] 先提個大學
[00:01:31 - 00:01:34] 預防醫學,注意他的選擇和是什麼
[00:01:34 - 00:01:36] 武林軍科
