BV号：BV1AE411C7sV
标题：BV1AE411C7sV
链接：https://www.bilibili.com/video/BV1AE411C7sV
识别语言：zh
语言置信度：1
分段数：157
生成时间：2026-04-04 06:12:48

[00:00:00 - 00:00:02] 但是现在有些时候就是我们很难辨别出来说
[00:00:02 - 00:00:04] 这一个人在心里的这个问题啊
[00:00:04 - 00:00:07] 他是一个病还是一个问题
[00:00:07 - 00:00:12] 比如说现在就是那个有一个特别特别火热的话题
[00:00:12 - 00:00:13] 就是抑郁症的问题
[00:00:13 - 00:00:17] 就是说你比如说抑郁症经常感受到的一些像什么孤单啊
[00:00:17 - 00:00:19] 或者说是可能有一些错败感
[00:00:19 - 00:00:21] 或者怎样的对吧
[00:00:21 - 00:00:23] 那怎么能够辨别出来
[00:00:23 - 00:00:26] 他这种他这种就是是严重到了病的级别
[00:00:26 - 00:00:28] 还是说自己他心里有问题
[00:00:28 - 00:00:31] 就是我怎么分辨我自己心里有事还是心里有病
[00:00:31 - 00:00:33] 这个很简单
[00:00:33 - 00:00:35] 其实这个东西来整段
[00:00:35 - 00:00:36] 也就是说
[00:00:36 - 00:00:38] 一首先就你举的这个例子
[00:00:38 - 00:00:41] 意语是一种很正常的现象
[00:00:41 - 00:00:43] 一个人不意语你活不了
[00:00:43 - 00:00:46] 意语的人是让我们自己冷静下来
[00:00:46 - 00:00:48] 意语其实的主要作用是让我们冷静下来
[00:00:48 - 00:00:51] 去思考自己是一种自信的方式
[00:00:51 - 00:00:53] 那么到病态的时候
[00:00:53 - 00:00:55] 就是你的过度的指向自己
[00:00:55 - 00:00:56] 有时我们在意语之后
[00:00:56 - 00:00:58] 我们会给自己一个寻找一个新的理智
[00:00:59 - 00:01:00] 在心理学上有个角度
[00:01:00 - 00:01:01] 有一个话叫
[00:01:01 - 00:01:02] 抑郁的人最理智
[00:01:02 - 00:01:04] 抑郁的人最理智
[00:01:04 - 00:01:04] 对
[00:01:04 - 00:01:06] 抑郁的人最理智
[00:01:06 - 00:01:07] 为什么抑郁的人最理智啊
[00:01:07 - 00:01:09] 因为抑郁的人一定比你想得多
[00:01:09 - 00:01:11] 比普通人想得多
[00:01:11 - 00:01:12] 他会去思考
[00:01:12 - 00:01:13] 他会把这个东西
