BV号：BV1Uh4y1J7g6
标题：BV1Uh4y1J7g6
链接：https://www.bilibili.com/video/BV1Uh4y1J7g6
识别语言：zh
语言置信度：1
分段数：22
生成时间：2026-04-03 15:36:52

[00:00:00 - 00:00:01] 跟兰州要吃什么
[00:00:01 - 00:00:02] 去兰州吃什么
[00:00:03 - 00:00:03] 对吧
[00:00:04 - 00:00:06] 一定要吃手抓呀
[00:00:06 - 00:00:07] 你到了兰州不吃手抓
[00:00:07 - 00:00:09] 那你说你这
[00:00:09 - 00:00:11] 白去一趟对吧
[00:00:12 - 00:00:15] 晚上在兰州的街边找个烧烤店对吧
[00:00:16 - 00:00:16] 不好
[00:00:16 - 00:00:17] 哎你好
[00:00:19 - 00:00:20] 喂
[00:00:22 - 00:00:22] 喂
[00:00:26 - 00:00:27] 他睡着了
[00:00:27 - 00:00:28] 大家仔细听
[00:00:31 - 00:00:32] 他睡着了
[00:00:32 - 00:00:33] 他在打呼噜
[00:00:45 - 00:00:46] 他睡着了
[00:01:03 - 00:01:04] 小嫂子我来跟他断了
[00:01:16 - 00:01:18] 这波这么长时间啊
[00:01:18 - 00:01:20] 说有的人是不是睡着
[00:01:20 - 00:01:20] 说睡着
[00:01:20 - 00:01:23] 我们的经过经历这个睡着的
