BV号：BV1p54y1k7HB
标题：BV1p54y1k7HB
链接：https://www.bilibili.com/video/BV1p54y1k7HB
识别语言：zh
语言置信度：1
分段数：49
生成时间：2026-04-04 01:20:23

[00:00:00 - 00:00:01] 今天是國慶節
[00:00:01 - 00:00:03] 也是中秋節
[00:00:03 - 00:00:04] 咱們大國小家
[00:00:04 - 00:00:06] 咱們一起慶祝的日子
[00:00:06 - 00:00:08] 兩個節日剛好是一天的這種情況
[00:00:08 - 00:00:10] 在咱們21世紀只有四次
[00:00:10 - 00:00:12] 上一次是在2001年
[00:00:12 - 00:00:13] 這一次就是今天了
[00:00:13 - 00:00:14] 剩下的兩次
[00:00:14 - 00:00:15] 一次是在2031年
[00:00:15 - 00:00:17] 還有一次是在2077年
[00:00:17 - 00:00:18] 這2031年
[00:00:18 - 00:00:20] 我估計大家還能趕得上
[00:00:20 - 00:00:21] 2077年
[00:00:21 - 00:00:23] 反正我搞不好就不好說了
[00:00:23 - 00:00:25] 說不定就是一把灰了
[00:00:25 - 00:00:25] 八天的小專家
[00:00:25 - 00:00:27] 你是早早的就已經計劃好
[00:00:27 - 00:00:29] 跟家人和朋友出去玩的
[00:00:29 - 00:00:31] 还是说准备享受一个懒教
[00:00:31 - 00:00:31] 闯口戏
[00:00:31 - 00:00:32] 让自己稍微放松一下
[00:00:32 - 00:00:34] 给自己一个独处的时间
[00:00:34 - 00:00:36] 今年的也是出于一些特殊的情况
[00:00:36 - 00:00:38] 很多朋友还是选择在家里边
[00:00:38 - 00:00:40] 或者是在室内过节
[00:00:40 - 00:00:40] 比如说我
[00:00:40 - 00:00:43] 我就没有一些远距离的出行计划
[00:00:43 - 00:00:44] 我就打算在家
[00:00:44 - 00:00:45] 看看书
[00:00:45 - 00:00:46] 陪陪孩子
[00:00:46 - 00:00:47] 当然了
[00:00:47 - 00:00:48] 如果你行程不是很满的话
[00:00:48 - 00:00:50] 也可以跟张老师做书友
[00:00:50 - 00:00:51] 一起咱们独度书
[00:00:51 - 00:00:51] 看看报
[00:00:51 - 00:00:53] 过一个有质量的小成价
[00:00:53 - 00:00:55] 咱们发起一个八天读完
[00:00:55 - 00:00:56] 一本书的计划
[00:00:56 - 00:00:57] 参与方式的非常简单
[00:00:57 - 00:01:00] 现在你就在评论区下方写下一本
[00:01:00 - 00:01:02] 你想好好读的一本书的书名
[00:01:02 - 00:01:03] 然后附近如果有书店的话
[00:01:03 - 00:01:04] 你就去买
[00:01:04 - 00:01:04] 没有的话
[00:01:04 - 00:01:06] 你可以买一个电子版的
[00:01:06 - 00:01:07] 按照你自己的规划
[00:01:07 - 00:01:10] 在假期结束的最后一天读完这本书
[00:01:10 - 00:01:12] 然后再来评论区的下方写写你自己的读后感
