BV号：BV19W411G7h1
标题：BV19W411G7h1
链接：https://www.bilibili.com/video/BV19W411G7h1
识别语言：zh
语言置信度：1
分段数：326
生成时间：2026-04-04 10:36:28

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪峰老师
[00:00:21 - 00:00:21] 大家好
[00:00:21 - 00:00:24] 我上学习变得更快乐的张雪峰老师
[00:00:24 - 00:00:26] 欢迎大家来到我们本期的张老师课堂
[00:00:26 - 00:00:28] 那么大家也都听到了我最近的声音
[00:00:28 - 00:00:30] 可能有点小变化
[00:00:30 - 00:00:32] 不是因为张老师又发育了一次
[00:00:32 - 00:00:34] 而是因为最近感冒实在是很严重
[00:00:34 - 00:00:36] 所以说本期节目的你将听到
[00:00:36 - 00:00:38] 跟平常张老师课堂不太一样的声音
[00:00:38 - 00:00:40] 咱们这一期给大家讲一讲
[00:00:40 - 00:00:42] 关于一个很大很大的专业
[00:00:42 - 00:00:43] 考验内容数是非常多的
[00:00:43 - 00:00:45] 叫做土木工程
[00:00:45 - 00:00:47] 那么土木工程这个专业
[00:00:47 - 00:00:48] 它是一个一级学科
[00:00:48 - 00:00:51] 它下面分成这6个不同的二级学科
[00:00:51 - 00:00:52] 这6个专业分别叫做结构
[00:00:52 - 00:00:53] 研途
[00:00:53 - 00:00:54] 市政
[00:00:54 - 00:00:54] 侨税
[00:00:54 - 00:00:55] 暖通
[00:00:55 - 00:00:56] 和防治与减灾
[00:00:56 - 00:00:58] 这是6个不同的专业
[00:00:58 - 00:01:00] 而在功科招生的时候
[00:01:00 - 00:01:01] 包括像土木工程这样的专业
[00:01:01 - 00:01:03] 大家一定要注意一个问题
[00:01:03 - 00:01:05] 就是很多学生在招生的时候
[00:01:05 - 00:01:06] 它是按照一级学科来招生的
[00:01:06 - 00:01:08] 它并非按照二级学科来招生
[00:01:08 - 00:01:09] 什么意思呢
[00:01:09 - 00:01:11] 那么刚才我给大家说的那6个专业
[00:01:11 - 00:01:14] 实际上是土木工程下面的二级学科
[00:01:14 - 00:01:16] 按理来说在各个学校招生的时候
[00:01:16 - 00:01:17] 你要么考到结构工程
[00:01:17 - 00:01:19] 要么考到施政工程
[00:01:19 - 00:01:20] 要么考到研土工程
[00:01:20 - 00:01:22] 要么考到乔雷随道工程
[00:01:22 - 00:01:26] 但是很多学校在捅捕专业的建术是非常厉害的
[00:01:26 - 00:01:27] 比如说有的学校
[00:01:27 - 00:01:30] 他在这6个二期学科当中都有说实点
[00:01:30 - 00:01:33] 他就非常有可能将这6个二期学科
[00:01:33 - 00:01:35] 捏成了一个一期学科来着手
[00:01:35 - 00:01:37] 所以说你不管是考结构
[00:01:37 - 00:01:38] 还是考施政
[00:01:38 - 00:01:39] 还是说考乔随
[00:01:39 - 00:01:40] 你会发现你抱怨那个专业名程
[00:01:40 - 00:01:42] 都叫做捅捕工程
[00:01:42 - 00:01:45] 而并非你所学的那个气氛的专业分支
[00:01:45 - 00:01:47] 所以说这一点大家一定要去注意一下
[00:01:47 - 00:01:49] 比如说给大家举个例子
[00:01:49 - 00:01:51] 说张老师你看我保管师学几派学的
[00:01:51 - 00:01:55] 我现在考研的严决中专业应该叫做市政工程对吧
[00:01:55 - 00:01:57] 那么如果说大家在严决网上预查
[00:01:57 - 00:02:01] 说老师我在严决网络点硕士招生专业目
[00:02:01 - 00:02:03] 然后的话我在市政工程上面
[00:02:03 - 00:02:05] 就在中业名声上我就写市政工程
[00:02:05 - 00:02:07] 省份我选择北京
[00:02:07 - 00:02:11] 然后你一点查学你会发现北京招生市政工程的学校很少
[00:02:11 - 00:02:13] 而另一个你更加奇怪的是什么呢
[00:02:13 - 00:02:14] 就是清华大学
[00:02:14 - 00:02:16] 這個學校作為市政工程的三架馬車
[00:02:16 - 00:02:17] 居然你會發現
[00:02:17 - 00:02:19] 它沒有招收市政工程
[00:02:19 - 00:02:21] 那清華大學是不招收那個團業嗎
[00:02:21 - 00:02:22] 其實不是的
[00:02:22 - 00:02:25] 那麼清華大學招收的那個專業叫土木工程
[00:02:25 - 00:02:26] 然後你有興趣的話
[00:02:26 - 00:02:28] 同學你在省份仍然選擇北京
