BV号：BV1MW411x7AY
标题：BV1MW411x7AY
链接：https://www.bilibili.com/video/BV1MW411x7AY
识别语言：zh
语言置信度：1
分段数：465
生成时间：2026-04-04 11:34:44

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪峰老师
[00:00:03 - 00:00:22] 大家好
[00:00:22 - 00:00:25] 我就是让学习变得更快乐的张雪峰老师
[00:00:25 - 00:00:27] 过了年以后我们要面临一个严重的问题
[00:00:27 - 00:00:29] 就是关于富士
[00:00:29 - 00:00:31] 考研是由初四和富士来决定的
[00:00:31 - 00:00:34] 富士在整个考研当中占的比重
[00:00:34 - 00:00:35] 可以说是越来越高
[00:00:35 - 00:00:37] 像原来在我们当年
[00:00:37 - 00:00:39] 就是在十几年前的考研
[00:00:39 - 00:00:41] 那个时候的研究生专场考试
[00:00:41 - 00:00:44] 富士仅占整个考研比重的30%
[00:00:44 - 00:00:47] 但是现在各个高校已经把富士这个比重
[00:00:47 - 00:00:49] 提高到了50%左右
[00:00:49 - 00:00:51] 甚至很多專業碩士
[00:00:51 - 00:00:53] 比如說像快遞碩士和審計碩士
[00:00:53 - 00:00:56] 你的初始成績基本上就沒有任何的意義
[00:00:56 - 00:00:59] 完全要看你富士表現到底該如何
[00:00:59 - 00:01:02] 所以說你努力了那麼長時間
[00:01:02 - 00:01:04] 現在查成績的查的也還不錯
[00:01:04 - 00:01:06] 但一旦在富士這一關
[00:01:06 - 00:01:07] 你栽著跟頭的話
[00:01:07 - 00:01:08] 不好意思
[00:01:08 - 00:01:10] 你之前的努力全都白費
[00:01:10 - 00:01:12] 所以說富士是整個考驗當中
[00:01:12 - 00:01:14] 非常非常重要的重中直重
[00:01:14 - 00:01:16] 而我們在實際輔導過程當中
[00:01:16 - 00:01:17] 也经常会发现这样的学生
[00:01:17 - 00:01:20] 就是急过重视出事
[00:01:20 - 00:01:23] 富士就觉得说不是很重要
[00:01:23 - 00:01:24] 就觉得自己出事过了
[00:01:24 - 00:01:26] 富士基本上就没啥太大问题
[00:01:26 - 00:01:29] 而且还有很多非常不负责任的师兄师姐
[00:01:29 - 00:01:30] 他可能自己真的富士
[00:01:30 - 00:01:31] 没有遇到什么太大的困难
[00:01:31 - 00:01:32] 他也会告诉学生说
[00:01:32 - 00:01:34] 哎呀你只要出事过了
[00:01:34 - 00:01:35] 富士一般问题都不大
[00:01:35 - 00:01:37] 但实际上大家你要明白
[00:01:37 - 00:01:39] 富士是要淘汰人的
[00:01:39 - 00:01:41] 这里边首先给大家灌输一个概念
[00:01:41 - 00:01:43] 叫做富士差额比
[00:01:43 - 00:01:45] 什么叫做富士差额比呢
[00:01:45 - 00:01:48] 就是整个富士的淘汰比例问题
[00:01:48 - 00:01:52] 在中国大多数院校的富士差个比是1比1.2
[00:01:53 - 00:01:55] 这个1比1.2是个什么概念呢
[00:01:55 - 00:01:57] 就是我要录取100个人
[00:01:57 - 00:01:59] 让120个人来富士
[00:01:59 - 00:02:00] 我淘汰其中20个
[00:02:00 - 00:02:03] 那么这个富士差个比就叫做1比1.2
[00:02:03 - 00:02:06] 那么这是主流的
[00:02:06 - 00:02:06] 主流的
[00:02:06 - 00:02:09] 那么非主流的还有1比1.5的
[00:02:09 - 00:02:11] 那么更非主流的
[00:02:11 - 00:02:13] 像很多学校的会计说是
[00:02:13 - 00:02:14] 审计说是
[00:02:14 - 00:02:17] 他能达到一比二或者是一比三
[00:02:17 - 00:02:19] 我们可以想象一下
[00:02:19 - 00:02:20] 当有这么一个学校
[00:02:20 - 00:02:22] 会计专说招40个人
[00:02:22 - 00:02:25] 但是让120个人富士的时候
[00:02:25 - 00:02:27] 让120个人富士的时候
[00:02:27 - 00:02:28] 淘汰其中80个
[00:02:29 - 00:02:31] 我想你参加这种富士的话
[00:02:31 - 00:02:32] 心理压力也好
[00:02:32 - 00:02:34] 或者说是你的能力承受来讲
[00:02:35 - 00:02:36] 这个还是比较大的
[00:02:36 - 00:02:39] 所以说咱们今天给大家分两期内容
[00:02:39 - 00:02:42] 讲一讲关于富士这一方面的东西
[00:02:42 - 00:02:45] 然后的话后期我们还会一起关于调剂的
[00:02:45 - 00:02:46] 你万一复事没考好
[00:02:46 - 00:02:47] 或者说是分眉构
[00:02:47 - 00:02:49] 你们别愿意笑的复制分支线
[00:02:49 - 00:02:50] 这个调剂该怎么调
[00:02:50 - 00:02:52] 咱们可能这几周的内容
[00:02:52 - 00:02:54] 都是有关于复事和调剂的
[00:02:54 - 00:02:56] 这个视频适合于现在正在大肆
[00:02:56 - 00:02:58] 准备复事和调剂的同学
[00:02:58 - 00:03:00] 当然也适合任何一个阶段
[00:03:00 - 00:03:01] 准备要考研的同学
[00:03:01 - 00:03:03] 你都要了解一下
[00:03:03 - 00:03:04] 虽然说年年都要给你讲
[00:03:04 - 00:03:06] 但是今年你了解一下
[00:03:06 - 00:03:08] 也是可以的重视一下复事
[00:03:08 - 00:03:09] 这个事情
[00:03:09 - 00:03:10] 那么复事
[00:03:10 - 00:03:12] 首先我们要认定一个问题
[00:03:12 - 00:03:14] 就是富士条件的资格认定
[00:03:14 - 00:03:19] 就是你怎么样才有权利去参加这个富士
[00:03:19 - 00:03:22] 简单来说就是你得过这个学校的富士分数线
[00:03:22 - 00:03:24] 但是这个富士分数线
[00:03:24 - 00:03:25] 咱们国家是这样规定的
[00:03:25 - 00:03:27] 就是有这么几种富士分数线
[00:03:27 - 00:03:29] 这个大家一道明白
[00:03:29 - 00:03:32] 首先第一种就是34所自主化线院校
[00:03:32 - 00:03:35] 那么这34所自主化线院校
[00:03:35 - 00:03:36] 它会有这么一个分数线
[00:03:36 - 00:03:38] 但是大家请注意
[00:03:38 - 00:03:41] 首先就是从三月初开始
[00:03:41 - 00:03:43] 就是大家可能你看到这个视频开始
[00:03:43 - 00:03:48] 就有学校陆陆续续的推出自己的所谓的负责分数线
