BV号：BV1hi4y1Z76M
标题：BV1hi4y1Z76M
链接：https://www.bilibili.com/video/BV1hi4y1Z76M
识别语言：zh
语言置信度：1
分段数：21
生成时间：2026-04-03 21:13:35

[00:00:00 - 00:00:03] 高考我告诉你,是你能参加的最公平的考试了
[00:00:03 - 00:00:05] 他不看脸,不看长相,不看你说话的能力
[00:00:05 - 00:00:09] 你只要考研考的分高,你高考考的分高
[00:00:09 - 00:00:10] 你去哪哪都要你
[00:00:10 - 00:00:12] 但是考研不是
[00:00:12 - 00:00:13] 考研有初试有复试
[00:00:13 - 00:00:15] 复试的时候有个环节叫面试
[00:00:15 - 00:00:19] 面试的时候10个人来自于全国不同的学校
[00:00:19 - 00:00:22] 你呢,用我们东北话讲还叫嘴气
[00:00:22 - 00:00:26] 到处问人家,你那个学校的,你那个学校的,你那个学校的
[00:00:26 - 00:00:28] 恶灵一圈,我操我最傻
[00:00:28 - 00:00:31] 用我们东北话讲
[00:00:31 - 00:00:32] 你心里能不犯敌意固吗
[00:00:32 - 00:00:34] 那你说老师有没有学校
[00:00:34 - 00:00:36] 其是所谓的二本三本的学校
[00:00:36 - 00:00:37] 有
[00:00:37 - 00:00:39] 我说的没有你心
[00:00:39 - 00:00:40] 那你怎么办
[00:00:40 - 00:00:42] 你在考研选人校的时候
[00:00:42 - 00:00:44] 就得把这种学校给他
[00:00:44 - 00:00:45] 去教
