BV号：BV12w4m1e7Xm
标题：BV12w4m1e7Xm
链接：https://www.bilibili.com/video/BV12w4m1e7Xm
识别语言：zh
语言置信度：1
分段数：81
生成时间：2026-04-03 09:47:15

[00:00:00 - 00:00:01] 今年的高考已经结束了
[00:00:01 - 00:00:04] 张老师那些预注同学们都能取得一个好成绩
[00:00:04 - 00:00:06] 不过接下来还不能放松
[00:00:06 - 00:00:07] 马上又要报职院了
[00:00:07 - 00:00:09] 大家该查就查
[00:00:09 - 00:00:09] 该问就问
[00:00:09 - 00:00:10] 千万别先麻烦
[00:00:10 - 00:00:11] 当然了
[00:00:11 - 00:00:13] 最近我也一直都关注着咱们同学们的留言
[00:00:13 - 00:00:14] 发现
[00:00:14 - 00:00:16] 有不少人问我关于大力招生的事
[00:00:16 - 00:00:19] 今天我就在给大家仔细的讲讲这一块
[00:00:19 - 00:00:20] 什么是大力招生
[00:00:20 - 00:00:21] 说白了
[00:00:21 - 00:00:24] 就是把一些相同或者是相近学科门类下的专业
[00:00:24 - 00:00:26] 合并成一个专业大列
[00:00:26 - 00:00:27] 比如说咱们同学想学计算机
[00:00:27 - 00:00:31] 那报纪念的时候不是直接报计算机科学业技术这个专业
[00:00:31 - 00:00:34] 而是报好几个专业打包成的计算机类
[00:00:34 - 00:00:38] 之后等进了学校先学上一年两年的技术课
[00:00:38 - 00:00:40] 了解一下大类里边的各个专业
[00:00:40 - 00:00:42] 看看自己究竟适合哪一个
[00:00:42 - 00:00:45] 然后再把同学们分流到对应的专业里边
[00:00:45 - 00:00:46] 是不是听着感觉还不错
[00:00:46 - 00:00:49] 但事实上真不是大家想的那么简单
[00:00:49 - 00:00:50] 咱们就拿分流来说
[00:00:50 - 00:00:53] 不是说你想分到哪个专业
[00:00:53 - 00:00:54] 你就能分到哪个专业的
[00:00:54 - 00:00:56] 就好比刚才提到的计算机类
[00:00:56 - 00:00:58] 里边不仅有计算机可能还有软件
[00:00:58 - 00:00:59] 有大数据
[00:00:59 - 00:01:01] 或者是新媒体、电影制作
[00:01:01 - 00:01:04] 甚至还有可能会有一些其他类别的专业
[00:01:04 - 00:01:05] 如果说成绩达不到
[00:01:05 - 00:01:08] 那很可能就只能减别人调剩下的了
[00:01:08 - 00:01:11] 所以这里边存在一个比较大的不确定性
[00:01:11 - 00:01:12] 不过好在
[00:01:12 - 00:01:15] 现在教育部对于大类招生也盯得很紧
[00:01:15 - 00:01:18] 而且不少学校也得优化自己的大类设置
[00:01:18 - 00:01:18] 这不
[00:01:18 - 00:01:21] 前几天我就看到西安交通大学宣布
[00:01:21 - 00:01:24] 要把往年跨学院专业组合的大类招生
[00:01:24 - 00:01:27] 拆分成以學院為主的小大類招生
[00:01:27 - 00:01:28] 我仔細看了下
[00:01:28 - 00:01:30] 像電器呀計算機呀能源動力
[00:01:30 - 00:01:32] 機械工程這樣的王牌熱門專業組
[00:01:32 - 00:01:34] 都劃的很乾淨
[00:01:34 - 00:01:35] 在醫學這一塊呢
[00:01:35 - 00:01:37] 它不僅把臨床醫學口腔醫學
[00:01:37 - 00:01:41] 兩個熱門的方向單獨做了個臨床類專業組
[00:01:41 - 00:01:44] 其他非臨床類的專業也細化成了醫學
[00:01:44 - 00:01:45] 藥學兩個大類
[00:01:45 - 00:01:46] 一方面是分得細
[00:01:46 - 00:01:47] 另外一方面呢
[00:01:47 - 00:01:50] 大類裡邊的專業相關度也很高
[00:01:50 - 00:01:54] 所以說咱們同學也就不要太擔心分流的問題了
[00:01:54 - 00:01:56] 今年还有一些学校也有类似的政策
[00:01:56 - 00:01:58] 同学们可以关注一下这些学校
[00:01:58 - 00:02:00] 除了小大类招生
[00:02:00 - 00:02:02] 今年西安交大还增加了像电器类
[00:02:02 - 00:02:05] 计算机类这样的报考热门专业的计划数
[00:02:05 - 00:02:06] 一些具体的信息
[00:02:06 - 00:02:08] 大家可以自己去官网查查
[00:02:08 - 00:02:08] 我就不细讲了
[00:02:08 - 00:02:09] 另外 据我了解
[00:02:09 - 00:02:11] 西安交大也是允许跨学院
[00:02:11 - 00:02:13] 自由申请转业的
[00:02:13 - 00:02:15] 甚至文科的同学都可以转到理工科
[00:02:15 - 00:02:18] 同学们的自主选择空间可以说是非常大
[00:02:18 - 00:02:19] 有一说意
[00:02:19 - 00:02:21] 今年西安交大在招生这一块
[00:02:21 - 00:02:23] 可是拿出了十足的诚意了
[00:02:23 - 00:02:25] 不过还得提醒大家一句
[00:02:25 - 00:02:26] 哪怕是小大类招生
[00:02:26 - 00:02:29] 咱们同学也要结合实际性逛合新区爱好
[00:02:29 - 00:02:31] 选一个真正适合自己的专业
[00:02:31 - 00:02:33] 咱们高分段的同学呢
[00:02:33 - 00:02:35] 今年也可以着重去看一下
[00:02:35 - 00:02:37] 先交大这种政策好的学校
[00:02:37 - 00:02:39] 如果说能见到自己目标专业所在的大类
[00:02:39 - 00:02:41] 那大胆虫就完事了啊
