BV号：BV12g41137wk
标题：BV12g41137wk
链接：https://www.bilibili.com/video/BV12g41137wk
识别语言：zh
语言置信度：1
分段数：44
生成时间：2026-04-04 00:00:25

[00:00:00 - 00:00:01] 如果大家想让孩子学习文成功的话
[00:00:01 - 00:00:03] 个人推荐是这些地方
[00:00:03 - 00:00:03] 第一个地方
[00:00:03 - 00:00:05] 如果说你想到传统媒体的话
[00:00:05 - 00:00:07] 去北京、上海、广东、湖南、江苏和浙江
[00:00:07 - 00:00:08] 就这六个省份
[00:00:08 - 00:00:09] 为什么
[00:00:09 - 00:00:09] 各位家长
[00:00:09 - 00:00:10] 我问一下
[00:00:10 - 00:00:11] 你们现在如果看电视的话
[00:00:11 - 00:00:13] 还看哪几个电视台
[00:00:15 - 00:00:16] 就这几个吗
[00:00:17 - 00:00:17] 对不对
[00:00:19 - 00:00:20] 我给大家举一个例子
[00:00:20 - 00:00:22] 有一个学校叫武汉大学
[00:00:22 - 00:00:22] 好不好
[00:00:22 - 00:00:24] 太好了
[00:00:24 - 00:00:25] 而且我们家孩子还考不上呢
[00:00:26 - 00:00:28] 还有一个学校叫浙江传媒
[00:00:28 - 00:00:31] 這個學校在有些省份區是個二本
[00:00:32 - 00:00:34] 他的分跟武漢大學沒法比
[00:00:34 - 00:00:35] 但是各位家長各位考生
[00:00:35 - 00:00:38] 如果你的孩子就想學新聞傳媒的話
[00:00:38 - 00:00:39] 要我報支院
[00:00:39 - 00:00:41] 我可能會給他報一個折疆傳媒
[00:00:41 - 00:00:42] 不會給他報五大
[00:00:42 - 00:00:43] 為什麼
[00:00:43 - 00:00:44] 折疆傳媒上大二的時候
[00:00:44 - 00:00:46] 你就能進折疆電視台
[00:00:46 - 00:00:48] 去跟跑男節目組
[00:00:49 - 00:00:52] 這個機會不是你五大和幾大能給你的
[00:00:53 - 00:00:54] 這不一樣
[00:00:54 - 00:00:56] 這個就業是有地獄性的
[00:00:56 - 00:00:57] 第二
[00:00:57 - 00:00:59] 如果说你想寄新媒体的话
[00:00:59 - 00:01:01] 成都请到厦门深圳大连
[00:01:01 - 00:01:06] 这些公司这些地方都有专门的大的MC机构
[00:01:06 - 00:01:08] 因为我是做自媒体的
[00:01:08 - 00:01:09] 我都知道
[00:01:09 - 00:01:11] 所以说你最起码要去宿会
[00:01:11 - 00:01:12] 一定要去大城市
[00:01:12 - 00:01:13] 新闻传播就是这样的
[00:01:13 - 00:01:16] 新闻传播千万不要跑到一个积构干辣的地方去学
[00:01:16 - 00:01:18] 用我的话说你传播啥
