BV号：BV1HL5kzVEym
标题：BV1HL5kzVEym
链接：https://www.bilibili.com/video/BV1HL5kzVEym
识别语言：zh
语言置信度：1
分段数：86
生成时间：2026-04-03 05:13:34

[00:00:00 - 00:00:02] 咱们家孩子就是他
[00:00:02 - 00:00:03] 虽然是少数民族
[00:00:03 - 00:00:07] 但是他不能享受那个地区性的加分
[00:00:07 - 00:00:08] 所以我就有点迷茫
[00:00:08 - 00:00:11] 我之前因为他曾经没有特别那么
[00:00:11 - 00:00:13] 就是想象的那么高的时候
[00:00:13 - 00:00:14] 我就没有考虑这个问题
[00:00:14 - 00:00:16] 所以我就现在就想
[00:00:16 - 00:00:18] 就第一个问题想请教您一下
[00:00:18 - 00:00:19] 就说如果说
[00:00:19 - 00:00:23] 他只能到那个就是中下游的985
[00:00:23 - 00:00:25] 就是还有一个就是可以选择
[00:00:25 - 00:00:28] 中上游的玉壳和民族班
[00:00:28 - 00:00:29] 我就现在就不知道
[00:00:29 - 00:00:31] 这个有没有什么风险
[00:00:31 - 00:00:32] 我就有点
[00:00:32 - 00:00:32] 我拿个例子
[00:00:32 - 00:00:34] 我给大家简单讲一下
[00:00:34 - 00:00:35] 关于小学名语预科班
[00:00:35 - 00:00:36] 小学名语预科班
[00:00:36 - 00:00:38] 他跟我们提前批
[00:00:38 - 00:00:39] 报的一些其他的东西
[00:00:39 - 00:00:40] 是不太一样的
[00:00:40 - 00:00:41] 比如说我给大家举个简单的例子
[00:00:41 - 00:00:42] 现在大家很多家长
[00:00:42 - 00:00:44] 在报那个国家专项
[00:00:44 - 00:00:47] 国家专项和地方和高校专项
[00:00:47 - 00:00:49] 就很多家长在报国家专项和高校专项
[00:00:50 - 00:00:53] 国家专项和高校专项是有专业的
[00:00:53 - 00:00:55] 就比如说我哪个学校
[00:00:55 - 00:00:57] 什么什么专业会招高校专项
[00:00:57 - 00:01:00] 但是玉科班不是的
[00:01:00 - 00:01:02] 玉科班是沒有專業的
[00:01:02 - 00:01:06] 玉科班是我所有玉科班的學生放在一塊
[00:01:06 - 00:01:07] 你們去學習
[00:01:07 - 00:01:09] 誰學習也好
[00:01:09 - 00:01:11] 誰就可以優先挑專業
[00:01:11 - 00:01:12] 誰學習不好
[00:01:12 - 00:01:13] 他們就挑不了專業
[00:01:13 - 00:01:14] 玉科班是這樣子的
[00:01:14 - 00:01:16] 所以說各位家長
[00:01:16 - 00:01:18] 如果說你們家孩子符合少生病
[00:01:18 - 00:01:19] 都玉科班的招生政策
[00:01:19 - 00:01:20] 你要不要玉科班
[00:01:20 - 00:01:21] 第一點
[00:01:21 - 00:01:23] 你要知道這個專業是怎麼來的
[00:01:23 - 00:01:24] 你們家孩子最後學什麼專業是怎麼來的
[00:01:24 - 00:01:27] 是你大一通過一年的學習以後的話
[00:01:27 - 00:01:28] 然后就分配的
[00:01:28 - 00:01:29] 这是第一点
[00:01:29 - 00:01:30] 第二点
[00:01:30 - 00:01:33] 你毕竟比人家当年高考的时候
[00:01:33 - 00:01:35] 第一大概几十分
[00:01:35 - 00:01:36] 进的这个学校
[00:01:36 - 00:01:38] 你知道说我有一年预科呢
[00:01:38 - 00:01:40] 但是你这预科能涨上来多少
[00:01:40 - 00:01:41] 或者说能贤阶到什么程度
[00:01:41 - 00:01:42] 这不好说
[00:01:42 - 00:01:44] 那也就是说你到第二年的时候
[00:01:44 - 00:01:47] 你跟着下一届这个学校的大一一起学
[00:01:47 - 00:01:50] 那你怎么样能够所谓的不吃亏呢
[00:01:50 - 00:01:51] 各位家长
[00:01:51 - 00:01:53] 就是到时候你选专业的时候
[00:01:53 - 00:01:57] 一方面看一下你自己喜欢什么专业
[00:01:57 - 00:02:01] 另外一方面一定要看一下你自己学科优势擅长是什么转意
[00:02:01 - 00:02:03] 家长我给你举个简单的例子
[00:02:03 - 00:02:07] 比如说如果说你现在考这个学校
[00:02:07 - 00:02:08] 你之所以上预科
[00:02:08 - 00:02:12] 别人没有上预科是因为你的语文相对较差
[00:02:12 - 00:02:13] 化学相对较差
[00:02:13 - 00:02:14] 生物相对较差
[00:02:14 - 00:02:17] 跟人家产生的这几十分的差距
[00:02:17 - 00:02:20] 那么如果说我选择带数学和带物理的转意
[00:02:20 - 00:02:23] 我数学和物理的学科学习
[00:02:23 - 00:02:27] 并没有比我高10分20分的人差那么多
[00:02:27 - 00:02:31] 那你跟人家这种普通批的学生的差距就没有那么大
[00:02:31 - 00:02:33] 所以说你要想上预科的话
[00:02:33 - 00:02:34] 就是两点
[00:02:34 - 00:02:35] 第一点
[00:02:35 - 00:02:36] 好好学习
[00:02:36 - 00:02:39] 选专业的时候能够站进你好好学习的优势
[00:02:39 - 00:02:40] 第二点
[00:02:40 - 00:02:42] 就是在选择专业的时候
[00:02:42 - 00:02:44] 跟自己的学科优势匹配上
[00:02:44 - 00:02:47] 你跟人家高分的学生差距就没有那么大
[00:02:47 - 00:02:48] 就这两点
