BV号：BV1164y1s7A2
标题：BV1164y1s7A2
链接：https://www.bilibili.com/video/BV1164y1s7A2
识别语言：zh
语言置信度：1
分段数：66
生成时间：2026-04-03 22:48:29

[00:00:00 - 00:00:03] 当老师有汪有硕最缺引的工作是又苦又累
[00:00:03 - 00:00:04] 挣得少不几面的工作
[00:00:04 - 00:00:05] 所以缺引
[00:00:05 - 00:00:07] 您觉得这种说法对吗
[00:00:07 - 00:00:09] 我觉得大家千万不要以为都是挣得少
[00:00:09 - 00:00:11] 人家挣得可不少
[00:00:11 - 00:00:12] 我给你举个简单的例子
[00:00:12 - 00:00:14] 你比如像服务员
[00:00:14 - 00:00:15] 像快递员
[00:00:15 - 00:00:16] 人挣的都不少的
[00:00:16 - 00:00:17] 你像服务员吧
[00:00:17 - 00:00:19] 大多数的饭店也好
[00:00:19 - 00:00:21] 或者怎么样的人都是包吃包住的
[00:00:21 - 00:00:22] 人一位工资五六千
[00:00:22 - 00:00:25] 人家是能纯胜五六千
[00:00:25 - 00:00:26] 你干什么工作
[00:00:26 - 00:00:28] 你说你能纯胜五六千的
[00:00:28 - 00:00:29] 人家住也是包
[00:00:29 - 00:00:30] 吃也是不好
[00:00:30 - 00:00:31] 你说你一跪正一万块钱
[00:00:31 - 00:00:32] 对吧
[00:00:32 - 00:00:33] 你住你还得自己去租地方
[00:00:33 - 00:00:34] 对吧
[00:00:34 - 00:00:36] 吃的话也大多数公司是没有那种食堂的
[00:00:36 - 00:00:37] 对吧
[00:00:37 - 00:00:38] 你还得自己去点完卖
[00:00:38 - 00:00:39] 你还得自己去做饭
[00:00:39 - 00:00:40] 所以说的话
[00:00:40 - 00:00:42] 人家挣的真的不是很少的
[00:00:42 - 00:00:42] 所以说的话
[00:00:42 - 00:00:45] 大家千万不要以为前十就是最紧缺的岗位
[00:00:45 - 00:00:46] 前十都是挣的少
[00:00:46 - 00:00:47] 但是说实话
[00:00:47 - 00:00:52] 升值空间这一会确实是有一些所谓的小问题的
[00:00:52 - 00:00:56] 它不是一个所谓的技能型公众
[00:00:56 - 00:01:01] 或者说是这种行业的准入门槛相对比较低
[00:01:01 - 00:01:03] 在这个社会就是这样的
[00:01:03 - 00:01:06] 你会发现如果说它的一些工作岗位
[00:01:06 - 00:01:07] 准入门槛比较高
[00:01:07 - 00:01:11] 符合条件的人数相对比较少的话
[00:01:11 - 00:01:13] 那么这样的工作岗位
[00:01:13 - 00:01:14] 它必然而然
[00:01:14 - 00:01:17] 收入就会高一些
[00:01:17 - 00:01:19] 甚至空间也会高一些
[00:01:19 - 00:01:20] 就是这样
[00:01:20 - 00:01:22] 但如果说你这个岗位
[00:01:22 - 00:01:24] 它的准入门槛相对比较低
[00:01:24 - 00:01:25] 比如像服务员
[00:01:25 - 00:01:29] 然后包括像这个像快递员这种他准备冷函相对比较低
[00:01:29 - 00:01:32] 那你要想在这个行当内你要想一步一步往上走的话
[00:01:32 - 00:01:34] 你比如说你现在一个月挣五六千啊
[00:01:34 - 00:01:37] 但是你说我想挣八千我想挣一万我想挣一万五
[00:01:37 - 00:01:38] 想挣两万
[00:01:38 - 00:01:41] 那在服务员这个行当基本上是缝冒领脚
[00:01:41 - 00:01:43] 但是如果说你要做其他工作的话
[00:01:43 - 00:01:45] 你说我现在一个月挣五六千对吧
[00:01:45 - 00:01:47] 但是我将来我可能两年以后我想挣八千
[00:01:47 - 00:01:49] 然后的话四年以后我想挣一万五
[00:01:49 - 00:01:51] 然后的话再怎么样我想挣两万
[00:01:51 - 00:01:53] 这都是有可能去往上晋升的啊
[00:01:53 - 00:01:54] 所以说的话,大家在找工作的时候,
[00:01:54 - 00:01:57] 一方面要看这个岗位它给了你多少钱,
[00:01:57 - 00:01:59] 一方面也要看一下这个岗位,
[00:01:59 - 00:02:02] 你未来有没有一个更高收入的一个期望,
[00:02:02 - 00:02:04] 或者说更美好收获的一个期望,
[00:02:04 - 00:02:06] 这一点是很重要的。
