BV号：BV1Ar421b7Ka
标题：BV1Ar421b7Ka
链接：https://www.bilibili.com/video/BV1Ar421b7Ka
识别语言：zh
语言置信度：1
分段数：35
生成时间：2026-04-03 11:37:18

[00:00:08 - 00:00:09] 陪多长
[00:00:10 - 00:00:11] 恩佳义
[00:00:11 - 00:00:13] 整天说你是公司元老
[00:00:13 - 00:00:15] 感情深贡献大
[00:00:15 - 00:00:18] 最后也是个恩佳义
[00:00:18 - 00:00:21] 我都已经拼搏了这么多年了
[00:00:21 - 00:00:23] 我的人生巅峰
[00:00:23 - 00:00:25] 不会只是恩佳义了吧
[00:00:25 - 00:00:28] 也找我去谈呢
[00:00:28 - 00:00:33] 时常哀卷
[00:00:33 - 00:00:34] 哀卷
[00:00:34 - 00:00:36] 此处不留也
[00:00:36 - 00:00:38] 自有留也错
[00:00:38 - 00:00:42] 准身登上新巅峰
[00:00:46 - 00:00:48] 四唱都在卷学里
[00:00:48 - 00:00:49] 我要考在职研究生吗
[00:00:51 - 00:00:54] 职场开卷
[00:00:54 - 00:00:58] 不如打击开卷
[00:00:59 - 00:01:04] 在职研职 心如旁路
[00:01:04 - 00:01:09] 多拥平手把杂念拋开
[00:01:10 - 00:01:17] 你这作业写的也太简单了
[00:01:18 - 00:01:19] 还不够我一眼
[00:01:19 - 00:01:19] 看的呢
[00:01:20 - 00:01:22] 那我再补充点内容
[00:01:22 - 00:01:24] 你也是老员工了
[00:01:24 - 00:01:26] 难道还要我教你怎么写简报吗
[00:01:27 - 00:01:29] 那我到底该怎么改
[00:01:29 - 00:01:30] 要不我来写
[00:01:31 - 00:01:34] 直朝海卷
[00:01:34 - 00:01:37] 那就大气开卷
[00:01:37 - 00:01:40] 领导瞎挑刺
[00:01:40 - 00:01:43] 前方二旁风
[00:01:46 - 00:01:47] 海卷
[00:01:48 - 00:01:49] 那就别怪我
[00:01:49 - 00:01:52] 大氣開捲
