BV号：BV1Px411U7qY
标题：BV1Px411U7qY
链接：https://www.bilibili.com/video/BV1Px411U7qY
识别语言：zh
语言置信度：1
分段数：145
生成时间：2026-04-04 13:08:39

[00:00:05 - 00:00:06] 啊 干啥呀
[00:00:06 - 00:00:10] 是呀
[00:00:10 - 00:00:12] 好 欢迎大家来到张老师课堂
[00:00:12 - 00:00:13] 我是张雪峰老师
[00:00:15 - 00:00:17] 中国这么大每个地方都不一样
[00:00:17 - 00:00:19] 你瞎跑知道吧
[00:00:19 - 00:00:20] 比如每年都有很多同学
[00:00:20 - 00:00:21] 因为听了我的课
[00:00:21 - 00:00:26] 就对东北这个地方产生了浓厚的兴趣
[00:00:26 - 00:00:27] 非要口东北
[00:00:27 - 00:00:27] 知道吧
[00:00:27 - 00:00:29] 我去年在广州讲课知道吧
[00:00:29 - 00:00:30] 一个小姑娘批点批着找到我
[00:00:30 - 00:00:31] 咋啦啦啦啦啦
[00:00:31 - 00:00:32] 咱要口东北K
[00:00:32 - 00:00:35] 我想找个东北老爷们
[00:00:35 - 00:00:36] 我说你拉倒吧
[00:00:36 - 00:00:37] 你别去了是吧
[00:00:37 - 00:00:40] 老师你相信我我一定要能考上
[00:00:40 - 00:00:41] 我这不是你能不能考上的问题
[00:00:41 - 00:00:43] 这是你能不能适应的问题
[00:00:43 - 00:00:43] 知道吧
[00:00:43 - 00:00:44] 我说你个广东小姑娘
[00:00:44 - 00:00:46] 你跑到东北你适应得了吗
[00:00:46 - 00:00:47] 第一你这么瘦
[00:00:47 - 00:00:47] 东北那么冷
[00:00:47 - 00:00:48] 给你动个耳皮了怎么办
[00:00:49 - 00:00:49] 对吧
[00:00:49 - 00:00:50] 第二同学你要说
[00:00:50 - 00:00:52] 我们东北那边民风是比较彪悍的
[00:00:52 - 00:00:53] 知道吗
[00:00:53 - 00:00:54] 是吧什么叫民风彪悍吗
[00:00:54 - 00:00:56] 我们那边两个人有了毛豆
[00:00:56 - 00:00:57] 我们从来不吵架
[00:00:57 - 00:00:59] 上去就干他
[00:00:59 - 00:01:01] 吵什么有什么好吵的
[00:01:01 - 00:01:02] 都没有救命能斗手的
[00:01:02 - 00:01:03] 坚决不吵吵
[00:01:04 - 00:01:05] 知道吧
[00:01:05 - 00:01:06] 你的南藏就不一样
[00:01:06 - 00:01:07] 南藏完全不一样
[00:01:07 - 00:01:09] 到天津上海去看一看你知道吧
[00:01:09 - 00:01:12] 两个人脸贴脸在那吵啊
[00:01:12 - 00:01:14] 就是不打呀
[00:01:14 - 00:01:17] 在旁边看到他着急你知道吧
[00:01:17 - 00:01:22] 你怎么上啊对吧
[00:01:22 - 00:01:24] 我俩是骂的我都很干他了你知道吧
[00:01:24 - 00:01:26] 民风很
[00:01:26 - 00:01:27] 知道什么叫民风表汉吗
[00:01:27 - 00:01:28] 民风知道啥意思吗
[00:01:28 - 00:01:31] 民风干啥都表汉
