BV号：BV1sW411b75f
标题：BV1sW411b75f
链接：https://www.bilibili.com/video/BV1sW411b75f
识别语言：zh
语言置信度：1
分段数：243
生成时间：2026-04-04 12:00:12

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪峰老师
[00:00:21 - 00:00:22] 大家好
[00:00:22 - 00:00:24] 我就是让徐习遍的更快乐的张雪峰老师
[00:00:24 - 00:00:26] 马上就要研究生招生考试了
[00:00:26 - 00:00:30] 那么我们来今天聊一聊我们考试的一些注意事项
[00:00:30 - 00:00:31] 那么大家在考场
[00:00:31 - 00:00:34] 千万千万不要犯这样这样的错误好不好
[00:00:34 - 00:00:36] 那么首先第一就是
[00:00:36 - 00:00:36] 哎呀
[00:00:36 - 00:00:38] 这个是黄泽江晚了
[00:00:38 - 00:00:39] 就是
[00:00:39 - 00:00:41] 就是我不知道大家现在你在哪里在看这个视频
[00:00:41 - 00:00:42] 实际上的话
[00:00:42 - 00:00:45] 我们在考鞋一定要做一个非常非常重要的准备事项
[00:00:45 - 00:00:45] 就是干嘛
[00:00:45 - 00:00:46] 就是订酒店
[00:00:47 - 00:00:50] 我早就跟你讲这个事好了
[00:00:50 - 00:00:52] 定举店这个事太重要了
[00:00:52 - 00:00:52] 为什么
[00:00:52 - 00:00:55] 因为很多我们考试的考点
[00:00:55 - 00:00:57] 它安排的其实并不是安排在大学校园里面
[00:00:57 - 00:01:00] 它可能安排在一些初中或者高中这样的一些地方
[00:01:00 - 00:01:02] 那么你在考研的时候
[00:01:02 - 00:01:04] 一定要在之前
[00:01:04 - 00:01:06] 大家明年的考研要记住
[00:01:06 - 00:01:08] 一定要在之前定好酒店
[00:01:08 - 00:01:10] 一定要在定好酒店
[00:01:10 - 00:01:12] 要么就是找那种专业的定举店的机构
[00:01:12 - 00:01:14] 要么就是你们几个同学在一起
[00:01:14 - 00:01:15] 然后的话定好这一整层
[00:01:15 - 00:01:17] 尽量自己手单定
[00:01:17 - 00:01:19] 而且一定要提前定
[00:01:19 - 00:01:20] 你想我们去年有个学生就是这样
[00:01:20 - 00:01:22] 他订酒店订晚了
[00:01:22 - 00:01:23] 订晚了以后的话
