BV号：BV1fd4y1d7qE
标题：BV1fd4y1d7qE
链接：https://www.bilibili.com/video/BV1fd4y1d7qE
识别语言：zh
语言置信度：1
分段数：43
生成时间：2026-04-03 18:00:01

[00:00:00 - 00:00:02] 有的學校是可以降級轉專業的
[00:00:02 - 00:00:04] 就比如說你現在是R2屆
[00:00:04 - 00:00:05] 然後你要轉專業
[00:00:05 - 00:00:06] 不好意思
[00:00:06 - 00:00:07] 那你要轉專業的話
[00:00:07 - 00:00:08] 只能跟R3屆一起來上
[00:00:08 - 00:00:10] 然後你說老師我不想降級
[00:00:10 - 00:00:10] 春季轉
[00:00:10 - 00:00:11] 第一個要求
[00:00:11 - 00:00:13] 平均學分積點不低於80分
[00:00:13 - 00:00:15] 而且排名在前50%
[00:00:15 - 00:00:16] 第二個
[00:00:16 - 00:00:18] 以修讀高速1或高速2
[00:00:18 - 00:00:20] 並且數學在80分以上
[00:00:20 - 00:00:22] 那老師呢我就是沒修過高速
[00:00:22 - 00:00:23] 那我怎麼辦呢
[00:00:23 - 00:00:26] 要求高考數學藤級不低於120
[00:00:26 - 00:00:27] 你轉專業不需要調節的嗎
[00:00:27 - 00:00:29] 這就轉充門孩
[00:00:29 - 00:00:30] 每个学校转出门卡都一样
[00:00:30 - 00:00:32] 这是这个学校的转出门卡
[00:00:32 - 00:00:34] 那我们再来看一下转入门卡
[00:00:34 - 00:00:36] 你转入有没有考核呢
[00:00:36 - 00:00:37] 有没有鄙视呢
[00:00:37 - 00:00:38] 有没有面试呢
[00:00:38 - 00:00:39] 这个985告诉我们
[00:00:39 - 00:00:41] 我们学校转入是没有考核的
[00:00:41 - 00:00:43] 哇好开心
[00:00:43 - 00:00:44] 不考核
[00:00:44 - 00:00:45] 那我们没有考核
[00:00:45 - 00:00:46] 我想转就转
[00:00:46 - 00:00:47] 到后面还有一句话
[00:00:47 - 00:00:48] 你注意看一下
[00:00:48 - 00:00:51] 报名人数超过计划接收数时
[00:00:51 - 00:00:54] 报名学生专业排名比谈序
[00:00:54 - 00:00:56] 比如说我计算机专业
[00:00:56 - 00:00:57] 我就招5个人
[00:00:57 - 00:01:01] 但是我這個學校有50個人想轉計算機
[00:01:01 - 00:01:04] 而且這50個人轉出條件都符合
[00:01:04 - 00:01:05] 那怎麼辦
[00:01:05 - 00:01:06] 沒有考核
[00:01:06 - 00:01:08] 誰平均積點高
[00:01:08 - 00:01:09] 我要誰
