BV号：BV1DY411K784
标题：BV1DY411K784
链接：https://www.bilibili.com/video/BV1DY411K784
识别语言：zh
语言置信度：1
分段数：18
生成时间：2026-04-03 19:03:22

[00:00:00 - 00:00:02] 大家好我上学习变得更快乐的张雪芳老师
[00:00:02 - 00:00:04] 高考已经全没结束了
[00:00:04 - 00:00:07] 接下来就到了我们的志愿填爆环节了
[00:00:07 - 00:00:08] 不过每年在填制院的时候
[00:00:08 - 00:00:12] 网上都会爆出一些考证以及家长被诈骗的案件
[00:00:12 - 00:00:13] 为什么老会出现这种事情呢
[00:00:13 - 00:00:16] 其实大部分的原因是考生或者家长不小心
[00:00:16 - 00:00:19] 暴露了下面这些个人信息
[00:00:19 - 00:00:20] 快来看看你中招了没
[00:00:20 - 00:00:23] 像咱们的准考证、身份证、考生号以及密码
[00:00:23 - 00:00:28] 志愿填爆表、成绩单、成绩查询页、录取通知书
[00:00:28 - 00:00:31] 这些东西千万别直接发在朋友圈
[00:00:31 - 00:00:32] 等社交媒体上面
[00:00:32 - 00:00:36] 很容易被一些比较用心的人获取实实金种诈骗
[00:00:36 - 00:00:38] 所以说不管咱们考虑多好
[00:00:38 - 00:00:40] 报了多牛的学校和专业
[00:00:40 - 00:00:43] 千万别在朋友圈晒上面这些信息
[00:00:43 - 00:00:45] 以免给骗子可撑之机
