BV号：BV1634y1175r
标题：BV1634y1175r
链接：https://www.bilibili.com/video/BV1634y1175r
识别语言：zh
语言置信度：1
分段数：42
生成时间：2026-04-03 20:40:54

[00:00:00 - 00:00:01] 但是我跟大家说
[00:00:01 - 00:00:03] 这个世界上花钱有两种花法
[00:00:03 - 00:00:04] 一种叫做消费
[00:00:04 - 00:00:05] 一种叫做投资
[00:00:05 - 00:00:05] 你懂吗
[00:00:05 - 00:00:07] 你今天吃了明天拉了
[00:00:07 - 00:00:08] 那就消费
[00:00:08 - 00:00:10] 有一种消费叫什么呢
[00:00:10 - 00:00:11] 你今天叫投资
[00:00:11 - 00:00:12] 就是你今天花了
[00:00:12 - 00:00:14] 明天你能挣回来这个投资
[00:00:14 - 00:00:16] 学习一定要去多投资
[00:00:16 - 00:00:17] 你比如拿我来决定
[00:00:17 - 00:00:19] 我现在每年最大的一个爱好
[00:00:19 - 00:00:20] 就是买书
[00:00:20 - 00:00:21] 老师我问你
[00:00:21 - 00:00:22] 你看得完吗
[00:00:22 - 00:00:23] 看不完
[00:00:24 - 00:00:26] 老师你看不完还没那么多书
[00:00:26 - 00:00:26] 你就不懂了
[00:00:26 - 00:00:27] 买那么多书
[00:00:27 - 00:00:29] 两个是第一个做装逼用
[00:00:29 - 00:00:30] 到我们家去的人到我包属的
[00:00:30 - 00:00:32] 你看我说张老师你书真多
[00:00:34 - 00:00:36] 没怎么看过
[00:00:37 - 00:00:37] 第二
[00:00:37 - 00:00:39] 我买那么多书
[00:00:39 - 00:00:39] 我跟大家说实话
[00:00:39 - 00:00:41] 我只要看到的东西
[00:00:41 - 00:00:42] 我学到一点点
[00:00:43 - 00:00:45] 我讲出来就足够帮助我
[00:00:45 - 00:00:48] 把一辈子买书的钱都能给挣回来
[00:00:48 - 00:00:50] 所以说终身学习这个事情
[00:00:50 - 00:00:51] 大家你会发现随着你年龄的增长
[00:00:51 - 00:00:53] 你现在可能刚上大一大二大三
[00:00:53 - 00:00:55] 你可能会觉得
[00:00:55 - 00:00:56] 说哎呀学习这个事
[00:00:56 - 00:00:58] 说有终身学习那就是群牛逼
[00:00:58 - 00:00:59] 但是我想告诉你
[00:00:59 - 00:01:00] 如果说你真的想来这个收拾上
[00:01:00 - 00:01:01] 混得比别人好的话
[00:01:01 - 00:01:03] 真的一定要去终身学习
