BV号：BV1zT421k7Zt
标题：BV1zT421k7Zt
链接：https://www.bilibili.com/video/BV1zT421k7Zt
识别语言：zh
语言置信度：1
分段数：23
生成时间：2026-04-03 09:00:08

[00:00:00 - 00:00:02] 不然就我跟你说强电和弱电是这样的
[00:00:02 - 00:00:03] 我给大家解释一下强电和弱电
[00:00:03 - 00:00:04] 非常简单
[00:00:04 - 00:00:06] 能电死人的电叫强电
[00:00:06 - 00:00:08] 电不死人的电叫弱电
[00:00:08 - 00:00:09] 就这么简单
[00:00:09 - 00:00:11] 比如说我现在我去我们公司那个店门
[00:00:11 - 00:00:13] 哎呀
[00:00:13 - 00:00:13] 就胡了
[00:00:13 - 00:00:14] 这就是强电
[00:00:14 - 00:00:16] 我现在我说家长
[00:00:16 - 00:00:17] 来我们做个实验
[00:00:17 - 00:00:19] 我用我的手机电死我自己
[00:00:19 - 00:00:20] 可能吗
[00:00:20 - 00:00:21] 这不可能
[00:00:21 - 00:00:22] 那这个电叫弱电
[00:00:22 - 00:00:25] 能电死人的电叫强电
[00:00:25 - 00:00:26] 电不死人的电叫弱电
[00:00:26 - 00:00:28] 你就可以这么简单的理解
[00:00:28 - 00:00:33] 电子产品当中的电器是弱电,它不是强电
[00:00:33 - 00:00:36] 所以说如果说你要是进国家电网的话
[00:00:36 - 00:00:38] 你一定要报强电,而不是要报弱电
[00:00:38 - 00:00:39] 听懂了吗?
