BV号：BV1ik4y1Y7w2
标题：BV1ik4y1Y7w2
链接：https://www.bilibili.com/video/BV1ik4y1Y7w2
识别语言：zh
语言置信度：1
分段数：42
生成时间：2026-04-03 15:44:39

[00:00:00 - 00:00:01] 我个人觉得包容很重要
[00:00:01 - 00:00:02] 我觉得你选择城市的时候
[00:00:02 - 00:00:03] 第一个就是包容度
[00:00:03 - 00:00:05] 因为你大概率是一个所谓的外地人
[00:00:05 - 00:00:07] 这个城市对于外地人的包容程度
[00:00:07 - 00:00:09] 我个人觉得是很重要的
[00:00:09 - 00:00:12] 因为像我们这种所谓的什么小镇作题家
[00:00:12 - 00:00:14] 我们可能内心多多少少
[00:00:14 - 00:00:15] 说实话是有一些自卑的
[00:00:15 - 00:00:17] 尤其是到一些大小市里边
[00:00:17 - 00:00:18] 然后的话我觉得
[00:00:18 - 00:00:21] 这个可能会更加在意别人的一些眼光
[00:00:21 - 00:00:23] 尤其是本地人的包容程度
[00:00:23 - 00:00:24] 它对于外地人是否欢迎
[00:00:24 - 00:00:26] 对于来建设这个城市的人是否欢迎
[00:00:26 - 00:00:27] 我觉得包容度很重要
[00:00:27 - 00:00:32] 这种包容度的话一方面体现在本地人对于以外地人来就业的人的一个态度上
[00:00:32 - 00:00:34] 另外一个在于所谓的相关政策上
[00:00:34 - 00:00:37] 就是我来到苏州我是有一种感觉叫It's my city
[00:00:37 - 00:00:38] 就这种感受
[00:00:38 - 00:00:40] 那如果说你要在这个城市你去扎根立组的话
[00:00:40 - 00:00:41] 一应看买房暖度
[00:00:41 - 00:00:46] 二应看一下你孩子将来能不能在这儿去有继续的发展啊上学啊怎么样
[00:00:46 - 00:00:49] 我觉得第一包容度是我个人相对比较关注的一点
[00:00:49 - 00:00:50] 我个人相对比较关注的一点
[00:00:50 - 00:00:51] 第二点
[00:00:51 - 00:00:55] 我原来我在直播间讲过一个东西叫做国家先进制造业积蓄
[00:00:55 - 00:00:57] 我强烈建议你去看一下各地
[00:00:57 - 00:00:58] 尤其是你想去的省份
[00:00:58 - 00:01:00] 它刚刚开完省两会
[00:01:00 - 00:01:02] 然后省两会当中有政府公众报告
[00:01:02 - 00:01:03] 政府公众报告能够告诉你
[00:01:03 - 00:01:05] 说我们省五年以后
[00:01:05 - 00:01:07] 五年之内要发展什么样的产业
[00:01:07 - 00:01:08] 我为什么让你看这个
[00:01:08 - 00:01:10] 叫国家新进制导业集群
[00:01:10 - 00:01:11] 就是看一下你这个专业将来
[00:01:11 - 00:01:14] 大概率哪发展的会相对比较好
[00:01:14 - 00:01:16] 有的时候你像你这种专业
[00:01:16 - 00:01:17] 在一些城市
[00:01:17 - 00:01:18] 你想就业都没有企业的
[00:01:18 - 00:01:19] 你想去都没得去
