BV号：BV1gQ4y197LJ
标题：BV1gQ4y197LJ
链接：https://www.bilibili.com/video/BV1gQ4y197LJ
识别语言：zh
语言置信度：1
分段数：43
生成时间：2026-04-03 23:35:31

[00:00:00 - 00:00:01] 只有你能抱
[00:00:02 - 00:00:03] 这些人都抱我
[00:00:04 - 00:00:05] 分别多
[00:00:05 - 00:00:08] 看着你
[00:00:08 - 00:00:10] 要
[00:00:10 - 00:00:12] 给大家学一个简单的例子
[00:00:12 - 00:00:13] 也是我们现在成的一个案例
[00:00:13 - 00:00:14] 也是我们今年的一个学员
[00:00:14 - 00:00:16] 那个学员要学什么中研的
[00:00:16 - 00:00:17] 他要学口腔
[00:00:18 - 00:00:19] 他要学口腔音学
[00:00:19 - 00:00:22] 口腔音学这个中研在零从学校之外
[00:00:22 - 00:00:23] 跟零从音学中研相比
[00:00:23 - 00:00:24] 他要有他自己的优势
[00:00:24 - 00:00:25] 口腔这个中研
[00:00:25 - 00:00:26] 一拖一句大音乐吗
[00:00:26 - 00:00:27] 不一地拖
[00:00:28 - 00:00:29] 他不像零从的中研
[00:00:29 - 00:00:30] 必须一拖一句大音乐
[00:00:30 - 00:00:31] 大音乐你讲
[00:00:31 - 00:00:32] 我给你举个例子
[00:00:32 - 00:00:33] 你说让我说我们家孩子学那个时候
[00:00:33 - 00:00:35] 将来这条新老师会儿体育
[00:00:35 - 00:00:36] 开个手指拖
[00:00:36 - 00:00:37] 谁敢去看我
[00:00:38 - 00:00:40] 那你看兵器的儿子找死去的
[00:00:41 - 00:00:42] 你看我那么大
[00:00:42 - 00:00:43] 他给你连着一条信息
[00:00:43 - 00:00:45] 检查身为你都买不清
[00:00:45 - 00:00:45] 清吗
[00:00:46 - 00:00:47] 但口腔的团形怎么样
[00:00:48 - 00:00:49] 他不是这样的
[00:00:49 - 00:00:50] 你现在学的口腔也够多
[00:00:50 - 00:00:51] 你家的头脚还不错
[00:00:51 - 00:00:52] 给他在陆家还跟
[00:00:52 - 00:00:53] 我家的庄伙可以
[00:00:54 - 00:00:55] 可以啊
[00:00:55 - 00:00:56] 他不一同你打一句
[00:00:56 - 00:00:57] 而且别说那么重的低余性
[00:00:57 - 00:00:58] 他家还这样
[00:00:58 - 00:00:59] 所以说那是这样的何谓
[00:00:59 - 00:01:01] 说说我们家孩子
[00:01:01 - 00:01:38] 想学口腔就没有考虑分店计划
