BV号：BV1hfZtYJENh
标题：BV1hfZtYJENh
链接：https://www.bilibili.com/video/BV1hfZtYJENh
识别语言：zh
语言置信度：1
分段数：70
生成时间：2026-04-03 05:25:02

[00:00:00 - 00:00:01] 就是大家有的时候说张老师
[00:00:01 - 00:00:03] 我想去写一些这个
[00:00:03 - 00:00:04] 像航空航天类的专业
[00:00:04 - 00:00:06] 各位朋友知道航空航天类
[00:00:06 - 00:00:07] 开始分成两种
[00:00:07 - 00:00:08] 一种叫做航空
[00:00:08 - 00:00:09] 一种叫做航天
[00:00:09 - 00:00:11] 那有的需要是航空强于航天
[00:00:11 - 00:00:12] 有的需要是航天强于航空
[00:00:12 - 00:00:13] 然后原来我也给大家说
[00:00:13 - 00:00:15] 我说航空航天类专业专业的话
[00:00:15 - 00:00:17] 很容易所谓的断档
[00:00:17 - 00:00:18] 因为确确实实
[00:00:18 - 00:00:20] 就是二要以下
[00:00:20 - 00:00:21] 招航空航天类的学校
[00:00:21 - 00:00:22] 确实是并不多
[00:00:22 - 00:00:24] 比如说我们航上哪下旅的
[00:00:24 - 00:00:26] 比如说你像有这个
[00:00:26 - 00:00:27] 像清华一个航空航天
[00:00:27 - 00:00:28] 航空航空航空航天
[00:00:28 - 00:00:30] 然后的话北航也有航空航天
[00:00:30 - 00:00:32] 然后西宫大航航航天对吧
[00:00:32 - 00:00:33] 然后的话再往下走
[00:00:33 - 00:00:35] 像有些学校985K也有
[00:00:35 - 00:00:37] 比如说你像川大船也有航空航天
[00:00:37 - 00:00:39] 然后的话到了21的话航空航天
[00:00:39 - 00:00:41] 比较顶头的学校就是南航了
[00:00:41 - 00:00:42] 对吧
[00:00:42 - 00:00:44] 南京航空航天大学是也有航空
[00:00:44 - 00:00:45] 也有航天
[00:00:45 - 00:00:47] 南京航空航天大学是有专门的航空学院
[00:00:47 - 00:00:49] 也有专门的航天学院
[00:00:49 - 00:00:52] 大家你要知道就是如果说这个学校
[00:00:52 - 00:00:54] 它把航空和航天分成两个学院
[00:00:54 - 00:00:55] 就是一个叫航空学
[00:00:55 - 00:00:56] 一个叫航天学院
[00:00:56 - 00:00:59] 它能把这个东西当成一个学院区
[00:00:59 - 00:01:02] 那就代表着这个学校在这个专业理由上
[00:01:02 - 00:01:03] 是很不错的
[00:01:03 - 00:01:04] 大家知道吧
[00:01:04 - 00:01:04] 就比如说
[00:01:04 - 00:01:05] 如果说
[00:01:05 - 00:01:05] 你看
[00:01:05 - 00:01:09] 会计这个专业大多数学校不会有会计学院
[00:01:09 - 00:01:12] 但是当这个学校有会计学院的时候
[00:01:12 - 00:01:12] 就说明了
[00:01:12 - 00:01:15] 这个学校在这个专业理由里面是比较不错的
[00:01:15 - 00:01:17] 如果说这个会计这个专业
[00:01:17 - 00:01:18] 特别顶尖的话
[00:01:18 - 00:01:20] 它叫做会计学院
[00:01:20 - 00:01:22] 如果说它一般般没有那么好
[00:01:22 - 00:01:24] 它就叫管理学院
[00:01:24 - 00:01:26] 如果说他再没有那么好的
[00:01:26 - 00:01:27] 就经管学院
[00:01:27 - 00:01:29] 大家你看很多理工类大学
[00:01:29 - 00:01:30] 他的经纪理和管理类
[00:01:30 - 00:01:32] 他是放在一个学院
[00:01:32 - 00:01:33] 但是有一些学校就是经济学
[00:01:33 - 00:01:34] 是经济学
[00:01:34 - 00:01:35] 管理是管理学
[00:01:35 - 00:01:38] 然后更有一些学校就会计师会计学
[00:01:38 - 00:01:39] 航空航天也是这样
[00:01:39 - 00:01:41] 那你像南航空这种学校
[00:01:41 - 00:01:42] 他有航空学院
[00:01:42 - 00:01:43] 他也有航天学院
[00:01:43 - 00:01:45] 说明这个学校航空也是很不错的
[00:01:45 - 00:01:46] 航天也是很不错的
[00:01:46 - 00:01:47] 所以说大家
[00:01:47 - 00:01:49] 你在报好这种学校的时候的话
[00:01:49 - 00:01:51] 你想这些学校你是都可以考虑的
