BV号：BV1AVSkBEEv2
标题：BV1AVSkBEEv2
链接：https://www.bilibili.com/video/BV1AVSkBEEv2
识别语言：zh
语言置信度：1
分段数：125
生成时间：2026-04-03 03:38:36

[00:00:00 - 00:00:05] 就是说现在你像我们春节过度不要抱强击嘛
[00:00:05 - 00:00:06] 打个比方我们是要走的强击呢
[00:00:06 - 00:00:08] 还是走普通皮呢
[00:00:08 - 00:00:09] 比较好呢
[00:00:09 - 00:00:10] 家长是这样子
[00:00:10 - 00:00:12] 它各有各的特点
[00:00:12 - 00:00:13] 它各有各的特点
[00:00:13 - 00:00:14] 强击的特点是什么
[00:00:14 - 00:00:16] 强击的特点是它保颜直博
[00:00:16 - 00:00:18] 但是前提条件是家长
[00:00:18 - 00:00:19] 你要知道强击它是纪不学科
[00:00:19 - 00:00:21] 像您这个情况下
[00:00:21 - 00:00:21] 家长啊
[00:00:21 - 00:00:24] 因为您的目标是往这个所谓的
[00:00:24 - 00:00:25] 功课上面去走
[00:00:25 - 00:00:26] 那如果要往功课上面去走
[00:00:26 - 00:00:27] 怎么的话 家长
[00:00:27 - 00:00:27] 是这样子
[00:00:27 - 00:00:32] 就是你可以去报一些公科院校的强级
[00:00:32 - 00:00:33] 因为公科院校的强级
[00:00:33 - 00:00:34] 它不是给你排养成科学家的
[00:00:34 - 00:00:35] 公科院校的强级
[00:00:35 - 00:00:38] 是把你要排养成一个英雄性的人才的
[00:00:38 - 00:00:39] 就是它的强级没有那么急
[00:00:39 - 00:00:41] 它会给你转到公科去
[00:00:41 - 00:00:42] 比如说价值方举个例子
[00:00:42 - 00:00:43] 比如说金王阿的北大
[00:00:43 - 00:00:45] 它俩一个是中文理
[00:00:45 - 00:00:46] 一个是中公科
[00:00:46 - 00:00:47] 如果说是中文理的
[00:00:47 - 00:00:48] 像北大
[00:00:48 - 00:00:48] 北大就是中文理
[00:00:48 - 00:00:51] 你刚好考到北大区的强级
[00:00:51 - 00:00:53] 它大概率是要给你往科学家去培养
[00:00:53 - 00:00:54] 比如说物理学家
[00:00:54 - 00:00:54] 化学家
[00:00:54 - 00:00:55] 数学家
[00:00:55 - 00:00:56] 再给你往这方面去培养
[00:00:56 - 00:00:58] 因为它是一个文理综合现原校
[00:00:58 - 00:01:00] 它功课实力没有那么强
[00:01:00 - 00:01:02] 但不代表你在北大读抢学学
[00:01:02 - 00:01:03] 不能为功课复能
[00:01:03 - 00:01:05] 但如果你读了清华的抢学学
[00:01:05 - 00:01:07] 清华本身是一个功课抢学
[00:01:07 - 00:01:09] 清华本身就是一个功课抢学
[00:01:09 - 00:01:11] 那么你去读这种功课抢学的抢学
[00:01:11 - 00:01:13] 它大概率是要为功课复能的
[00:01:13 - 00:01:15] 但不代表说你报清华大学
[00:01:15 - 00:01:18] 它不能给你培养成为各个学科的科学家
[00:01:18 - 00:01:18] 我不知道我这么说
[00:01:18 - 00:01:19] 你能不能理解
[00:01:19 - 00:01:20] 我明白
[00:01:20 - 00:01:22] 所以说你要报抢学学的话
[00:01:22 - 00:01:23] 那你就报功课抢学的抢学
[00:01:23 - 00:01:25] 理科文理综合现原学的抢学
[00:01:25 - 00:01:28] 可能是考虑的话往后放一个
[00:01:28 - 00:01:29] 比如清北的话
[00:01:29 - 00:01:30] 可能选清华的墙移
[00:01:30 - 00:01:31] 然后的话复旦上交的话
[00:01:31 - 00:01:33] 上交大师干工科的
[00:01:33 - 00:01:34] 复旦的话它是本理中方选拳
[00:01:34 - 00:01:37] 那可能如果你要往工科复能方向排的话
[00:01:37 - 00:01:38] 那可能上交会更适合你
[00:01:38 - 00:01:39] 复旦的话也很好
[00:01:39 - 00:01:41] 但是它没有那么适合你懂我的意思了
[00:01:41 - 00:01:42] 好的好的
[00:01:42 - 00:01:43] 谢谢张老师
[00:01:43 - 00:01:43] 好
[00:01:43 - 00:01:46] 那我问一下墙移后期能转专业吗
[00:01:46 - 00:01:48] 墙移加长是这样子的
[00:01:48 - 00:01:50] 在正常的情况来讲是不能转业的
[00:01:50 - 00:01:51] 但是加长是这样子的
[00:01:51 - 00:01:53] 墙移它有的是分方向
[00:01:53 - 00:01:54] 我了解到很多学校的墙移
[00:01:54 - 00:01:55] 它是这样的
[00:01:55 - 00:01:56] 比如说我一个工程院校
[00:01:56 - 00:01:58] 我先把你招到物理强级
[00:01:58 - 00:01:59] 物理强级都给你分成那么多方向
[00:01:59 - 00:02:01] 你的毕业证是改不了了
[00:02:01 - 00:02:03] 你毕业证就是那个专业了
[00:02:03 - 00:02:03] 但是的话呢
[00:02:03 - 00:02:05] 你学的其实是另外一个专业
[00:02:05 - 00:02:07] 你懂了你怎么
[00:02:07 - 00:02:08] 你懂了你怎么
[00:02:08 - 00:02:09] 比如说加上我角力的我物理强级
[00:02:09 - 00:02:11] 然后的话其实我要给你往这个
[00:02:11 - 00:02:12] 电子的方向去看样子
[00:02:12 - 00:02:14] 但是我叫物理强级
[00:02:14 - 00:02:16] 库弗电子信息科学的方向
[00:02:16 - 00:02:17] 但是它不是
[00:02:17 - 00:02:18] 你的学位是改不了了
[00:02:18 - 00:02:20] 你的你还是理学学位
[00:02:20 - 00:02:21] 然后你到了工
[00:02:21 - 00:02:22] 你到了研究生阶段
[00:02:22 - 00:02:23] 可能说我本身是物理强级
[00:02:23 - 00:02:25] 然后研究中有变成我的电子学学期
[00:02:25 - 00:02:26] 比如说我物理师
[00:02:26 - 00:02:28] 我仿佛阶段是生学相机
[00:02:28 - 00:02:30] 然后研究分阶段我变成的计算机科学阶段
[00:02:30 - 00:02:32] 它研究分阶段它可以转断
[00:02:32 - 00:02:34] 但是有的学校它转断也不好断
[00:02:34 - 00:02:35] 然后的话它还是
[00:02:35 - 00:02:36] 我就是换成木棚药
[00:02:36 - 00:02:37] 因为家长是这样子
[00:02:37 - 00:02:39] 你比如说一个工科院校
[00:02:39 - 00:02:40] 工科院校本身的话
[00:02:40 - 00:02:43] 它很有可能就是物理与电子科学学院
[00:02:43 - 00:02:44] 那有的学有的学校是什么情况
[00:02:44 - 00:02:47] 这个老师是记在物理理学代研中生
[00:02:47 - 00:02:49] 又在工学代研中生
[00:02:49 - 00:02:51] 所以说的话就是它是串着来的
[00:02:51 - 00:02:52] 你如果说你要是转专业
[00:02:53 - 00:02:55] 这些人的角度来讲的话
[00:02:55 - 00:02:56] 它是很软软的
[00:02:56 - 00:02:57] 但是如果你从你毕业政策的
[00:02:57 - 00:02:58] 专业角度来讲的话
[00:02:58 - 00:03:00] 它是太容易软的
[00:03:00 - 00:03:02] 这个唯一的差别在于哪里呢 加本
[00:03:02 - 00:03:03] 这个就是有很多很多
[00:03:03 - 00:03:04] 杨国起和口供的时候
[00:03:04 - 00:03:05] 它可能会有影响
[00:03:05 - 00:03:06] 你从你从业的角度来讲的话
[00:03:06 - 00:03:08] 是没有影响的 好吧
