BV号：BV1zh4y1v7Es
标题：BV1zh4y1v7Es
链接：https://www.bilibili.com/video/BV1zh4y1v7Es
识别语言：zh
语言置信度：1
分段数：35
生成时间：2026-04-03 13:50:58

[00:00:00 - 00:00:01] 我真的建议大家就是你们将来
[00:00:02 - 00:00:03] 大学毕业以后
[00:00:03 - 00:00:04] 包括你将来找工作的时候
[00:00:04 - 00:00:05] 你不要把
[00:00:05 - 00:00:08] 所谓世俗对于成功的定义
[00:00:08 - 00:00:12] 定义为自己要成功的成功
[00:00:12 - 00:00:14] 这句话可能说的会比较绕
[00:00:14 - 00:00:16] 就是我相信大家知道我说的是什么意思
[00:00:16 - 00:00:17] 就可能很多人跟你说说
[00:00:17 - 00:00:19] 你将来上大学的时候一定要找一个
[00:00:19 - 00:00:21] 多少钱多少钱的工作
[00:00:21 - 00:00:22] 然后的话一定要怎么怎么样
[00:00:22 - 00:00:23] 然后你才是
[00:00:23 - 00:00:26] 所谓这个大学没有白上才对得起你那个学校
[00:00:26 - 00:00:26] 就是
[00:00:27 - 00:00:29] 就是往往有这种困惑的学生
[00:00:29 - 00:00:30] 都是什么样的学生
[00:00:30 - 00:00:31] 可能你本盖上了一个985
[00:00:32 - 00:00:34] 高度不正常
[00:00:34 - 00:00:37] 我不知道有没有985的同学会有这种感受
[00:00:37 - 00:00:38] 可能在别人眼里觉得说
[00:00:38 - 00:00:40] 你是一个985的学生
[00:00:40 - 00:00:44] 你怎么能够找一个这样的工作呢
[00:00:44 - 00:00:46] 然后你是一个985的学生
[00:00:46 - 00:00:48] 你怎么没有挣那么多那么多钱呢
[00:00:48 - 00:00:50] 然后的话你是一个985的学生
[00:00:50 - 00:00:52] 你考研怎么能去考一个211呢
[00:00:54 - 00:00:55] 大家一定要注意啊
[00:00:55 - 00:00:57] 就是没有必要
[00:00:57 - 00:01:01] 为了别人的标准去为难你自己
[00:01:01 - 00:01:02] 能明白吧
[00:01:02 - 00:01:06] 没有必要去为了别人的标准去为难你自己
[00:01:06 - 00:01:11] 没有必要用别人对于成功的定义和概念
[00:01:11 - 00:01:14] 去定义你对成功的定义和概念
[00:01:14 - 00:01:17] 你生活的开心快乐是最重要的
