BV号：BV1E4411B7g8
标题：BV1E4411B7g8
链接：https://www.bilibili.com/video/BV1E4411B7g8
识别语言：zh
语言置信度：1
分段数：380
生成时间：2026-04-04 07:08:24

[00:00:00 - 00:00:02] 大家好,我是让学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:04] 欢迎大家收看本期的法律期时
[00:00:04 - 00:00:04] 很好玩
[00:00:04 - 00:00:07] 我们本期讲的案子确实很好玩
[00:00:07 - 00:00:09] 说我这么一个人假
[00:00:09 - 00:00:11] 他就跟那个椅子俩人就不对付
[00:00:11 - 00:00:13] 然后有一天他就心生歹念
[00:00:13 - 00:00:14] 先把这个椅子整死
[00:00:14 - 00:00:17] 他想整死你的办法也比较恶毒
[00:00:17 - 00:00:18] 就是他抓了一只毒蛇
[00:00:18 - 00:00:20] 让那个毒蛇咬椅
[00:00:20 - 00:00:22] 这个毒蛇把这个椅咬了以后
[00:00:22 - 00:00:23] 椅子就特别的痛苦
[00:00:23 - 00:00:24] 难受啊
[00:00:24 - 00:00:25] 不行啊要死了
[00:00:25 - 00:00:27] 然后假的看到椅子这种症状
[00:00:27 - 00:00:29] 心生悔意
[00:00:29 - 00:00:30] 哎呀觉得他也
[00:00:30 - 00:00:32] 不至于说非得把人给弄死啊
[00:00:32 - 00:00:34] 所以呢他就带着这个椅呢
[00:00:34 - 00:00:35] 开车就往医院赶去
[00:00:35 - 00:00:36] 想救椅这条命
[00:00:37 - 00:00:39] 但是那路上等轰动的时候呢
[00:00:39 - 00:00:40] 这个椅在痛苦之余呢
[00:00:40 - 00:00:42] 跟假说了一句大实话
[00:00:42 - 00:00:44] 有些人就是在临死之前
[00:00:44 - 00:00:46] 总是想说一些特别掏心窝似的话
[00:00:46 - 00:00:47] 他说哥们儿啊
[00:00:47 - 00:00:49] 咱们之间有仇有怨啊
[00:00:49 - 00:00:50] 那是有仇有怨
[00:00:50 - 00:00:51] 说实话
[00:00:51 - 00:00:52] 想死这个事
[00:00:52 - 00:00:53] 我也不是一天两天了
[00:00:53 - 00:00:54] 我这个人呢
[00:00:54 - 00:00:55] 是真想死
[00:00:55 - 00:00:56] 我真是不想活了
[00:00:56 - 00:00:57] 你也不要救我
[00:00:57 - 00:00:58] 让我去死吧
[00:00:58 - 00:01:00] 自己跳车跑了
[00:01:00 - 00:01:01] 过了三个小时以后
[00:01:01 - 00:01:04] 以真的就因为毒蛇咬它
[00:01:04 - 00:01:06] 毒发而身亡
[00:01:06 - 00:01:08] 而假在这个过程当中
[00:01:08 - 00:01:10] 你说它是犯罪终止
[00:01:10 - 00:01:12] 还是犯罪未遂
[00:01:12 - 00:01:24] 这就是我们本期要给大家讲的故事
[00:01:24 - 00:01:24] 大家好
[00:01:24 - 00:01:26] 我上学习变得更快乐的张雪峰老师
[00:01:26 - 00:01:29] 欢迎大家收看本期的法律其实很好玩
[00:01:29 - 00:01:30] 我们今天请到的专家
[00:01:30 - 00:01:32] 依旧是我们研途教育的千睿老师
[00:01:32 - 00:01:33] 我们的颜雅小老师
[00:01:33 - 00:01:34] 杨老师大家招呼
[00:01:34 - 00:01:35] 好 大家好
[00:01:35 - 00:01:38] 袁老师我们真的这期的案子很好玩
[00:01:40 - 00:01:41] 放毒蛇去咬人
[00:01:41 - 00:01:43] 人家毒发他又起了怜悯之心
[00:01:43 - 00:01:44] 还要送人家就医
[00:01:44 - 00:01:46] 结果人家真的很想死
[00:01:46 - 00:01:48] 就自己去死了
[00:01:48 - 00:01:51] 那假这个行为在实际判案当中是
[00:01:51 - 00:01:54] 是犯罪终止还是犯罪未遂呢
[00:01:54 - 00:01:56] 我看这个案子想到什么
[00:01:56 - 00:01:57] no 捉 no 戴
[00:01:57 - 00:02:01] 你不捉死就不会死
[00:02:01 - 00:02:02] 这俩人也确实挺捉
[00:02:02 - 00:02:03] 对
[00:02:03 - 00:02:04] 后来这个人走
[00:02:04 - 00:02:05] 就是这样
[00:02:05 - 00:02:06] 就说你看他杀了人
[00:02:06 - 00:02:07] 然后人死了
[00:02:07 - 00:02:09] 而且是毒发死亡
[00:02:09 - 00:02:10] 就就是因为他死的
[00:02:10 - 00:02:11] 对
[00:02:11 - 00:02:13] 这个就特别容易被认定为什么
[00:02:13 - 00:02:14] 故意杀人的继续
[00:02:14 - 00:02:15] 对
[00:02:15 - 00:02:16] 也可能是继续
[00:02:16 - 00:02:18] 就说我给你投毒了
[00:02:18 - 00:02:19] 你毒发死亡了
[00:02:19 - 00:02:21] 是不是就继续了
[00:02:21 - 00:02:24] 但是我们经常讲的一个问题是什么
[00:02:24 - 00:02:26] 你不能光看结果
[00:02:26 - 00:02:28] 你要看过程
[00:02:28 - 00:02:31] 他怎么死的
[00:02:31 - 00:02:33] 我好心好意送你去医院
[00:02:33 - 00:02:35] 你自己拉开车门逃走
[00:02:35 - 00:02:36] 那我要不要负责
[00:02:36 - 00:02:38] 其实就是对于这个部分
[00:02:38 - 00:02:40] 那这个部分我们有一个说法叫什么
[00:02:40 - 00:02:43] 被害人自限风险
[00:02:43 - 00:02:45] 被害人自限风险
[00:02:45 - 00:02:45] 对
[00:02:45 - 00:02:47] 就是你被害人自己要拉开车门走
[00:02:47 - 00:02:48] 你不救你自己
[00:02:48 - 00:02:50] 你作为一个成年人
[00:02:50 - 00:02:51] 作为一个健康的
[00:02:51 - 00:02:53] 理性的成年人
[00:02:53 - 00:02:55] 那么这个健康只得精神健康
