BV号：BV1cu4y1k7Vc
标题：BV1cu4y1k7Vc
链接：https://www.bilibili.com/video/BV1cu4y1k7Vc
识别语言：zh
语言置信度：1
分段数：52
生成时间：2026-04-03 13:52:37

[00:00:00 - 00:00:04] 你未来在选择工作的时候一定要学会三个事
[00:00:04 - 00:00:07] 要学会判断三个事
[00:00:07 - 00:00:10] 第一个是叫行业的事
[00:00:10 - 00:00:13] 你这个行业是国家大意发展的
[00:00:13 - 00:00:14] 还是名令进去的
[00:00:14 - 00:00:16] 比如说我给你举个简单的例子
[00:00:16 - 00:00:19] 越是国外不让我们干的
[00:00:19 - 00:00:21] 越是它封锁我们的
[00:00:21 - 00:00:26] 我们就要越加大投入解决国外的卡脖子技术
[00:00:26 - 00:00:29] 成天国外在这个技术上领先
[00:00:29 - 00:00:30] 他说我输送给你吧
[00:00:30 - 00:00:31] 输送给你吧
[00:00:31 - 00:00:32] 你自己别发展了
[00:00:32 - 00:00:33] 永远是人家领先
[00:00:33 - 00:00:34] 我们在后边
[00:00:34 - 00:00:36] 他越禁止我们
[00:00:36 - 00:00:37] 越不让我们干
[00:00:37 - 00:00:40] 我们早晚要想办法自己做突破
[00:00:40 - 00:00:41] 这是一定的
[00:00:41 - 00:00:42] 懂吗
[00:00:42 - 00:00:43] 所以说第一
[00:00:43 - 00:00:45] 这叫行业的事
[00:00:45 - 00:00:48] 第二叫企业的事
[00:00:48 - 00:00:50] 这个企业在这个行业的趋势是怎么样
[00:00:50 - 00:00:52] 这个企业是怎么样的
[00:00:52 - 00:00:54] 比如说平举个简单的例子
[00:00:54 - 00:00:57] 一个公司有200个公位
[00:00:57 - 00:00:58] 空了30个公位
[00:00:58 - 00:01:00] 这三十个工位有两种控法
[00:01:00 - 00:01:02] 第一种控法
[00:01:02 - 00:01:04] 它原来有30个
[00:01:04 - 00:01:05] 原来都是满的
[00:01:05 - 00:01:07] 但是有30个人跑了
[00:01:07 - 00:01:08] 第二种
[00:01:08 - 00:01:11] 它去年这个办公室只做了30个人
[00:01:11 - 00:01:14] 但是今年要做到300个人了
[00:01:14 - 00:01:15] 它在大量的招人
[00:01:15 - 00:01:16] 说明什么
[00:01:16 - 00:01:18] 业务量在扩大
[00:01:18 - 00:01:18] 所以说的话
[00:01:18 - 00:01:20] 第二要看企业的是
[00:01:20 - 00:01:22] 三要看产品的事
[00:01:22 - 00:01:24] 它这个产品在这个行业内
[00:01:24 - 00:01:25] 是不是领先的
[00:01:25 - 00:01:28] 是不是独有的
[00:01:28 - 00:01:31] 他是不是服务于上市公司的
[00:01:31 - 00:01:34] 你把这三个市给抓好了
[00:01:34 - 00:01:35] 你将来就不会产了
[00:01:35 - 00:01:37] 这叫三个市
[00:01:37 - 00:01:37] 行业的市
[00:01:37 - 00:01:38] 企业的市
[00:01:38 - 00:01:39] 产品的市
