BV号：BV1bb411V7Uh
标题：BV1bb411V7Uh
链接：https://www.bilibili.com/video/BV1bb411V7Uh
识别语言：zh
语言置信度：1
分段数：182
生成时间：2026-04-04 08:17:11

[00:00:00 - 00:00:02] 大家好 我是让学习变得更快乐的张雪冯老师
[00:00:02 - 00:00:04] 有这么一个案子很好玩
[00:00:04 - 00:00:06] 说这个假听说某银行长
[00:00:06 - 00:00:08] 鱼有一个非常珍贵的预雕
[00:00:08 - 00:00:11] 据说这个预雕价值80万
[00:00:11 - 00:00:13] 这个假就起了抢劫之心
[00:00:13 - 00:00:14] 有这么一天
[00:00:14 - 00:00:16] 这个假就拿着一个土枪
[00:00:16 - 00:00:19] 跑到银行行长的办公室内
[00:00:19 - 00:00:21] 拿着土枪对着行长
[00:00:21 - 00:00:23] 告诉他说你把那个预雕给我交出来
[00:00:23 - 00:00:23] 不交出来
[00:00:23 - 00:00:25] 我就一枪蹦着你
[00:00:25 - 00:00:26] 这个鱼一看
[00:00:26 - 00:00:27] 就拿着枪对着自己
[00:00:27 - 00:00:29] 那敢不给吗
[00:00:29 - 00:00:30] 就把这个预调给了假
[00:00:30 - 00:00:32] 但现在给了假的同时
[00:00:32 - 00:00:34] 他悄悄的按下了报警铃
[00:00:34 - 00:00:36] 集银行的保安一天报警铃过来了
[00:00:36 - 00:00:39] 就把这个假就按在了银行当中
[00:00:39 - 00:00:40] 哎
[00:00:40 - 00:00:41] 你看这个假
[00:00:41 - 00:00:43] 他在银行当中抢了银行的行长
[00:00:43 - 00:00:45] 那么他这个抢击行为
[00:00:45 - 00:00:48] 算不算抢击金融机构呢
[00:00:57 - 00:00:58] 大家好
[00:00:58 - 00:01:00] 我是让学习变得更快乐的张雪峰老师
[00:01:00 - 00:01:01] 欢迎大家收看法律骑士
[00:01:01 - 00:01:02] 很好玩
[00:01:02 - 00:01:03] 那么做的我身边的呢
[00:01:03 - 00:01:04] 依然是我们的法学专家
[00:01:04 - 00:01:06] 我们研途教育的千元老师
[00:01:06 - 00:01:08] 閻雅翔老師 閻老師跟大家打個招呼
[00:01:08 - 00:01:09] 大家好
