BV号：BV1S341177mb
标题：BV1S341177mb
链接：https://www.bilibili.com/video/BV1S341177mb
识别语言：zh
语言置信度：1
分段数：34
生成时间：2026-04-03 20:25:12

[00:00:00 - 00:00:01] 这位长长 你在报专业的时候
[00:00:01 - 00:00:03] 你不能只看一个专业的好
[00:00:03 - 00:00:05] 你也要看到一个专业的不好
[00:00:05 - 00:00:06] 比如说学医
[00:00:06 - 00:00:07] 学医是好的吗
[00:00:07 - 00:00:09] 你如果医学专业有用的话
[00:00:09 - 00:00:12] 叫做确定学医天打雷提
[00:00:12 - 00:00:13] 为什么有这句话
[00:00:13 - 00:00:16] 因为学医成材时间较长
[00:00:16 - 00:00:17] 如果说你考研考不上
[00:00:17 - 00:00:18] 一年考不上考两年
[00:00:18 - 00:00:19] 两年考不上考三年
[00:00:19 - 00:00:21] 我见过考五年的
[00:00:21 - 00:00:22] 都有考的
[00:00:22 - 00:00:23] 没办法
[00:00:23 - 00:00:24] 你想同时这个医学
[00:00:24 - 00:00:25] 必须得学医
[00:00:25 - 00:00:28] 但是在中国很少有行业
[00:00:28 - 00:00:30] 叫越老越吃香
[00:00:30 - 00:00:32] 医生是这样的
[00:00:32 - 00:00:33] 这位家长你要进度
[00:00:33 - 00:00:33] 好语不好
[00:00:33 - 00:00:35] 不是说你上了就定的
[00:00:35 - 00:00:37] 是你未来毕业定的
[00:00:37 - 00:00:38] 你毕业是什么样
[00:00:38 - 00:00:39] 真不一定
[00:00:39 - 00:00:40] 我刚才为什么跟你强调
[00:00:40 - 00:00:42] 我说一个学校一个作业
[00:00:42 - 00:00:43] 毕业那么多人
[00:00:43 - 00:00:44] 你上了那个河北十大
[00:00:44 - 00:00:45] 你认为最热门的作业
[00:00:45 - 00:00:46] 这40个人
[00:00:46 - 00:00:48] 毕业以后就业工程你一样吗
[00:00:48 - 00:00:49] 不一定
