BV号：BV1KW411r7T7
标题：BV1KW411r7T7
链接：https://www.bilibili.com/video/BV1KW411r7T7
识别语言：zh
语言置信度：1
分段数：204
生成时间：2026-04-04 09:31:41

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪峰老师
[00:00:03 - 00:00:21] 好
[00:00:21 - 00:00:23] 我是让学习变得更快乐的张雪峰老师
[00:00:23 - 00:00:26] 欢迎大家走进本期的张老师课堂
[00:00:26 - 00:00:29] 那么咱们本期给大家讲一个可能考研
[00:00:29 - 00:00:31] 考起来比较难的一个专业
[00:00:31 - 00:00:33] 什么专业就是数学
[00:00:33 - 00:00:36] 那么数学这个专业在本科阶段
[00:00:36 - 00:00:38] 其实是有两个本科专业的
[00:00:38 - 00:00:40] 一个叫做数学与应用数学
[00:00:40 - 00:00:41] 这是很多同学学数学的
[00:00:41 - 00:00:42] 就是学的专业
[00:00:42 - 00:00:43] 另外还有一个专业的
[00:00:43 - 00:00:46] 它其实是数学与计算机的交叉学科
[00:00:46 - 00:00:48] 叫做信息与计算科学
[00:00:48 - 00:00:49] 那么前一阶段还有朋友问我
[00:00:49 - 00:00:52] 说张老师我本盘师学这个信息与计算科学的
[00:00:52 - 00:00:54] 那么我考研到底该考什么专业
[00:00:54 - 00:00:58] 其实的话你会发现信息与计算科学在中国大多数的高手里边
[00:00:58 - 00:01:00] 都把这个专业归到哪呢
[00:01:00 - 00:01:01] 归到了数学院
[00:01:01 - 00:01:02] 可以到了数学学
[00:01:02 - 00:01:05] 而不是归到了所谓的计算机学院
[00:01:05 - 00:01:09] 实际上在计算机这个行业啊包括像软件这个行业
[00:01:09 - 00:01:11] 刚开始发展起来的时候
[00:01:11 - 00:01:13] 他没有成为一个所谓独立院系的时候呢
[00:01:13 - 00:01:15] 其实都是放在数学系下的
[00:01:15 - 00:01:17] 都是放在信息与计算科学下边的
[00:01:17 - 00:01:19] 然后的话慢慢分离储蓄
[00:01:19 - 00:01:21] 然后计算机成为了一个独立的专业
[00:01:21 - 00:01:24] 所以说可以说这种信息与计算科学专业
[00:01:24 - 00:01:27] 是数学与计算机的交叉修科
[00:01:27 - 00:01:28] 那么这个专业在绑盖阶段
[00:01:28 - 00:01:29] 大家学的时候你会发现
[00:01:29 - 00:01:31] 那么你计学数学的专业科
[00:01:31 - 00:01:32] 那么又学计算机的专业科
[00:01:32 - 00:01:33] 但是计算机学的专业科
[00:01:33 - 00:01:35] 又不如计算机的那帮同学那么专业
[00:01:35 - 00:01:36] 所以说的话
[00:01:36 - 00:01:39] 大多数都是把这个东西放在了数学的学院上面
[00:01:39 - 00:01:41] 那么如果大家考研的话
[00:01:41 - 00:01:43] 跟我们大多数的专业一样
[00:01:43 - 00:01:45] 也是有学朔和专所可以考的
[00:01:45 - 00:01:46] 那么先给大家介绍一下
[00:01:46 - 00:01:48] 数学这个专业的学朔学研究生
[00:01:48 - 00:01:51] 数学这个专业如果说你要考学朔的话
[00:01:51 - 00:01:54] 你未来你其实是有大概六个研究生的专业
[00:01:54 - 00:01:55] 是可以考的
[00:01:55 - 00:01:56] 分别叫做技术数学
[00:01:56 - 00:01:57] 运用数学
[00:01:57 - 00:01:58] 计算数学
[00:01:58 - 00:01:59] 概率论运数率统计
[00:01:59 - 00:02:00] 运筹学与控制论
[00:02:00 - 00:02:02] 那么这是传统的五个二期学科
[00:02:02 - 00:02:03] 那么在前两年
[00:02:03 - 00:02:07] 咱们中国刚刚将数学的一个左分支
[00:02:07 - 00:02:09] 单独成立了一个一期学科
[00:02:09 - 00:02:11] 这个专业也是很多同学的本科专业
[00:02:11 - 00:02:12] 叫做统计学
[00:02:12 - 00:02:16] 那么原来的技术数学应用数学计算数学概列论数律统计
[00:02:16 - 00:02:17] 运输数学与控制论
[00:02:17 - 00:02:21] 这五个专业当中考研人数最多的竞争最激烈的一般都是什么呢
[00:02:21 - 00:02:22] 就是概列论数律统计
[00:02:22 - 00:02:24] 因为概列论数律统计的话
[00:02:24 - 00:02:27] 经常有的学校会开设一个方向叫做金融数学
[00:02:27 - 00:02:29] 那么所以你会发现
[00:02:29 - 00:02:32] 学数学的同学你一定到了研究中这个阶段
[00:02:32 - 00:02:34] 你研究中毕业以后
[00:02:34 - 00:02:37] 其实真的不像很多人想的那样
[00:02:37 - 00:02:38] 说老师我学了数学以后的话
[00:02:38 - 00:02:39] 我就是当数学老师去了
[00:02:39 - 00:02:40] 真不是
[00:02:40 - 00:02:42] 如果说你能到一个比较好的学校
[00:02:42 - 00:02:44] 比如像ROL工程以上的院校
[00:02:44 - 00:02:47] 你能讀他的數學的研究生專業
[00:02:47 - 00:02:48] 那麼你會發現很多同學
[00:02:48 - 00:02:49] 他都去了哪裡
[00:02:49 - 00:02:50] 都去了銀行
[00:02:50 - 00:02:52] 尤其是學概略令你受到統計
[00:02:52 - 00:02:55] 因為他有的學校會開設金融數學的方向
[00:02:55 - 00:02:57] 那麼我們再說說統計學
[00:02:57 - 00:02:58] 統計學的考研的時候
[00:02:58 - 00:03:01] 它分成了兩個學科門類的周生
[00:03:01 - 00:03:02] 一個叫做理學
[00:03:02 - 00:03:04] 一個叫做經濟學
[00:03:04 - 00:03:06] 如果說你們考研考經濟學的統計學的話
[00:03:06 - 00:03:08] 那麼你考試的專業課將是政治
[00:03:08 - 00:03:12] 英語數學三和西方經濟學
[00:03:12 - 00:03:14] 如果說你考的那個統計學
[00:03:14 - 00:03:16] 它是按照數學這個招式的話
[00:03:16 - 00:03:21] 它考的呢應該是政治英語一還有數分和高代
[00:03:21 - 00:03:24] 大家注意數分和高代是數學考學座
[00:03:24 - 00:03:27] 幾乎每個學校必考的科目
