BV号：BV1624y1P7FC
标题：BV1624y1P7FC
链接：https://www.bilibili.com/video/BV1624y1P7FC
识别语言：zh
语言置信度：1
分段数：20
生成时间：2026-04-03 15:34:01

[00:00:00 - 00:00:02] 反正你自己想好要不要某专业就完了
[00:00:02 - 00:00:05] 说白了就是你要有自己的专业底线
[00:00:05 - 00:00:06] 你的专业底线是什么
[00:00:06 - 00:00:08] 你什么能接受什么不能接受
[00:00:08 - 00:00:09] 你既然选定了以后的话
[00:00:09 - 00:00:11] 你就要为这个选择去负责就完了
[00:00:11 - 00:00:14] 包括学生也是他自己得意识到这个事情
[00:00:14 - 00:00:15] 我们很多同学刚开始想的可好了
[00:00:15 - 00:00:17] 老实我上大一好好学习
[00:00:17 - 00:00:19] 我转专业进了大学以后的话就完不得了
[00:00:19 - 00:00:21] 那你说这个玩意你上个说里去呢
[00:00:21 - 00:00:22] 你说你好好学习
[00:00:22 - 00:00:24] 那人家可不是好好学习的了
[00:00:24 - 00:00:24] 对吧
[00:00:24 - 00:00:28] 那你说我非得把它给他纠结在我转专业这方面
[00:00:28 - 00:00:30] 或者说我纠结在分流这方面
[00:00:30 - 00:00:32] 那你既然选择了去大级的时候
[00:00:32 - 00:00:33] 去比学习成绩
[00:00:33 - 00:00:36] 那你就去为你这个选择负责
[00:00:36 - 00:00:37] 就是这样
