BV号：BV1MM4y1c75j
标题：BV1MM4y1c75j
链接：https://www.bilibili.com/video/BV1MM4y1c75j
识别语言：zh
语言置信度：1
分段数：20
生成时间：2026-04-03 21:08:52

[00:00:00 - 00:00:03] 平台就跟我說說張老師大多數同學認為你是什麼呢
[00:00:03 - 00:00:05] 認為我是學歷的鼓吹者
[00:00:05 - 00:00:07] 人必須得高考必須得考驗
[00:00:07 - 00:00:10] 不考考不考驗就是我沒說過這種話
[00:00:10 - 00:00:12] 我也沒說過你必須要考驗
[00:00:12 - 00:00:14] 有些學校的研究生不值得上
[00:00:14 - 00:00:15] 考驗如果考不上的話
[00:00:15 - 00:00:17] 涉及到一個問題叫做調計
[00:00:17 - 00:00:19] 難道我考不上研究生一定要去調計嗎
[00:00:19 - 00:00:20] 不一定吧
[00:00:20 - 00:00:23] 這個調計的學校招收我我一定要去嗎
[00:00:23 - 00:00:24] 也不一定
[00:00:24 - 00:00:27] 那這個學校這個中央的研究生有的就不值得上
[00:00:27 - 00:00:29] 有的人说老师您给我举两个例子
[00:00:30 - 00:00:31] 哪个学校哪个专业的研究上不值得上
[00:00:32 - 00:00:34] 上了浪费时间浪费金钱浪费生命的
[00:00:34 - 00:00:35] 您给我举两个例子
[00:00:35 - 00:00:38] 我不举例子又多钱
[00:00:38 - 00:00:39] 我我不
[00:00:39 - 00:00:42] 有什么话能私下说
