BV号：BV1Rh41157a7
标题：BV1Rh41157a7
链接：https://www.bilibili.com/video/BV1Rh41157a7
识别语言：zh
语言置信度：1
分段数：20
生成时间：2026-04-03 15:35:27

[00:00:00 - 00:00:02] 不要让自己压力那么大
[00:00:02 - 00:00:03] 人生有很多条路可以走
[00:00:03 - 00:00:05] 有的人有学历走得很好
[00:00:05 - 00:00:07] 有的人没学历也可以走得很好
[00:00:07 - 00:00:08] 放平你的心态
[00:00:08 - 00:00:10] 你如果说有这个能力不甘心的话
[00:00:10 - 00:00:11] 那该去做就去做
[00:00:11 - 00:00:14] 但是千万不要去让自己绷着
[00:00:14 - 00:00:16] 就跟这一张纸一样
[00:00:16 - 00:00:18] 如果说你说老师他现在很紧张
[00:00:18 - 00:00:19] 我又有什么样的想法
[00:00:19 - 00:00:20] 我给你使劲拉使劲拉
[00:00:20 - 00:00:22] 你使劲拉他一定会断的
[00:00:22 - 00:00:24] 所以说的话不要让自己太紧张
[00:00:24 - 00:00:27] 相信自己相信这个社会
[00:00:27 - 00:00:28] 不管是什么样的人
[00:00:28 - 00:00:31] 都可以能够有一片自己的天地
[00:00:31 - 00:00:31] 好吗
[00:00:31 - 00:00:33] 不要让自己那么紧张
[00:00:33 - 00:00:33] 好不好
