BV号：BV1yQ4y1J7ZE
标题：BV1yQ4y1J7ZE
链接：https://www.bilibili.com/video/BV1yQ4y1J7ZE
识别语言：zh
语言置信度：1
分段数：39
生成时间：2026-04-03 13:23:40

[00:00:00 - 00:00:03] 我瞧及的省份第一支院非常重要
[00:00:03 - 00:00:05] 我们争取让第一支院录的
[00:00:05 - 00:00:07] 如果你第一支院没有录
[00:00:07 - 00:00:08] 怕什么就怕万一录
[00:00:08 - 00:00:11] 除非说你的第一支院的那个专业组干净
[00:00:11 - 00:00:12] 但是大家一定要注意
[00:00:12 - 00:00:15] 现在专业组一般干净过年
[00:00:15 - 00:00:16] 为什么呢
[00:00:16 - 00:00:19] 因为明年的新生学考试的改革
[00:00:19 - 00:00:20] 物化保定
[00:00:20 - 00:00:21] 理工农医物化保定
[00:00:21 - 00:00:24] 就不太可能会有干净的专业组
[00:00:24 - 00:00:28] 除非本省院校在本省招生的时候
[00:00:28 - 00:00:30] 有特殊分組政策
[00:00:30 - 00:00:31] 比如說
[00:00:31 - 00:00:32] 江蘇大學
[00:00:32 - 00:00:34] 南通大學今年在
[00:00:34 - 00:00:35] 江蘇朝聖祖
[00:00:35 - 00:00:36] 他的分組政策
[00:00:36 - 00:00:37] 就是打散
[00:00:37 - 00:00:38] 就是打散
[00:00:38 - 00:00:39] 特別散
[00:00:39 - 00:00:40] 廣東工業大學
[00:00:40 - 00:00:42] 在廣東朝聖的時候
[00:00:42 - 00:00:43] 專業打散
[00:00:43 - 00:00:43] 深圳大學
[00:00:43 - 00:00:44] 在深圳朝聖的時候
[00:00:44 - 00:00:46] 專業打散
[00:00:46 - 00:00:46] 一個學校
[00:00:46 - 00:00:48] 幾十個專業組
[00:00:48 - 00:00:49] 每個組就兩專業
[00:00:49 - 00:00:51] 這兩專業一定是相關的
[00:00:51 - 00:00:53] 如果說在外省朝聖的時候
[00:00:53 - 00:00:55] 他專業組一般打不散
[00:00:55 - 00:00:56] 比如說南通大學
[00:00:56 - 00:00:58] 在江蘇朝聖專業打散
[00:00:58 - 00:01:00] 他在黑中江造成专业一般不会打散
[00:01:00 - 00:01:02] 明年专业组干净的会很少
[00:01:02 - 00:01:04] 最干净的专业组是什么呢
