BV号：BV1984y197qc
标题：BV1984y197qc
链接：https://www.bilibili.com/video/BV1984y197qc
识别语言：zh
语言置信度：1
分段数：61
生成时间：2026-04-03 13:29:36

[00:00:00 - 00:00:04] 浙江重庆山东河北遼宁和明年的贵州
[00:00:04 - 00:00:05] 这6个省份没有条计的
[00:00:05 - 00:00:06] 大家一定要注意
[00:00:06 - 00:00:07] 尤其是贵州的家长
[00:00:07 - 00:00:08] 因为贵州明年是第一年的
[00:00:08 - 00:00:10] 新数学考试没有条计的报考
[00:00:10 - 00:00:11] 这6个省份的家长
[00:00:11 - 00:00:13] 把在四个字打在公评上
[00:00:13 - 00:00:14] 叫报考逻辑
[00:00:14 - 00:00:16] 没有条计的省份报考的时候
[00:00:16 - 00:00:17] 报考逻辑是最重要的
[00:00:17 - 00:00:19] 因为有的家长在我们这报社院的时候
[00:00:19 - 00:00:21] 他也会在别的地方报社院
[00:00:21 - 00:00:23] 就是他会找两家机构来报社院
[00:00:23 - 00:00:25] 然后他去比对这两家机构的支援表
[00:00:25 - 00:00:27] 他拿了别家机构的支援表
[00:00:27 - 00:00:28] 给我们看
[00:00:28 - 00:00:30] 我们一看完全没有报告
[00:00:30 - 00:00:31] 什么意思呢
[00:00:31 - 00:00:33] 就是专业表特别乱
[00:00:33 - 00:00:35] 他96个专业里边
[00:00:35 - 00:00:37] 基本上能涵盖将近
[00:00:37 - 00:00:39] 40个一级学图
[00:00:39 - 00:00:40] 啥都有
[00:00:40 - 00:00:41] 而且你会发现他那个专业
[00:00:41 - 00:00:42] 特别乱是什么呢
[00:00:42 - 00:00:44] 计算机下面跟的是什么专业的
[00:00:44 - 00:00:45] 跟的是医学
[00:00:45 - 00:00:46] 医学下面跟的是什么呢
[00:00:46 - 00:00:47] 电的信息
[00:00:47 - 00:00:48] 电的机器下面跟的是材料
[00:00:48 - 00:00:49] 就是我都不知道
[00:00:49 - 00:00:51] 你将来的四个专业
[00:00:51 - 00:00:53] 完全不属于一个一级学科
[00:00:53 - 00:00:56] 我就不知道你到底想干嘛
[00:00:56 - 00:00:57] 大家明白吗
[00:00:57 - 00:00:59] 或说你那个不调集的省份
[00:00:59 - 00:01:00] 你乡林的四个主要业
[00:01:00 - 00:01:02] 如果不同属于一个医学科
[00:01:02 - 00:01:03] 我看这个支援表
[00:01:03 - 00:01:05] 我就不知道你要干嘛呢
[00:01:05 - 00:01:06] 你一会要学计算机
[00:01:06 - 00:01:07] 一会要学医学
[00:01:07 - 00:01:09] 再往下跟要学电子信息的
[00:01:09 - 00:01:10] 再往下跟要学材料的
[00:01:10 - 00:01:11] 你到底想学啥
[00:01:11 - 00:01:13] 我非常不理解他到底想干嘛
[00:01:13 - 00:01:14] 地狱也乱
[00:01:14 - 00:01:16] 院手也乱
[00:01:16 - 00:01:17] 专业也乱
[00:01:17 - 00:01:18] 你说他中院校党次吧
[00:01:18 - 00:01:20] 次非院手在双一楼上面
[00:01:20 - 00:01:22] 你说他是中的专业吧
[00:01:22 - 00:01:23] 专业又特别混乱
[00:01:23 - 00:01:25] 后来我一看到后边的分数线
[00:01:25 - 00:01:25] 我就知道了
[00:01:25 - 00:01:27] 他的报考逻辑是什么呢
[00:01:27 - 00:01:27] 我跟你说
[00:01:27 - 00:01:30] 那6个省份的很多家长
[00:01:30 - 00:01:31] 报考逻辑其实是三个字
[00:01:31 - 00:01:33] 叫做不可以分
