BV号：BV1GN411B7eV
标题：BV1GN411B7eV
链接：https://www.bilibili.com/video/BV1GN411B7eV
识别语言：zh
语言置信度：1
分段数：39
生成时间：2026-04-03 14:01:53

[00:00:00 - 00:00:01] 兄弟我这么跟你说
[00:00:01 - 00:00:02] 首先第一呢
[00:00:03 - 00:00:05] 你有一个优势在于你是法本
[00:00:05 - 00:00:06] 你是法本的话呢
[00:00:06 - 00:00:08] 就意味着你毕业以后
[00:00:08 - 00:00:10] 只可以直接考法考
[00:00:10 - 00:00:11] 法这个专业
[00:00:11 - 00:00:13] 它最大的特点就是
[00:00:13 - 00:00:16] 经验比所谓的学历更重要
[00:00:16 - 00:00:18] 其他专业的人想考法考的话
[00:00:18 - 00:00:20] 必须得经过三年研究中
[00:00:21 - 00:00:23] 但是你可以直接考法考
[00:00:23 - 00:00:25] 如果说你把握住
[00:00:25 - 00:00:27] 你本颗毕业直接考法考的机会
[00:00:27 - 00:00:31] 你将来会比别人多三年的行业经验
[00:00:31 - 00:00:33] 这个三年的行业经验
[00:00:33 - 00:00:36] 这是你跟那帮考法座的人
[00:00:36 - 00:00:37] 第一大的差别
[00:00:38 - 00:00:38] 第二大
[00:00:38 - 00:00:42] 如果说你要想考一些比较好的地方的
[00:00:42 - 00:00:43] 公监法机关
[00:00:43 - 00:00:45] 现在好的地方的公监法机关
[00:00:45 - 00:00:47] 都要求一 恶势学历
[00:00:47 - 00:00:49] 二 要求本朔一致
[00:00:49 - 00:00:51] 而你符合别人不符合
[00:00:51 - 00:00:52] 懂吗
[00:00:52 - 00:00:53] 三
[00:00:53 - 00:00:55] 你就算不报法律
[00:00:55 - 00:00:56] 你报别的转意
[00:00:56 - 00:00:58] 你认为人不多吗
[00:00:59 - 00:01:00] 人一样多
[00:01:00 - 00:01:02] 尤其是你这个分
[00:01:02 - 00:01:04] 你要报一些所谓的功课专业
[00:01:04 - 00:01:06] 你如果上不了一些211985的话
[00:01:06 - 00:01:08] 你会面临着所谓的
[00:01:08 - 00:01:12] 比你真的在数学和物理上优势起了很多的人
[00:01:12 - 00:01:13] 跟你一起竞争
[00:01:13 - 00:01:14] 而法
[00:01:15 - 00:01:17] 你们都是从零开始
