BV号：BV1BdBpBoEbT
标题：BV1BdBpBoEbT
链接：https://www.bilibili.com/video/BV1BdBpBoEbT
识别语言：zh
语言置信度：1
分段数：60
生成时间：2026-04-03 00:50:12

[00:00:00 - 00:00:03] 加上物化生物化地物化生在未來選擇專業上
[00:00:03 - 00:00:05] 沒有那麼大的差別
[00:00:05 - 00:00:06] 懂嗎
[00:00:06 - 00:00:07] 加上沒有那麼大的差別
[00:00:07 - 00:00:09] 你沒有必要過於就那
[00:00:09 - 00:00:12] 老師物化地好還是物化正好
[00:00:12 - 00:00:14] 物化地就也好還是物化正就也好
[00:00:14 - 00:00:16] 它能報的專業是一樣的
[00:00:16 - 00:00:18] 因為總有一些人
[00:00:18 - 00:00:20] 它要拿一些所謂的細微差別
[00:00:20 - 00:00:23] 體現的它與別人與眾不同
[00:00:23 - 00:00:24] 他飛地跟你說你看
[00:00:24 - 00:00:26] 各位大浪怎麼那麼地長
[00:00:26 - 00:00:27] 沒有我你們怎麼賣
[00:00:27 - 00:00:28] 我就跟你講了這些東西
[00:00:28 - 00:00:32] 其实乌花低壳乌花症在报理工内专业上的时候是没有那么多差别的
[00:00:32 - 00:00:33] 它差别在哪里呢
[00:00:33 - 00:00:36] 乌花症理论上来讲
[00:00:36 - 00:00:38] 它是报公安军警
[00:00:38 - 00:00:40] 你所有的专业都能报
[00:00:40 - 00:00:41] 它是覆盖这个的
[00:00:41 - 00:00:43] 你特别想进公安
[00:00:43 - 00:00:44] 特别想当军警的
[00:00:44 - 00:00:45] 你报乌花症
[00:00:45 - 00:00:47] 你能覆盖所有的专业
[00:00:47 - 00:00:50] 但不代表不报乌花症
[00:00:50 - 00:00:51] 报不了公安军警
[00:00:51 - 00:00:52] 刚才有个家长说到
[00:00:52 - 00:00:53] 是乌花症报不了公安军警
[00:00:53 - 00:00:55] 谁跟你说的
[00:00:55 - 00:00:56] 乌花症是能报的
[00:00:56 - 00:00:57] 文科能不能报
[00:00:57 - 00:01:00] 文科你首選科目為歷史
[00:01:00 - 00:01:01] 再選科目有政治
[00:01:01 - 00:01:02] 你也可以報
[00:01:02 - 00:01:06] 而物化證是報軍警
[00:01:06 - 00:01:08] 所有的專業你都能報
[00:01:08 - 00:01:10] 因為物化生是報不了公安類
[00:01:10 - 00:01:13] 然後文科選了證是報不了公安技術類
[00:01:13 - 00:01:15] 物化證是又能報公安類
[00:01:15 - 00:01:17] 又能報公安技術類
[00:01:17 - 00:01:17] 所以說的話
[00:01:17 - 00:01:19] 它是能覆蓋面權
[00:01:19 - 00:01:23] 不代表說你只有選它才能報
[00:01:23 - 00:01:24] 它是兩個概念
[00:01:24 - 00:01:26] 然後物化地能多報一個什麼呢
[00:01:26 - 00:01:28] 能多报一个地理信息科学
[00:01:28 - 00:01:30] 这个专业是地理类里面的一个专业
[00:01:30 - 00:01:32] 它跟计算机是重相关
[00:01:32 - 00:01:33] 但它不是计算机
[00:01:33 - 00:01:35] 地理信息科学是考了言
[00:01:35 - 00:01:36] 是计算机不考研
[00:01:36 - 00:01:37] 它就是测诲
[00:01:37 - 00:01:39] 除了这个差别以外
[00:01:39 - 00:01:41] 其他没差别
[00:01:41 - 00:01:42] 懂吗
[00:01:42 - 00:01:43] 所以说你没有必要那么纠结
[00:01:43 - 00:01:45] 你到底挂正好挂地好
[00:01:45 - 00:01:47] 孩子地理和正式哪个学的好
[00:01:47 - 00:01:48] 你就学哪个
