BV号：BV1ZZ4y1U7RJ
标题：BV1ZZ4y1U7RJ
链接：https://www.bilibili.com/video/BV1ZZ4y1U7RJ
识别语言：zh
语言置信度：1
分段数：33
生成时间：2026-04-03 20:52:45

[00:00:00 - 00:00:01] 你們聽說過南京工程學院嗎?
[00:00:01 - 00:00:05] 南京工程學院的前身叫做南京電器學院
[00:00:05 - 00:00:06] 那這個學校其實是什麼?
[00:00:06 - 00:00:09] 其實是原來的地利工業部的職屬高校
[00:00:09 - 00:00:10] 它的電器專業非常的牛
[00:00:10 - 00:00:14] 那你像南京工程學院它在考研的時候
[00:00:14 - 00:00:14] 大家注意啊
[00:00:14 - 00:00:15] 它在高考的時候
[00:00:15 - 00:00:18] 在各個省份分可能不是特別的高
[00:00:18 - 00:00:21] 因為這個學校畢竟它不是229985說明的
[00:00:21 - 00:00:22] 那很多省份高考的時候
[00:00:22 - 00:00:24] 在報南京工程學院的時候
[00:00:24 - 00:00:26] 熱度就不是很特別的高
[00:00:26 - 00:00:27] 不能說不高
[00:00:27 - 00:00:28] 熱度不是特別的高
[00:00:28 - 00:00:31] 那考研的时候呢这个学校很有意思
[00:00:31 - 00:00:33] 南京工程学院在考研的时候
[00:00:33 - 00:00:35] 招电器的研究说让大家注意
[00:00:35 - 00:00:36] 只招专售
[00:00:36 - 00:00:38] 不招学售
[00:00:38 - 00:00:41] 包括像在东北也有一个电力部的制作
[00:00:41 - 00:00:41] 叫叫
[00:00:41 - 00:00:42] 沈阳工程学院
[00:00:42 - 00:00:43] 高考的时候
[00:00:43 - 00:00:46] 这个学校在很多省份分都不是特别难搞
[00:00:46 - 00:00:48] 他的电器专业也是很重的
[00:00:48 - 00:00:49] 这两个学校都叫学院的
[00:00:49 - 00:00:50] 都不叫大学
[00:00:50 - 00:00:52] 就学院的
[00:00:52 - 00:00:52] 对吧
[00:00:52 - 00:00:53] 也双飞
[00:00:53 - 00:00:54] 怎么样
[00:00:54 - 00:00:54] 很好
