BV号：BV12U4y137gq
标题：BV12U4y137gq
链接：https://www.bilibili.com/video/BV12U4y137gq
识别语言：zh
语言置信度：1
分段数：41
生成时间：2026-04-03 23:04:50

[00:00:00 - 00:00:01] 中国电影以后,导演很开心
[00:00:01 - 00:00:03] 张老师,你本色出演
[00:00:05 - 00:00:08] 中国电影以后,精神病这个聚集色就有趣了
[00:00:09 - 00:00:11] 再比如下面,有诗之作品诗
[00:00:11 - 00:00:14] 咱们俩还都去新不同的地方,也会经营诗之作品诗
[00:00:14 - 00:00:16] 比如像,探新文化,《人子娱乐》,《哭语》
[00:00:16 - 00:00:18] 探新文化哪里出过吗?
[00:00:18 - 00:00:19] 没出过
[00:00:19 - 00:00:21] 我给你说过了,他跟他做过的节目宝
[00:00:21 - 00:00:23] 他们做过一个节目叫《中国好声音》出过
[00:00:24 - 00:00:26] 就是探新文化做的
[00:00:26 - 00:00:27] 中国大人数字出过吗?
[00:00:27 - 00:00:28] 探新文化做的
[00:00:28 - 00:00:31] 很多人都喜歡他們的節目叫這就是街舞
[00:00:32 - 00:00:34] 這也是他們做的,蔡新文化
[00:00:34 - 00:00:36] 因為我參加過他們的節目,所以我知道
[00:00:36 - 00:00:38] 因為大家都知道,我這個有兩個身份
[00:00:38 - 00:00:39] 第一個身份我是一個老師
[00:00:39 - 00:00:41] 第二個身份我也是一個...
[00:00:41 - 00:00:42] 藝人
[00:00:43 - 00:00:45] 我喜歡參加一些東西節目,大家都知道
[00:00:45 - 00:00:47] 我還有第三個身份就是一個電影演員
[00:00:48 - 00:00:50] 跟大家說一個小的消息
[00:00:50 - 00:00:51] 就是今年8月份
[00:00:51 - 00:00:54] 會有一部我的院線電影上映
[00:00:54 - 00:00:55] 叫日常幻想指南
[00:00:55 - 00:00:56] 稍微希望大家去支持一下
[00:00:56 - 00:00:57] 好不好
[00:00:57 - 00:01:01] 我在这个电影中
[00:01:01 - 00:01:03] 主演之一
[00:01:03 - 00:01:05] 八场戏
[00:01:05 - 00:01:07] 扮演一个精神病院院长
[00:01:07 - 00:01:12] 开完那个电影以后
[00:01:12 - 00:01:13] 导演很开心
[00:01:13 - 00:01:15] 张老师你本色出演
[00:01:15 - 00:01:17] 中国电影以后
[00:01:17 - 00:01:19] 精神病院这个角色
[00:01:19 - 00:01:20] 就有这儿了
[00:01:20 - 00:01:21] 以后他说
[00:01:21 - 00:01:23] 只要是中国电影有这个角色
[00:01:23 - 00:01:24] 都会推前我去演
