BV号：BV1aW411h74F
标题：BV1aW411h74F
链接：https://www.bilibili.com/video/BV1aW411h74F
识别语言：zh
语言置信度：1
分段数：107
生成时间：2026-04-04 12:14:49

[00:00:00 - 00:00:02] 欢迎大家来到张老师课堂
[00:00:02 - 00:00:03] 我是张雪峰老师
[00:00:04 - 00:00:05] 你说
[00:00:05 - 00:00:06] 干嘛来了
[00:00:06 - 00:00:06] 考研
[00:00:07 - 00:00:08] 可不能让您逃
[00:00:09 - 00:00:09] 放学别走
[00:00:09 - 00:00:10] 为什么呀
[00:00:10 - 00:00:11] 是一米老师的人群工作
[00:00:11 - 00:00:12] 看了你
[00:00:17 - 00:00:18] 张老师
[00:00:18 - 00:00:19] 您从小到大
[00:00:19 - 00:00:20] 经历过最大的挫折是什么
[00:00:21 - 00:00:22] 这位大哥
[00:00:22 - 00:00:24] 你心里边就那么阴暗吗
[00:00:24 - 00:00:25] 我是哪惹到你了
[00:00:25 - 00:00:26] 你非常想
[00:00:26 - 00:00:27] 突然想知道这个问题
[00:00:28 - 00:00:29] 哎呀
[00:00:29 - 00:00:31] 要说挫折呀
[00:00:31 - 00:00:32] 可可多了
[00:00:32 - 00:00:33] 你看我这一连折子
[00:00:34 - 00:00:36] 虽然我年纪已经才30出头
[00:00:36 - 00:00:38] 但是已经长得满脸藏藏
[00:00:38 - 00:00:40] 我15岁就长成这个样子了
[00:00:40 - 00:00:42] 你要说这一辈子最大的妥喆呢
[00:00:42 - 00:00:46] 其实改变我人生命运的事还是挺多的
[00:00:46 - 00:00:48] 要说妥喆的话
[00:00:48 - 00:00:49] 可能我认为啊
[00:00:49 - 00:00:51] 可能最大的妥喆之一啊
[00:00:51 - 00:00:53] 也可能我现在想不起来其他的
[00:00:53 - 00:00:55] 就是我在上大学的时候
[00:00:55 - 00:00:56] 我在上大学的时候
[00:00:56 - 00:00:58] 说我们学校主持人比赛的混冤
[00:00:58 - 00:00:59] 其实我上大学的时候
[00:00:59 - 00:01:00] 最大的梦想不是当老师
[00:01:00 - 00:01:01] 更不是去挖小学道
[00:01:01 - 00:01:02] 我上大学最大的梦想
[00:01:02 - 00:01:03] 是做一个节目主持人
[00:01:03 - 00:01:06] 因为我觉得凭个讨才和长相
[00:01:06 - 00:01:08] 当一个节目主持人应该是还比较好嘛
[00:01:08 - 00:01:09] 抽抽有名嘛 对吧
[00:01:09 - 00:01:10] 现在大家请看
[00:01:10 - 00:01:12] 张老师有话对你说
[00:01:12 - 00:01:14] 不错嘛 对不对
[00:01:14 - 00:01:15] 就参加主持人比赛
[00:01:15 - 00:01:16] 参加我们就要主持人比赛
[00:01:16 - 00:01:18] 两届主持人比赛的冠军
[00:01:18 - 00:01:20] 但是最后非常意外的是
[00:01:20 - 00:01:22] 没有进我们学校的火火站
[00:01:22 - 00:01:24] 当时在我们学校
[00:01:24 - 00:01:25] 你在广播站
[00:01:25 - 00:01:26] 能待那么一段时间
[00:01:26 - 00:01:28] 你在郑州人民广播电台
[00:01:28 - 00:01:29] 你做一个小的主持人
[00:01:29 - 00:01:29] 还是很合意
[00:01:29 - 00:01:32] 我那时候我就想要过去参加这个比赛
[00:01:32 - 00:01:34] 将来在中队民国门台推个小举播
[00:01:34 - 00:01:36] 慢慢慢慢总向组成人家的道路
[00:01:36 - 00:01:37] 但非常遗憾的是
[00:01:37 - 00:01:38] 作为冠军我没有进广播站
[00:01:38 - 00:01:40] 要命的是
[00:01:40 - 00:01:41] 参加决赛的15个人
