BV号：BV1Wh4y1Q7KF
标题：BV1Wh4y1Q7KF
链接：https://www.bilibili.com/video/BV1Wh4y1Q7KF
识别语言：zh
语言置信度：1
分段数：56
生成时间：2026-04-03 14:05:04

[00:00:00 - 00:00:02] 英语的话,它一般停下来是四种错法
[00:00:02 - 00:00:04] 第一种叫三词
[00:00:04 - 00:00:05] 第二种叫阅读
[00:00:05 - 00:00:07] 第三种叫理解
[00:00:07 - 00:00:09] 第四种叫写作和听力
[00:00:09 - 00:00:11] 写作和听力我就不说了
[00:00:11 - 00:00:14] 听力这个东西的话就是你多听多听多听
[00:00:14 - 00:00:16] 然后的话写作这个东西的话
[00:00:16 - 00:00:18] 你要勤洗
[00:00:18 - 00:00:20] 你不能说老师我就考试的时候写
[00:00:20 - 00:00:21] 你不能这样
[00:00:21 - 00:00:22] 然后的话你要学会说
[00:00:22 - 00:00:24] 我去写一篇作文
[00:00:24 - 00:00:26] 我让老师帮我记住一样
[00:00:26 - 00:00:28] 语文作文和英语作文都一样的
[00:00:28 - 00:00:30] 其实你写作文是个过程
[00:00:30 - 00:00:33] 最重要想让你提分的过程叫什么
[00:00:33 - 00:00:35] 叫做个大海
[00:00:35 - 00:00:35] 同学
[00:00:35 - 00:00:37] 你跟你那个英语高分同学
[00:00:37 - 00:00:40] 你们两个写的是同一个题目的作文
[00:00:40 - 00:00:42] 为什么你这个作文是这个文
[00:00:42 - 00:00:43] 人家的那个作文是那个文
[00:00:44 - 00:00:45] 所以说的话
[00:00:45 - 00:00:47] 你要学会分析问题和解决问题
[00:00:47 - 00:00:48] 你这个作文是低分作文
[00:00:48 - 00:00:49] 人家那个作文是高分作文
[00:00:49 - 00:00:51] 怎么你俩写的是同样的题目
[00:00:51 - 00:00:54] 你怎么就怎么就差这么多呢
[00:00:54 - 00:00:55] 这是写作和听力
[00:00:55 - 00:00:59] 然后的话单词阅读和理解什么意思呢
[00:00:59 - 00:01:00] 如果说你一篇阅读理解
[00:01:00 - 00:01:02] 你单词都不认识
[00:01:02 - 00:01:03] 那没想到你单词的问题吗
[00:01:03 - 00:01:04] 你单词都不认识
[00:01:04 - 00:01:05] 你怎么阅读和理解啊
[00:01:05 - 00:01:06] 对吧
[00:01:06 - 00:01:07] 那什么情况下是阅读的问题呢
[00:01:07 - 00:01:09] 你单词都认识
[00:01:09 - 00:01:10] 但是这篇文章你读不懂
[00:01:11 - 00:01:12] 说明你语法有问题
[00:01:13 - 00:01:15] 如果说你单词都认识
[00:01:15 - 00:01:16] 你也能读懂
[00:01:16 - 00:01:18] 但就是做不对题
[00:01:18 - 00:01:19] 那你的理解有问题
[00:01:19 - 00:01:20] 那你的理解
[00:01:20 - 00:01:22] 如果是你理解有问题的话
[00:01:22 - 00:01:23] 你怎么办呢
[00:01:23 - 00:01:24] 你就得想一想
[00:01:24 - 00:01:27] 当时你选的是B打给的是C
[00:01:27 - 00:01:30] 你当时为什么没选C
[00:01:30 - 00:01:34] 你因为什么选的B
[00:01:34 - 00:01:35] 你要分析这个过程
[00:01:36 - 00:01:37] 明白了吧
[00:01:37 - 00:01:39] 所以说你哪一部分出问题
[00:01:39 - 00:01:40] 你就去解决哪一部分
