BV号：BV1RJ411L7BD
标题：BV1RJ411L7BD
链接：https://www.bilibili.com/video/BV1RJ411L7BD
识别语言：zh
语言置信度：1
分段数：370
生成时间：2026-04-04 03:54:34

[00:00:00 - 00:00:02] 大家好欢迎收看本期的法力骑士很好玩
[00:00:02 - 00:00:05] 在2019年8月份安徽的郑先生
[00:00:05 - 00:00:10] 在某电商平台看到一个戴尔的主机
[00:00:10 - 00:00:12] 迷你的主机发现价格很便宜
[00:00:12 - 00:00:14] 远远低于市场价
[00:00:14 - 00:00:15] 860块钱就能拿下
[00:00:15 - 00:00:19] 他跟同事两个人赶紧就秒杀了两台戴尔的主机
[00:00:19 - 00:00:22] 但是过几天收到的货才发现什么呢
[00:00:22 - 00:00:24] 给他发的不随戴尔的主机
[00:00:24 - 00:00:26] 发的是两箱卫生纸
[00:00:26 - 00:00:28] 我明明买的是戴尔主机
[00:00:28 - 00:00:29] 怎么发的卫生纸
[00:00:29 - 00:00:31] 后来打电话才知道
[00:00:31 - 00:00:32] 人家客服那边说了
[00:00:32 - 00:00:37] 说当时是因为自己的工作人员输入价格的输入
[00:00:37 - 00:00:38] 输入错了
[00:00:38 - 00:00:41] 为了躲避平台的发货监控系统
[00:00:41 - 00:00:43] 就发了两箱卫生纸来代替
[00:00:43 - 00:00:44] 说要不这样
[00:00:44 - 00:00:44] 先生
[00:00:44 - 00:00:47] 你从网站上你把订单给撤了
[00:00:47 - 00:00:49] 我们再赔你200块钱
[00:00:49 - 00:00:50] 你看这样行不行
[00:00:50 - 00:00:52] 这个郑先生就觉得那不行
[00:00:52 - 00:00:54] 当年你自己标的是800多块钱
[00:00:54 - 00:00:56] 我按800多块钱买
[00:00:56 - 00:00:58] 你就得按合同来给我执行
[00:00:58 - 00:01:01] 但是商家觉得这样我们就太吃亏了
[00:01:01 - 00:01:04] 那这个事儿到底是该按照郑先生所说的
[00:01:04 - 00:01:07] 按照合同来执行这两台代理主机呢
[00:01:07 - 00:01:10] 还是说要考虑一下商家的实际情况
[00:01:10 - 00:01:13] 来考虑商家的这种感受呢
[00:01:13 - 00:01:16] 这就是我们本期要跟大家讨论的话题
[00:01:28 - 00:01:29] 大家好
[00:01:29 - 00:01:31] 我是上学习编的更快乐的张雪峰老师
[00:01:31 - 00:01:33] 欢迎收看本期的法律其实很好玩
[00:01:33 - 00:01:35] 我们本期前途的嘉宾依然是我们沿途教育的
[00:01:35 - 00:01:36] 谦言老师
[00:01:36 - 00:01:36] 我们的沿岸乡老师
[00:01:36 - 00:01:38] 您老师给大家打个招呼吧
[00:01:38 - 00:01:39] 好 大家好
[00:01:39 - 00:01:43] 哎,杨老师你看我们这个本期这个讨论的案子确确实实
[00:01:43 - 00:01:44] 两边都挺难
[00:01:45 - 00:01:48] 确实啊你要说戴尔的主机我刚才看下材料
[00:01:48 - 00:01:51] 人家售价一般是4000多啊
[00:01:52 - 00:01:55] 但是如果说你真的一八百块钱那么卖了以后的话商家就吃亏了
[00:01:56 - 00:01:59] 确实是没有那么卖的对不对可能真的是人家出现失误了
[00:02:00 - 00:02:04] 但是你当时你标的你确实是那么标的你也不能怪人家
[00:02:04 - 00:02:07] 说这个我看着了就怪我眼睛有错对吧
[00:02:07 - 00:02:11] 这个我哪知道你是打折的还是说真的假的
[00:02:11 - 00:02:12] 对吧
[00:02:12 - 00:02:14] 那你像这个案子该怎么判呢
[00:02:14 - 00:02:15] 这个是这样的
[00:02:15 - 00:02:18] 就是说如果他这个商家
[00:02:18 - 00:02:20] 他要求撤销这个合同
[00:02:20 - 00:02:21] 他得有理由
[00:02:21 - 00:02:24] 就是说你现在你既然给我们标了800亿
[00:02:24 - 00:02:25] 让我们来拍
[00:02:25 - 00:02:28] 那我们你就是再向大家发出一个要约
[00:02:28 - 00:02:30] 我要800亿卖电脑了
[00:02:30 - 00:02:31] 你们谁愿意要
[00:02:31 - 00:02:32] 人家拍了人家承诺了
[00:02:32 - 00:02:33] 合同就成立
[00:02:34 - 00:02:35] 合同就成立了
[00:02:35 - 00:02:37] 那你當然應該旅行對不對
[00:02:37 - 00:02:40] 但是因為確實有很多
[00:02:40 - 00:02:44] 可能商家弄錯了這個價格
[00:02:44 - 00:02:46] 或者有錯誤的認識的這種情況
[00:02:46 - 00:02:49] 那麼我們民法就有個規定說
[00:02:49 - 00:02:53] 如果是因為重大誤解
[00:02:53 - 00:02:55] 重大誤解
