BV号：BV1Hr421M74G
标题：BV1Hr421M74G
链接：https://www.bilibili.com/video/BV1Hr421M74G
识别语言：zh
语言置信度：1
分段数：71
生成时间：2026-04-03 08:27:12

[00:00:00 - 00:00:01] 有些家长就跟我说张老师
[00:00:01 - 00:00:03] 我还在如果报了强级计划的话
[00:00:03 - 00:00:05] 我可不可以在研究生阶段转断
[00:00:05 - 00:00:08] 我再说一下强级计划转断的问题
[00:00:08 - 00:00:10] 强级计划在研究生阶段可不可以转断呢
[00:00:10 - 00:00:11] 可以
[00:00:11 - 00:00:12] 可以
[00:00:12 - 00:00:13] 可以
[00:00:13 - 00:00:15] 就比如说老叔我现在本科学的是数学
[00:00:15 - 00:00:16] 我研究生能不能学计算机
[00:00:16 - 00:00:17] 可以
[00:00:17 - 00:00:20] 老叔我现在本科学的是物理学
[00:00:20 - 00:00:21] 强级计划的物理学
[00:00:21 - 00:00:23] 然后我研究生阶段学的是电的信息
[00:00:23 - 00:00:23] 可不可以
[00:00:23 - 00:00:24] 可以
[00:00:24 - 00:00:25] 但大家一定要记住
[00:00:25 - 00:00:27] 来把这个数字打在风平上
[00:00:27 - 00:00:28] 20%
[00:00:28 - 00:00:30] 强级计划转断比例
[00:00:30 - 00:00:33] 国家教育部严格控制在20%以内
[00:00:33 - 00:00:37] 也就是80%的学生你学啥还是啥
[00:00:37 - 00:00:40] 20%的学生你可以在严情的阶段转断
[00:00:40 - 00:00:43] 然后那你说我到底要不要报强级计划呢
[00:00:43 - 00:00:44] 那你自己想干什么
[00:00:44 - 00:00:49] 首先分数高的学生我个人建议可以考虑一下强级
[00:00:49 - 00:00:50] 但是我提醒大家
[00:00:50 - 00:00:52] 强级计划毕竟是基础学科
[00:00:52 - 00:00:54] 存术学存物理同化学存生物
[00:00:54 - 00:00:55] 大家一定要注意一下
[00:00:55 - 00:00:57] 强级计划的985高校分成两种
[00:00:57 - 00:00:59] 一种叫做文理综合
[00:00:59 - 00:01:01] 一种叫做重功科
[00:01:01 - 00:01:02] 有的学校是文理综合性院校
[00:01:02 - 00:01:04] 有的学校是重功科院校
[00:01:04 - 00:01:05] 比如说给大家举个例子
[00:01:05 - 00:01:06] 北大
[00:01:07 - 00:01:09] 它是文理综合性院校
[00:01:09 - 00:01:11] 清华就是重功科的学校
[00:01:11 - 00:01:12] 比如说天大
[00:01:12 - 00:01:13] 天大就是重功科的学校
[00:01:13 - 00:01:16] 南开就是文理综合性院校
[00:01:16 - 00:01:16] 然后的话
[00:01:16 - 00:01:18] 再比如说南京大学
[00:01:18 - 00:01:20] 南京大学就是文理综合性院校
[00:01:20 - 00:01:23] 东南大学就是一个功科院校
[00:01:23 - 00:01:24] 大家注意
[00:01:24 - 00:01:29] 如果说你要当存数学家物理学家化学家生物学家
[00:01:29 - 00:01:33] 那你在报强级计划的时候应该主报的是文理综藏性院校
[00:01:33 - 00:01:37] 如果说老师我们家孩子将来想当工程师
[00:01:37 - 00:01:39] 但是他现在分不够985
[00:01:39 - 00:01:42] 我希望通过报强级计划留在上去上985
[00:01:42 - 00:01:44] 那你在选择强级计划院校的时候
[00:01:44 - 00:01:46] 尽量选择以工科为主的学校
[00:01:46 - 00:01:48] 就是一个工科
[00:01:48 - 00:01:49] 比如西北工业大学
[00:01:49 - 00:01:53] 西北工业大学它不是培养物理学家的
[00:01:53 - 00:01:54] 它是培养工程师的
[00:01:54 - 00:01:58] 你即使在西北工业大学学的是物理强级
[00:01:59 - 00:02:01] 我说你研究的东西跟飞机没有半毛钱关系
[00:02:01 - 00:02:02] 你信吗
[00:02:02 - 00:02:04] 各位家长听懂了吗
[00:02:04 - 00:02:06] 你在西北工业大学学物理强级
[00:02:06 - 00:02:08] 我说你学的东西
[00:02:08 - 00:02:11] 研究的东西跟飞机没有半毛钱关系
[00:02:11 - 00:02:12] 你信吗
[00:02:12 - 00:02:15] 所以说如果说你要走工科专业
[00:02:15 - 00:02:17] 但是分不够想去985
[00:02:17 - 00:02:20] 那你强级尽量报工科学校
[00:02:20 - 00:02:22] 如果说你要当科学家
[00:02:22 - 00:02:23] 那你去報李克院秀
