BV号：BV1jQ1rBZEHt
标题：BV1jQ1rBZEHt
链接：https://www.bilibili.com/video/BV1jQ1rBZEHt
识别语言：zh
语言置信度：1
分段数：87
生成时间：2026-04-03 03:46:17

[00:00:00 - 00:00:03] 我们在做事情的时候一定要做难而正确的事情
[00:00:03 - 00:00:06] 你不要因为这个事情的难你就不做
[00:00:06 - 00:00:09] 为什么它难因为它有价值
[00:00:09 - 00:00:11] 这个事全世界就没几个人会
[00:00:11 - 00:00:13] 或者说能做到的人很少
[00:00:13 - 00:00:15] 你会你就很值钱
[00:00:15 - 00:00:17] 如果说你说老师我那个事简单
[00:00:17 - 00:00:18] 我就想做那个
[00:00:18 - 00:00:20] 大家那个都简单
[00:00:20 - 00:00:22] 你以为对你简单对别人就不简单吗
[00:00:22 - 00:00:23] 大家都简单
[00:00:23 - 00:00:23] 那都简单的话
[00:00:23 - 00:00:25] 这东西就不值钱
[00:00:25 - 00:00:27] 你会的这个技能就不值钱
[00:00:27 - 00:00:28] 我给他举个简单例子
[00:00:28 - 00:00:30] 你说老师我能研究飞行器
[00:00:30 - 00:00:31] 哇那你很牛逼
[00:00:31 - 00:00:32] 我们神都飞船
[00:00:32 - 00:00:34] 你就很牛逼
[00:00:34 - 00:00:36] 全世界研究研究这玩意儿有几个呀
[00:00:36 - 00:00:37] 没几个
[00:00:37 - 00:00:38] 但是你说我会开车
[00:00:38 - 00:00:39] 那不好意思
[00:00:39 - 00:00:41] 怎么大街上四个人就会开车
[00:00:41 - 00:00:42] 所以说你会发现
[00:00:42 - 00:00:44] 司机就没有那么值钱
[00:00:44 - 00:00:46] 但科学家他就很值钱
[00:00:46 - 00:00:47] 所以说我们在做事情的时候
[00:00:47 - 00:00:49] 要做男儿正确的事情
[00:00:49 - 00:00:50] 你不要因为他男就不做
[00:00:50 - 00:00:53] 反而又因为他男儿兴奋
[00:00:53 - 00:00:53] 哇靠这玩意儿男人
[00:00:53 - 00:00:55] 没人能干是吧
[00:00:55 - 00:00:56] 没人能干他妈我事实
[00:00:56 - 00:00:57] 我刚好了
[00:00:57 - 00:01:01] 老子就是为数不多的能干这个事的人
[00:01:01 - 00:01:02] 我就会很值钱
[00:01:02 - 00:01:03] 所以说第一呢
[00:01:03 - 00:01:05] 要做难而正确的事情
[00:01:05 - 00:01:07] 你不要因为所谓他难
[00:01:07 - 00:01:08] 就觉得他不做
[00:01:08 - 00:01:12] 而且你更不要误以为那个东西简单
[00:01:12 - 00:01:14] 你考的分数略微高一点
[00:01:14 - 00:01:16] 你就是喜欢他
[00:01:16 - 00:01:17] 不一样
[00:01:17 - 00:01:19] 完全不是一回事
[00:01:19 - 00:01:20] 完全不是一回事
[00:01:20 - 00:01:21] 能明白吗
[00:01:21 - 00:01:23] 你比如说有点的例子
[00:01:23 - 00:01:25] 我喜欢打台球
[00:01:25 - 00:01:26] 那是我真正的喜欢
[00:01:26 - 00:01:27] 但是我说我要成为职业的
[00:01:27 - 00:01:28] 那不好意思
[00:01:28 - 00:01:30] 那你要经过训练
[00:01:30 - 00:01:31] 所以说你不要因为那个事情
[00:01:31 - 00:01:33] 它没有那么难
[00:01:33 - 00:01:35] 你就误以为你喜欢它
[00:01:35 - 00:01:36] 也许不是
[00:01:36 - 00:01:38] 也许是因为这个东西本身的难度
[00:01:38 - 00:01:39] 就没有那么大
[00:01:39 - 00:01:41] 这是第一点加上第二点
[00:01:41 - 00:01:43] 你还有可能会有另外一个想法
[00:01:43 - 00:01:44] 张老师
[00:01:44 - 00:01:46] 那我们家孩子如果说是数学
[00:01:46 - 00:01:49] 那个没有那么没有那么好
[00:01:49 - 00:01:50] 那要是我们家孩子如果说学
[00:01:50 - 00:01:51] 带数学带物理的科目的话
[00:01:51 - 00:01:53] 还有可能在这个理由仪式牌
[00:01:53 - 00:01:54] 可能在这个理由仪式牌
[00:01:54 - 00:01:57] 我们全校的前10%
[00:01:57 - 00:01:59] 但是我要学生物的话
[00:01:59 - 00:02:00] 我能拍我们全校前3%
[00:02:00 - 00:02:02] 老师你看我那个时候前10%
[00:02:02 - 00:02:03] 那个是前3%
[00:02:03 - 00:02:06] 我觉得我在前3%比前10%有优势
[00:02:06 - 00:02:07] 加长不一定
[00:02:07 - 00:02:08] 为什么呢
[00:02:08 - 00:02:11] 因为各个专业的就业领域的平台
[00:02:11 - 00:02:12] 大小不一样
[00:02:12 - 00:02:14] 有的是大舞台
[00:02:14 - 00:02:15] 有的是小舞台
[00:02:15 - 00:02:16] 能明白吗
[00:02:16 - 00:02:18] 你要清晰的分析清楚
[00:02:18 - 00:02:19] 你自己要选那个东西
[00:02:19 - 00:02:21] 是大舞台还是小舞台
[00:02:21 - 00:02:23] 在某些领域你别说10%
[00:02:23 - 00:02:29] 在某些領域20%都比在某些領域的前1%要好
