BV号：BV1Z24y1k7Zt
标题：BV1Z24y1k7Zt
链接：https://www.bilibili.com/video/BV1Z24y1k7Zt
识别语言：zh
语言置信度：1
分段数：40
生成时间：2026-04-03 16:50:05

[00:00:00 - 00:00:01] 我跟大家這樣說
[00:00:01 - 00:00:04] 就是一個專業畢業一個所謂還不錯的人
[00:00:04 - 00:00:06] 不代表這個專業就怎麼樣
[00:00:06 - 00:00:07] 大家能明白嗎
[00:00:07 - 00:00:09] 比如說我給你舉個例子
[00:00:09 - 00:00:10] 一個人學幾排水
[00:00:10 - 00:00:13] 後來成為了全國著名的老師
[00:00:13 - 00:00:14] 不代表你學幾排水
[00:00:14 - 00:00:16] 都能成為全國著名的老師
[00:00:16 - 00:00:17] 大家聽明白了嗎
[00:00:17 - 00:00:20] 一定要注意不要以篇概權
[00:00:20 - 00:00:21] 現在這個社會之中
[00:00:21 - 00:00:23] 也有這種以篇概權
[00:00:23 - 00:00:25] 就包括有的時候我們在講專業
[00:00:25 - 00:00:26] 我們在講一個專業好不好的時候
[00:00:26 - 00:00:27] 大家注意一個專業好不好
[00:00:27 - 00:00:31] 不是说看前5%的就业特别好
[00:00:31 - 00:00:33] 看后5%的就业特别不好
[00:00:33 - 00:00:35] 而是说要看中间段
[00:00:35 - 00:00:37] 第30%到第40%
[00:00:37 - 00:00:39] 它能过得好不好
[00:00:39 - 00:00:40] 有的时候我说
[00:00:40 - 00:00:42] 食品这个专业一般般
[00:00:42 - 00:00:43] 你说老实不对
[00:00:43 - 00:00:45] 我2021家我表弟就学食品的
[00:00:45 - 00:00:47] 现在一个月挣多少多少多少钱
[00:00:47 - 00:00:49] 你这个叫以偏概权
[00:00:49 - 00:00:50] 大多数呢
[00:00:50 - 00:00:52] 我们要讲的是大多数
[00:00:52 - 00:00:53] 最起码中位数
[00:00:53 - 00:00:55] 咱们家孩子是那样的
[00:00:55 - 00:00:57] 学什么专业都没问题
[00:00:57 - 00:00:58] 他們的孩子不是那樣的
[00:00:58 - 00:01:00] 再好的專業也白搭
[00:01:00 - 00:01:03] 所以說好和不好不是所謂的
[00:01:03 - 00:01:05] 你去拿單個的去比較
[00:01:05 - 00:01:07] 而是說這一個專業大多數的人
[00:01:07 - 00:01:08] 他就也是怎樣
[00:01:08 - 00:01:10] 別剛就拎了
[00:01:10 - 00:01:12] 剛就拎了你說的都對
