BV号：BV1Cb411k7pT
标题：BV1Cb411k7pT
链接：https://www.bilibili.com/video/BV1Cb411k7pT
识别语言：zh
语言置信度：1
分段数：50
生成时间：2026-04-04 08:40:31

[00:00:00 - 00:00:02] 大家好,我上学习变得更快乐的张雪芳老师
[00:00:02 - 00:00:04] 马上就要过年了
[00:00:04 - 00:00:06] 大家这个假期有什么安排没有
[00:00:06 - 00:00:08] 比如说是不是有很多想要见的人要见
[00:00:08 - 00:00:11] 比如说是不是还有很多自己要忙的事情要忙呢
[00:00:11 - 00:00:12] 当然在这么多事情当中
[00:00:12 - 00:00:16] 大家千万不要忘了最重要的一件就是要背考春节
[00:00:16 - 00:00:18] 有的人就问了什么叫背考春节
[00:00:18 - 00:00:21] 那同学们你平时自己的功课呢
[00:00:21 - 00:00:23] 在假期当中呢该复习要复习
[00:00:23 - 00:00:26] 当然面对七大姑八大姨的灵魂考问
[00:00:26 - 00:00:29] 我们也要准备一下怎么去应答他们
[00:00:29 - 00:00:33] 论过年期间如何巧妙回复勤起的问题
[00:00:37 - 00:00:38] 当亲亲问你
[00:00:38 - 00:00:39] 考研复习的咋样了
[00:00:39 - 00:00:41] 明年有兴趣能考上吗
[00:00:41 - 00:00:42] 这个时候你就要回答他
[00:00:42 - 00:00:43] 嗯
[00:00:43 - 00:00:44] 我已经复习一轮了
[00:00:44 - 00:00:47] 我相信只要我一步一个脚印来
[00:00:47 - 00:00:47] 啊
[00:00:47 - 00:00:49] 是金子总会发光的
[00:00:49 - 00:00:50] 我相信我一定能考上
[00:00:50 - 00:00:52] 顺便你再反问一句
[00:00:52 - 00:00:52] 哎
[00:00:52 - 00:00:54] 您孩子现在学习怎么样了呀
[00:00:54 - 00:00:56] 功课去不去服务到一下呀
[00:00:56 - 00:00:58] 现在的学业难度越来越大了
[00:00:58 - 00:01:00] 那可不是谁都能服务得了的
[00:01:00 - 00:01:06] 当七大姑八大姨欢聚一堂的时候
[00:01:06 - 00:01:08] 你要以蓄刘不计严而道临之
[00:01:08 - 00:01:10] 想丁当之事
[00:01:10 - 00:01:12] 主动上前挑起话题
[00:01:12 - 00:01:13] 刘便全场亲切
[00:01:13 - 00:01:14] 二叔
[00:01:14 - 00:01:16] 你年中奖发的多少啊
[00:01:16 - 00:01:16] 大姨
[00:01:16 - 00:01:18] 你得失去买房了吗
[00:01:18 - 00:01:19] 二姑
[00:01:19 - 00:01:24] 姐姐什么时候生二胎呀
[00:01:24 - 00:01:25] 亲起来半年的时候呢
[00:01:25 - 00:01:27] 你就应该拿着自己的考研英语书
[00:01:27 - 00:01:29] 到隔壁屋复习去
[00:01:29 - 00:01:31] 如果说有人来打扰你的话呢
[00:01:31 - 00:01:33] 你就装出一副特别刻苦钻
[00:01:33 - 00:01:34] 那样子
[00:01:34 - 00:01:36] 让人家不忍心来打扰你
[00:01:36 - 00:01:38] 而你是哪种类型呢
[00:01:38 - 00:01:40] 最后祝大家新年快乐
[00:01:40 - 00:01:41] 诸事顺利
