BV号：BV1VE411t7H1
标题：BV1VE411t7H1
链接：https://www.bilibili.com/video/BV1VE411t7H1
识别语言：zh
语言置信度：1
分段数：308
生成时间：2026-04-04 05:48:33

[00:00:00 - 00:00:02] 大家好我上学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:08] 那么有这么一个患者在一丝例行的体检当中被查出了得了肺癌
[00:00:08 - 00:00:11] 这个人其实本身就特别的怕死
[00:00:11 - 00:00:13] 家属也都知道这个事
[00:00:13 - 00:00:17] 然后知道他得肺癌以后的话也就没告诉他说你具体得了什么病
[00:00:17 - 00:00:20] 反正就是你就是按照常规你该做检查做检查
[00:00:20 - 00:00:21] 对不对
[00:00:21 - 00:00:23] 该做手术的时候做手术
[00:00:23 - 00:00:28] 结果这个患者在做手术之前就一直在怀疑说自己是不是得了一种
[00:00:28 - 00:00:29] 无知之症
[00:00:29 - 00:00:31] 然后他就问这个护士
[00:00:31 - 00:00:32] 这个护士给他发药嘛
[00:00:32 - 00:00:33] 他就问护士说
[00:00:33 - 00:00:34] 你这给我吃的药
[00:00:34 - 00:00:34] 对吧
[00:00:34 - 00:00:36] 你到底给我吃的什么药啊
[00:00:36 - 00:00:38] 我做的患者我不应该知道吗
[00:00:38 - 00:00:39] 这个护士呢
[00:00:39 - 00:00:40] 因为准备手术就比较忙嘛
[00:00:40 - 00:00:41] 他就说了一句话
[00:00:41 - 00:00:43] 他说你这个药啊
[00:00:43 - 00:00:44] 不是什么特殊的药
[00:00:44 - 00:00:45] 得了癌症没人都吃
[00:00:45 - 00:00:46] 这患者一听
[00:00:46 - 00:00:47] 啊
[00:00:47 - 00:00:48] 弄得癌症了
[00:00:48 - 00:00:49] 咔
[00:00:49 - 00:00:50] 晕过去了
[00:00:50 - 00:00:51] 他这一晕过去不要解啊
[00:00:51 - 00:00:53] 这个医院就马上实施抢救
[00:00:53 - 00:00:55] 没抢救过来
[00:00:55 - 00:00:56] 他呢就死了
[00:00:56 - 00:00:58] 这个家属就不干了
[00:00:58 - 00:00:59] 说你这个小护士啊
[00:00:59 - 00:01:00] 我们瞒了半天
[00:01:00 - 00:01:02] 让你一句话就给人吓死了
[00:01:02 - 00:01:02] 不行
[00:01:02 - 00:01:03] 你医院得给我赔偿
[00:01:03 - 00:01:05] 那医院在这个事当中
[00:01:05 - 00:01:07] 到底要不要赔偿
[00:01:07 - 00:01:08] 这个玻璃心的患者呢
[00:01:08 - 00:01:11] 这就是我们本期要跟大家讨论的话题
[00:01:11 - 00:01:19] 大家好
[00:01:19 - 00:01:21] 我是上学习边的更快乐的张雪芳老师
[00:01:21 - 00:01:23] 欢迎大家收看本期的法律其实很好玩
[00:01:23 - 00:01:24] 我们本期请到的嘉宾呢
[00:01:24 - 00:01:26] 依然是我们严图教育的千元老师
[00:01:26 - 00:01:27] 我们的延安侠老师
[00:01:27 - 00:01:28] 杨老师跟大家打个招呼吧
[00:01:28 - 00:01:30] 嗨 大家好
[00:01:30 - 00:01:30] 哎呀老师啊
[00:01:30 - 00:01:31] 你看这个
[00:01:31 - 00:01:33] 玻璃心的患者啊
[00:01:33 - 00:01:36] 就是听说自己这个癌症就被吓死了
[00:01:36 - 00:01:38] 当然在死因可能不一定是吓死啊
[00:01:39 - 00:01:41] 这个医院要承担这个人吗
[00:01:42 - 00:01:46] 这个啊 你要民法的老师跟你讲啊 就我们研究民法老师跟你讲说
[00:01:46 - 00:01:47] 没有因果关系
[00:01:47 - 00:01:51] 对吧 我觉得你说你要这个如果都要赔偿的话啊
[00:01:51 - 00:01:52] 那你想想那
[00:01:52 - 00:01:56] 那你说我医生我 那我那问题是难道不是吓死的吗
[00:01:56 - 00:01:58] 确实是吓死的
[00:01:58 - 00:02:00] 你民法老师凭什么说没有因果关系
[00:02:00 - 00:02:03] 不是 我想知道的是什么呢 就是你说我做一个医生
[00:02:03 - 00:02:05] 那我现在给一个患者看病
[00:02:05 - 00:02:08] 他明明得了很重的病,那如果说最后造成的结果是什么呢
[00:02:09 - 00:02:13] 他明明得了很重的病,我说你必须吃这个药,他说你不行,必须告诉我这个药是吃啥的
[00:02:13 - 00:02:15] 你不过说,那我就不吃
[00:02:16 - 00:02:18] 那你问一过吃什么不好的药呢
[00:02:18 - 00:02:21] 对不对,失药三分毒,我怎么知道你吃完这个药是不是毒死我的
[00:02:21 - 00:02:25] 或者说有那种妄想症的啊,那是不是你害我的或者怎样的对吧
[00:02:25 - 00:02:26] 那我就是不吃
[00:02:26 - 00:02:28] 你不过说什么病,我就是不吃
[00:02:29 - 00:02:31] 那这个时候他不吃这个药他死了,那一员一包成了责任
[00:02:31 - 00:02:37] 那你要这么说,医生对于那些得了中病的人,那里外不是
[00:02:37 - 00:02:41] 那我里外我都得赔,那我到底该怎么办?那要不要当医生?那当医生也太难了吧
[00:02:42 - 00:02:45] 这个就是一个悖论,就是说有的情况下
[00:02:45 - 00:02:46] 你跟他讲
[00:02:46 - 00:02:49] 这是什么,你得了什么病,他会死掉
[00:02:49 - 00:02:51] 有的情况你不跟他讲,他会死掉
[00:02:51 - 00:02:53] 对,那你要把医生怎么办
[00:02:53 - 00:02:56] 马克思主义活得灵魂,具体问题,具体分析
[00:02:57 - 00:02:58] 那这个问题怎么分析?
[00:02:58 - 00:03:00] 就是你看他這個人是個什麼樣的人
[00:03:00 - 00:03:01] 剛才再講一個
[00:03:01 - 00:03:04] 就是說民法上我們認為這個人
[00:03:04 - 00:03:07] 你跟人家講說人家是癌症患者都吃得要
[00:03:07 - 00:03:08] 人家都嚇死了
[00:03:08 - 00:03:10] 結果民法老師跟我講沒有因果關係
[00:03:10 - 00:03:11] 我說憑什麼
[00:03:11 - 00:03:13] 他說你怎麼死的
