BV号：BV1hF411K78M
标题：BV1hF411K78M
链接：https://www.bilibili.com/video/BV1hF411K78M
识别语言：zh
语言置信度：1
分段数：21
生成时间：2026-04-03 18:18:36

[00:00:00 - 00:00:03] 然后的话还有的家长问说张老师你看我们家孩子现在这个专业没什么喜欢的
[00:00:03 - 00:00:06] 那你没什么喜欢的话那你就可怎么样呢
[00:00:06 - 00:00:07] 就是哪个挣钱
[00:00:07 - 00:00:09] 就是看你的图字汇包率高不高
[00:00:09 - 00:00:10] 对不对
[00:00:10 - 00:00:11] 有的专业你读到硕士
[00:00:11 - 00:00:13] 大家可能年薪又不一样
[00:00:13 - 00:00:13] 对吧
[00:00:13 - 00:00:15] 比如说有的专业你读到硕士
[00:00:15 - 00:00:17] 可能原来是4000到5000
[00:00:17 - 00:00:18] 你读了硕士能挣1万
[00:00:18 - 00:00:21] 有的专业是你本科毕业以后8000到9000
[00:00:21 - 00:00:22] 你读了硕士能挣20万
[00:00:22 - 00:00:25] 有的专业是本科毕业以后的话可能15000到20000
[00:00:25 - 00:00:28] 但是你读了硕士以后的话能挣到30万到50万
[00:00:28 - 00:00:29] 这不一样
[00:00:29 - 00:00:31] 专业和专业绝间是不一样的
[00:00:31 - 00:00:33] 每个专业都有每个专业的一个起心
[00:00:33 - 00:00:35] 就业的期望工资
[00:00:35 - 00:00:36] 可能给你的最高的工资
[00:00:36 - 00:00:37] 它是不一样的
